signal_date,branch_variant,selected_ticker,selected_name,ticker,name,market,timing_variant,entry_date,exit_date,entry_price,exit_price,gross_return_unadjusted,net_return_local_ep05_cost_unit_notional,path_ready,path_source_policy,source_quality,blocked_reason,selected_stock_adjusted_close_ready,diagnostic_unit_notional_twd,buy_cost_twd,sell_cost_twd,total_cost_twd,cost_model_version,cost_application_status,risk_adjusted_rs20_score,rs20_momentum_component,bias60_overheat_penalty_component,volatility_risk_penalty_component,low_base_bonus_component,quality_support_component,route_support_bonus_component,route_support_source_quality,score_formula,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage,entry_open,entry_close,exit_close,diagnostic_share_qty,buy_gross_twd,sell_gross_twd
2018-09-21,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,3665,貿聯-KY,3665,貿聯-KY,TWSE,next_day_close_entry_fixed_5td_exit,2018-09-25,2018-10-02,155.5,167.0,0.07395498392282951,0.067769,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4751.0,6176.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.4258444655790989,0.7875,0.1114532019704433,0.7808219178082192,0.8820509202244116,0.6797945205479452,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,153.0,155.5,167.0,6430.0,999865.0,1073810.0
2018-09-28,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,2886,兆豐金,2886,兆豐金,TWSE,next_day_close_entry_fixed_5td_exit,2018-10-01,2018-10-08,27.5,27.0,-0.018181818181818188,-0.0239505,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4344.0,5769.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.3207761653495623,0.8625,0.8592411260709915,0.0348432055749128,0.1000081599347205,0.6811846689895471,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,27.5,27.5,27.0,36363.0,999982.5,981801.0
2018-10-05,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,2014,中鴻,2014,中鴻,TWSE,next_day_close_entry_fixed_5td_exit,2018-10-08,2018-10-16,13.65,13.2,-0.03296703296703307,-0.038671,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4279.0,5704.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.3576484764292881,0.8375,0.5939024390243902,0.2714776632302405,0.3394390591341811,0.6815068493150684,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,13.6,13.65,13.2,73260.0,999999.0,967032.0
2018-10-12,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,5483,中美晶,5483,中美晶,TPEx,next_day_close_entry_fixed_5td_exit,2018-10-15,2018-10-22,63.1,61.9,-0.019017432646592725,-0.02478240000000014,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4341.0,5766.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.3974622814626986,0.7875,0.1017565112053301,0.8847457627118644,0.9542095699576014,0.3508474576271186,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,63.1,63.1,61.9,15847.0,999945.7000000001,980929.2999999999
2018-10-19,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,6153,嘉聯益,6153,嘉聯益,TWSE,next_day_close_entry_fixed_5td_exit,2018-10-22,2018-10-29,41.15,35.9,-0.12758201701093563,-0.13286525,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,3860.0,5285.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.4432465493049858,0.975,0.3574074074074074,0.9550173010380624,0.8391666666666667,0.7216494845360826,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,39.6,41.15,35.9,24301.0,999986.15,872405.9
2018-10-26,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,2345,智邦,2345,智邦,TWSE,next_day_close_entry_fixed_5td_exit,2018-10-29,2018-11-05,78.4,89.2,0.1377551020408163,0.13129499999999988,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,5034.0,6459.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.4560487516527415,0.9875,0.5103658536585366,0.3414634146341463,0.5092242547425474,0.7301038062283737,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,84.0,78.4,89.2,12755.0,999992.0000000001,1137746.0
2018-11-02,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,5274,信驊,5274,信驊,TPEx,next_day_close_entry_fixed_5td_exit,2018-11-05,2018-11-12,592.0,481.0,-0.1875,-0.192499,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,3595.0,5020.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.3965912726201002,0.9,0.3913846153846154,0.9930555555555556,0.8166689458689458,0.7275862068965517,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,558.0,592.0,481.0,1689.0,999888.0,812409.0
2018-11-09,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,3059,華晶科,3059,華晶科,TWSE,next_day_close_entry_fixed_5td_exit,2018-11-12,2018-11-19,23.75,25.35,0.06736842105263174,0.06122,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4723.0,6148.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.4441097050868669,0.9625,0.3707587908698334,0.625,0.8255897367691255,0.3581314878892734,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,24.0,23.75,25.35,42105.0,999993.75,1067361.75
2018-11-16,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,6274,台燿,6274,台燿,TPEx,next_day_close_entry_fixed_5td_exit,2018-11-19,2018-11-26,90.6,86.0,-0.050772626931567255,-0.05639619999999995,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4201.0,5626.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.4613881322422602,0.95,0.3211009174311927,0.5743944636678201,0.658371970668508,0.7076124567474049,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,88.2,90.6,86.0,11037.0,999952.2,949182.0
2018-11-23,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,2492,華新科,2492,華新科,TWSE,next_day_close_entry_fixed_5td_exit,2018-11-26,2018-12-03,167.0,206.0,0.23353293413173648,0.226648,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,5459.0,6884.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.5053481799307958,0.975,0.0683076923076923,0.9895833333333334,0.9692615384615384,0.7041522491349481,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,164.5,167.0,206.0,5988.0,999996.0,1233528.0
2018-11-30,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,9914,美利達,9914,美利達,TWSE,next_day_close_entry_fixed_5td_exit,2018-12-03,2018-12-10,134.0,134.0,0.0,-0.00585,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4425.0,5850.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.3956395179115206,0.9125,0.6185252894576477,0.3031358885017421,0.4264471041347937,0.706896551724138,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,133.0,134.0,134.0,7462.0,999908.0,999908.0
2018-12-07,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,4915,致伸,4915,致伸,TWSE,next_day_close_entry_fixed_5td_exit,2018-12-10,2018-12-17,44.35,43.3,-0.02367531003382195,-0.029419350000000094,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4320.0,5745.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.38720205329231,0.95,0.5987730061349693,0.6328671328671329,0.5167621436434351,0.7051724137931035,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,43.9,44.35,43.3,22547.0,999959.4500000001,976285.1
2018-12-14,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,2448,晶電,2448,晶電,TWSE,next_day_close_entry_fixed_5td_exit,2018-12-17,2018-12-24,26.95,25.7,-0.04638218923933213,-0.05202625,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4220.0,5645.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.3869072813816345,0.7875,0.1684017146356399,0.696113074204947,0.7431919747451989,0.4024390243902439,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,27.6,26.95,25.7,37105.0,999979.75,953598.5
2018-12-21,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,8086,宏捷科,8086,宏捷科,TPEx,next_day_close_entry_fixed_5td_exit,2018-12-24,2019-01-02,41.75,48.5,0.16167664670658688,0.155111,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,5140.0,6565.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.3887781536157021,0.7625,0.3640836408364084,0.6161971830985915,0.8361623616236162,0.7474048442906576,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,39.2,41.75,48.5,23952.0,999996.0,1161672.0
2018-12-28,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,1101,台泥,1101,台泥,TWSE,next_day_close_entry_fixed_5td_exit,2019-01-02,2019-01-09,35.5,36.35,0.023943661971830954,0.01798765000000002,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4531.0,5956.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.3715991226410763,0.6875,0.3926829268292683,0.1423487544483986,0.5392267488608953,0.7535211267605634,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,35.75,35.5,36.35,28169.0,999999.5,1023943.15
2019-01-04,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,1476,儒鴻,1476,儒鴻,TWSE,next_day_close_entry_fixed_5td_exit,2019-01-07,2019-01-14,360.0,349.5,-0.029166666666666674,-0.0348785,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4295.0,5720.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.4438397333972521,0.8625,0.2665847665847666,0.1654929577464788,0.548598946540123,0.409090909090909,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,354.5,360.0,349.5,2777.0,999720.0,970561.5
2019-01-11,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,2027,大成鋼,2027,大成鋼,TWSE,next_day_close_entry_fixed_5td_exit,2019-01-14,2019-01-21,47.55,46.65,-0.018927444794952675,-0.024692999999999885,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4341.0,5766.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.3486068978937325,0.9,0.8439024390243902,0.1546391752577319,0.2319430103060155,0.7654109589041096,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,47.55,47.55,46.65,21030.0,999976.4999999999,981049.5
2019-01-18,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,5425,台半,5425,台半,TPEx,next_day_close_entry_fixed_5td_exit,2019-01-21,2019-01-28,54.8,55.5,0.01277372262773735,0.006867600000000093,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4481.0,5906.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.3281273206738379,0.775,0.6971532404603271,0.4295774647887324,0.586346401269977,0.7631578947368423,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,54.0,54.8,55.5,18248.0,999990.3999999999,1012764.0
2019-01-25,risk_adjusted_rs20_top1_with_bias60_vol_lowbase_quality_route_support,5871,中租-KY,5871,中租-KY,TWSE,next_day_close_entry_fixed_5td_exit,2019-01-28,2019-02-13,112.0,113.0,0.008928571428571397,0.003038,True,absorbed_radar_selected_ticker_official_unadjusted_ohlc_gap_fill,official_unadjusted_ohlcv_selected_ticker,,False,1000000.0,1425.0,4465.0,5890.0,taiwan_standard_fee_tax_v1,applied_local_ep05_cost_model_to_radar_unadjusted_ohlc_unit_notional,0.2866312227994314,0.85,0.9258589511754068,0.1958762886597938,0.0700301386377335,0.7610921501706485,0.5,route_support_unavailable_for_candidate_neutral_component,0.45*RS20_rank_pct - 0.18*BIAS60_percentile - 0.12*volatility_pctile + 0.12*low_base + 0.08*quality_support + 0.05*route_support_or_neutral,False,False,False,False,False,False,False,True,False,113.0,112.0,113.0,8928.0,999936.0,1008864.0
