ticker,market,report_period,official_asof_match_status,match_status,official_market_available_at,official_market_available_at_iso,signal_eligible_date,signal_eligible_date_policy,after_close_policy_applies,blocked_reason,quarter_end_date_used,query_response_datetime_used,conservative_deadline_proxy_used,diagnostic_only
2881,TWSE,114Q4,accepted,accepted,115/03/12 16:40:19,2026-03-12T16:40:19,2026-03-13,after_close_next_trading_day,True,,False,False,False,True
2882,TWSE,115Q1,accepted,accepted,115/05/14 17:43:48,2026-05-14T17:43:48,2026-05-15,after_close_next_trading_day,True,,False,False,False,True
2882,TWSE,114Q4,accepted,accepted,115/03/11 16:26:16,2026-03-11T16:26:16,2026-03-12,after_close_next_trading_day,True,,False,False,False,True
3008,TWSE,115Q1,accepted,accepted,115/04/20 16:56:28,2026-04-20T16:56:28,2026-04-21,after_close_next_trading_day,True,,False,False,False,True
3008,TWSE,114Q4,accepted,accepted,115/02/24 15:54:12,2026-02-24T15:54:12,2026-02-25,after_close_next_trading_day,True,,False,False,False,True
3711,TWSE,115Q1,accepted,accepted,115/05/12 16:36:40,2026-05-12T16:36:40,2026-05-13,after_close_next_trading_day,True,,False,False,False,True
3711,TWSE,114Q4,accepted,accepted,115/03/09 16:52:02,2026-03-09T16:52:02,2026-03-10,after_close_next_trading_day,True,,False,False,False,True
6669,TWSE,115Q1,accepted,accepted,115/05/07 16:37:00,2026-05-07T16:37:00,2026-05-08,after_close_next_trading_day,True,,False,False,False,True
6669,TWSE,114Q4,accepted,accepted,115/02/26 16:24:47,2026-02-26T16:24:47,2026-03-02,after_close_next_trading_day,True,,False,False,False,True
6488,TPEx,115Q1,accepted,accepted,115/05/05 15:11:12,2026-05-05T15:11:12,2026-05-06,after_close_next_trading_day,True,,False,False,False,True
6488,TPEx,114Q4,accepted,accepted,115/03/03 16:05:19,2026-03-03T16:05:19,2026-03-04,after_close_next_trading_day,True,,False,False,False,True
8299,TPEx,115Q1,accepted,accepted,115/05/08 16:31:18,2026-05-08T16:31:18,2026-05-11,after_close_next_trading_day,True,,False,False,False,True
8299,TPEx,114Q4,accepted,accepted,115/03/06 16:33:33,2026-03-06T16:33:33,2026-03-09,after_close_next_trading_day,True,,False,False,False,True
5347,TPEx,115Q1,accepted,accepted,115/05/05 06:38:46,2026-05-05T06:38:46,2026-05-05,same_trading_day_if_market_open_and_timestamp_public,False,,False,False,False,True
5347,TPEx,114Q4,accepted,accepted,115/02/03 06:48:19,2026-02-03T06:48:19,2026-02-03,same_trading_day_if_market_open_and_timestamp_public,False,,False,False,False,True
6187,TPEx,115Q1,accepted,accepted,115/05/08 16:36:05,2026-05-08T16:36:05,2026-05-11,after_close_next_trading_day,True,,False,False,False,True
6187,TPEx,114Q4,accepted,accepted,115/02/10 18:16:38,2026-02-10T18:16:38,2026-02-11,after_close_next_trading_day,True,,False,False,False,True
8069,TPEx,115Q1,accepted,accepted,115/05/08 13:38:22,2026-05-08T13:38:22,2026-05-11,after_close_next_trading_day,True,,False,False,False,True
8069,TPEx,114Q4,accepted,accepted,115/03/06 16:22:27,2026-03-06T16:22:27,2026-03-09,after_close_next_trading_day,True,,False,False,False,True
3081,TPEx,115Q1,accepted,accepted,115/04/22 13:40:46,2026-04-22T13:40:46,2026-04-23,after_close_next_trading_day,True,,False,False,False,True
3081,TPEx,114Q4,accepted,accepted,115/01/28 13:41:28,2026-01-28T13:41:28,2026-01-29,after_close_next_trading_day,True,,False,False,False,True
6147,TPEx,115Q1,accepted,accepted,115/04/30 14:16:23,2026-04-30T14:16:23,2026-05-04,after_close_next_trading_day,True,,False,False,False,True
6147,TPEx,114Q4,accepted,accepted,115/02/26 14:06:08,2026-02-26T14:06:08,2026-03-02,after_close_next_trading_day,True,,False,False,False,True
3264,TPEx,115Q1,accepted,accepted,115/04/30 15:07:29,2026-04-30T15:07:29,2026-05-04,after_close_next_trading_day,True,,False,False,False,True
3264,TPEx,114Q4,accepted,accepted,115/03/06 16:22:04,2026-03-06T16:22:04,2026-03-09,after_close_next_trading_day,True,,False,False,False,True
