snapshot_date,pool_size_target,layer4_pool_variant,pool_variant_family,selected_count,target_pool_size,shortfall_count,two_plus_opportunity_count,two_plus_opportunity_share,momentum_medium_high_count,pullback_medium_high_count,overlap_medium_high_count,neutral_medium_high_count,neutral_medium_high_share,high_exhaustion_or_breakdown_count,high_exhaustion_or_breakdown_share,avg_traded_value_rank_20d,median_traded_value_rank_20d,turnover_share_metadata_status,fallback_00631L_reference_only,fallback_00631L_is_ordinary_stock_pool_member,period
2015-01-23,60,C_retention_friendly_retention_constrained_quota_60,retention_friendly_c_quota,60,60,0,60,1.0,60,0,0,60,1.0,60,1.0,55.85,55.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-23,60,C_risk_aware_retention_constrained_quota_60,risk_aware_c_quota,60,60,0,53,0.8833333333333333,53,0,0,60,1.0,60,1.0,54.2,50.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-23,80,C_quota_size_sensitive_broad_label_quota_80,c_quota_style,80,80,0,65,0.8125,65,0,0,80,1.0,80,1.0,59.0125,55.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-23,80,C_retention_friendly_retention_constrained_quota_80,retention_friendly_c_quota,80,80,0,65,0.8125,65,0,0,80,1.0,80,1.0,54.65,52.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-23,80,C_risk_aware_retention_constrained_quota_80,risk_aware_c_quota,80,80,0,54,0.675,54,0,0,80,1.0,80,1.0,54.8125,45.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-23,100,C_quota_size_sensitive_broad_label_quota_100,c_quota_style,100,100,0,65,0.65,65,0,0,100,1.0,100,1.0,62.93,57.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-23,100,C_retention_friendly_retention_constrained_quota_100,retention_friendly_c_quota,100,100,0,65,0.65,65,0,0,100,1.0,100,1.0,62.42,57.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-23,100,C_risk_aware_retention_constrained_quota_100,risk_aware_c_quota,100,100,0,56,0.56,56,0,0,100,1.0,100,1.0,62.73,53.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,31,C_quota_size_sensitive_broad_label_quota_31,c_quota_style,31,31,0,31,1.0,31,0,0,31,1.0,31,1.0,57.74193548387097,51.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,31,C_retention_friendly_retention_constrained_quota_31,retention_friendly_c_quota,31,31,0,31,1.0,31,0,0,31,1.0,31,1.0,52.41935483870968,50.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,31,C_risk_aware_retention_constrained_quota_31,risk_aware_c_quota,31,31,0,31,1.0,31,0,0,31,1.0,31,1.0,66.96774193548387,54.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,40,C_quota_size_sensitive_broad_label_quota_40,c_quota_style,40,40,0,40,1.0,40,0,0,40,1.0,40,1.0,65.925,55.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,40,C_retention_friendly_retention_constrained_quota_40,retention_friendly_c_quota,40,40,0,40,1.0,40,0,0,40,1.0,40,1.0,62.625,55.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,40,C_risk_aware_retention_constrained_quota_40,risk_aware_c_quota,40,40,0,39,0.975,39,0,0,40,1.0,40,1.0,75.425,65.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,50,C_quota_size_sensitive_broad_label_quota_50,c_quota_style,50,50,0,50,1.0,50,0,0,50,1.0,50,1.0,78.08,73.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,50,C_retention_friendly_retention_constrained_quota_50,retention_friendly_c_quota,50,50,0,50,1.0,50,0,0,50,1.0,50,1.0,73.98,71.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,50,C_risk_aware_retention_constrained_quota_50,risk_aware_c_quota,50,50,0,46,0.92,46,0,0,50,1.0,50,1.0,79.32,73.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,60,C_quota_size_sensitive_broad_label_quota_60,c_quota_style,60,60,0,59,0.9833333333333333,59,0,0,60,1.0,60,1.0,78.6,75.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,60,C_retention_friendly_retention_constrained_quota_60,retention_friendly_c_quota,60,60,0,60,1.0,60,0,0,60,1.0,60,1.0,80.88333333333334,77.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,60,C_risk_aware_retention_constrained_quota_60,risk_aware_c_quota,60,60,0,51,0.85,51,0,0,60,1.0,60,1.0,75.4,65.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,80,C_quota_size_sensitive_broad_label_quota_80,c_quota_style,80,80,0,67,0.8375,67,0,0,80,1.0,80,1.0,77.9125,72.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,80,C_retention_friendly_retention_constrained_quota_80,retention_friendly_c_quota,80,80,0,70,0.875,70,0,0,80,1.0,80,1.0,79.075,73.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,80,C_risk_aware_retention_constrained_quota_80,risk_aware_c_quota,80,80,0,58,0.725,58,0,0,80,1.0,80,1.0,76.0125,72.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,100,C_quota_size_sensitive_broad_label_quota_100,c_quota_style,100,100,0,70,0.7,70,0,0,100,1.0,100,1.0,83.43,79.0,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,100,C_retention_friendly_retention_constrained_quota_100,retention_friendly_c_quota,100,100,0,70,0.7,70,0,0,100,1.0,100,1.0,77.37,72.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
2015-01-30,100,C_risk_aware_retention_constrained_quota_100,risk_aware_c_quota,100,100,0,64,0.64,64,0,0,100,1.0,100,1.0,80.06,75.5,rank_proxy_only_raw_turnover_share_not_in_layer3_contract,False,False,P1
