period,requested_start,requested_end,actual_start,actual_end,field,rows,available_rows,missing_rows,available_share,diagnostic_only
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,monthly_revenue_rolling_3m_yoy,2674,2668,6,0.9977561705310396,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,quarterly_revenue_yoy,2674,2667,7,0.9973821989528796,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,eps_yoy,2674,2667,7,0.9973821989528796,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,operating_income_yoy,2674,2665,9,0.9966342557965595,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,gross_margin,2674,2653,21,0.9921465968586387,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,operating_margin,2674,2665,9,0.9966342557965595,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,roe,2674,0,2674,0.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,roa,2674,0,2674,0.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,capital_stock,2674,1387,1287,0.518698578908003,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,issued_shares,2674,0,2674,0.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,listing_board_proxy,2674,2669,5,0.9981301421091997,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,average_traded_value_proxy_available,2674,2674,0,1.0,True
2026YTD,2026-01-02,2026-06-30,2026-01-02,2026-06-29,turnover_proxy_available,2674,2674,0,1.0,True
