ticker,market,report_period,t164sb05_status,t164sb03_status,cashflow_fields_available,balance_sheet_fields_available,current_ratio_available,official_announcement_timestamp_matched,market_available_at,announcement_subject,after_close_next_trading_day_policy,candidate_count,t05st01_query_payload,detail_payload,detail_period,detail_note,official_asof_policy,quarter_end_date_used_as_available_at,query_response_datetime_used_as_available_at,conservative_deadline_proxy_used_as_available_at,exact_internal_upload_timestamp_found,after_close_next_trading_day_policy_applies,accepted_for_experiments,accepted_for_formal,diagnostic_only
3711,TWSE,114Q4,code=200 rows=78,code=200 rows=64,True,True,True,True,115/03/09 16:52:02,公告本公司114年度合併財務報告經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""3711"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""3711"", ""marketKind"": ""sii"", ""enterDate"": ""1150309""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
6669,TWSE,115Q1,code=200 rows=63,code=200 rows=58,True,True,True,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,0,"{""companyId"": ""6669"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",,,,unmatched_blocked_no_silent_backfill,False,False,False,False,False,False,False,True
6669,TWSE,114Q4,code=200 rows=66,code=200 rows=56,True,True,True,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,0,"{""companyId"": ""6669"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",,,,unmatched_blocked_no_silent_backfill,False,False,False,False,False,False,False,True
6488,TPEx,115Q1,code=200 rows=61,code=200 rows=57,True,True,True,True,115/05/05 15:11:12,公告本公司董事會通過115年第一季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""6488"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""6488"", ""marketKind"": ""otc"", ""enterDate"": ""1150504""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
6488,TPEx,114Q4,code=200 rows=70,code=200 rows=60,True,True,True,True,115/03/03 16:05:19,本公司董事會通過114年度合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""6488"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""6488"", ""marketKind"": ""otc"", ""enterDate"": ""1150302""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
8299,TPEx,115Q1,code=200 rows=67,code=200 rows=61,True,True,True,True,115/05/08 16:31:18,公告董事會決議通過民國115年第1季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""8299"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""8299"", ""marketKind"": ""otc"", ""enterDate"": ""1150421""}",115/01/01-115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
8299,TPEx,114Q4,code=200 rows=70,code=200 rows=62,True,True,True,True,115/03/06 16:33:33,公告董事會決議通過114年度合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""8299"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""8299"", ""marketKind"": ""otc"", ""enterDate"": ""1150212""}",114/01/01-114/12/31,upload_deadline_text_present,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
5347,TPEx,115Q1,code=200 rows=69,code=200 rows=64,True,True,True,True,115/05/05 06:38:46,公告本公司董事會通過115年第一季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""5347"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""2"", ""companyId"": ""5347"", ""marketKind"": ""otc"", ""enterDate"": ""1150504""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
5347,TPEx,114Q4,code=200 rows=74,code=200 rows=63,True,True,True,True,115/02/03 06:48:19,公告本公司董事會通過114年第四季合併財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""5347"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""3"", ""companyId"": ""5347"", ""marketKind"": ""otc"", ""enterDate"": ""1150202""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
6187,TPEx,115Q1,code=200 rows=60,code=200 rows=71,True,True,True,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,0,"{""companyId"": ""6187"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",,,,unmatched_blocked_no_silent_backfill,False,False,False,False,False,False,False,True
6187,TPEx,114Q4,code=200 rows=72,code=200 rows=69,True,True,True,False,,,required_if_after_13_30_or_after_market_close; Core calendar join needed,0,"{""companyId"": ""6187"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}",,,,unmatched_blocked_no_silent_backfill,False,False,False,False,False,False,False,True
8069,TPEx,115Q1,code=200 rows=68,code=200 rows=59,True,True,True,True,115/05/08 13:38:22,本公司民國115年第1季合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""8069"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""8069"", ""marketKind"": ""otc"", ""enterDate"": ""1150504""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
8069,TPEx,114Q4,code=200 rows=74,code=200 rows=59,True,True,True,True,115/03/06 16:22:27,本公司民國114年度合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""8069"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""2"", ""companyId"": ""8069"", ""marketKind"": ""otc"", ""enterDate"": ""1150303""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
3081,TPEx,115Q1,code=200 rows=46,code=200 rows=49,True,True,True,True,115/04/22 13:40:46,公告本公司董事會通過115年第一季財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""3081"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""3081"", ""marketKind"": ""otc"", ""enterDate"": ""1150422""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
3081,TPEx,114Q4,code=200 rows=52,code=200 rows=50,True,True,True,True,115/01/28 13:41:28,本公司董事會通過114年度財務報告,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""3081"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""3081"", ""marketKind"": ""otc"", ""enterDate"": ""1150128""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
6147,TPEx,115Q1,code=200 rows=52,code=200 rows=59,True,True,True,True,115/04/30 14:16:23,公告本公司民國115年第1季合併財務報告業經董事會決議,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""6147"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""6147"", ""marketKind"": ""otc"", ""enterDate"": ""1150430""}",115/01/01~115/03/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
6147,TPEx,114Q4,code=200 rows=59,code=200 rows=58,True,True,True,True,115/02/26 14:06:08,公告本公司民國114年度合併財務報告業經董事會決議,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""6147"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""6147"", ""marketKind"": ""otc"", ""enterDate"": ""1150226""}",114/01/01~114/12/31,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
3264,TPEx,115Q1,code=200 rows=53,code=200 rows=64,True,False,True,True,115/04/30 15:07:29,公告本公司115年第1季合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""3264"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""3264"", ""marketKind"": ""otc"", ""enterDate"": ""1150430""}",,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
3264,TPEx,114Q4,code=200 rows=56,code=200 rows=66,True,False,True,True,115/03/06 16:22:04,公告本公司114年度合併財務報告業經董事會決議通過,required_if_after_13_30_or_after_market_close; Core calendar join needed,1,"{""companyId"": ""3264"", ""year"": ""115"", ""month"": ""all"", ""firstDay"": """", ""lastDay"": """"}","{""serialNumber"": ""1"", ""companyId"": ""3264"", ""marketKind"": ""otc"", ""enterDate"": ""1150306""}",,,matched_official_t05st01_market_available_at,False,False,False,False,True,False,False,True
