signal_date,entry_date,exit_date,ticker,name,variant,timing_variant,entry_price_column,exit_price_column,entry_price,exit_price,gross_return,formal_cost_model_cost,net_return_formal_cost,roundtrip_10bp_net_return,roundtrip_20bp_net_return,roundtrip_40bp_net_return,holding_days,selected_rank,RS20,RS60,pool_rank,in_31_high_confidence_subpool_reference,in_100_extended_watchlist_reference,00631L_plus_excess_return_reconstruction_used,forward_return_as_rule,future_return_as_rule,diagnostic_only,not_live_rule,blocked_reason
2021-12-30,2022-01-03,2022-01-07,8478,東哥遊艇,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.3785581980714383,0.8493871497317746,61,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2021-12-30,2022-01-03,2022-01-10,8478,東哥遊艇,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.3785581980714383,0.8493871497317746,61,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-07,2022-01-07,2022-01-14,3322,建舜電,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.4056221654242247,0.6591821416776442,79,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-07,2022-01-10,2022-01-17,3322,建舜電,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,1.0,0.4056221654242247,0.6591821416776442,79,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-07,2022-01-10,2022-01-14,3322,建舜電,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.4056221654242247,0.6591821416776442,79,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-07,2022-01-10,2022-01-17,3322,建舜電,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.4056221654242247,0.6591821416776442,79,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-14,2022-01-14,2022-01-21,6278,台表科,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,7.0,1.0,0.1093037816524373,0.1666928390612096,43,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-14,2022-01-17,2022-01-24,6278,台表科,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_fixed_5td_exit,adj_close,adj_close,,,,,,,,,7.0,1.0,0.1093037816524373,0.1666928390612096,43,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-14,2022-01-17,2022-01-21,6278,台表科,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_close_entry_weekly_rebalance_exit,adj_close,adj_close,,,,,,,,,4.0,1.0,0.1093037816524373,0.1666928390612096,43,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-14,2022-01-17,2022-01-24,6278,台表科,dynamic80_top3_rs20_risk_tiebreak_proxy,next_day_open_entry_fixed_5td_exit,open,adj_close,,,,,,,,,7.0,1.0,0.1093037816524373,0.1666928390612096,43,False,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
2022-01-21,2022-01-21,2022-01-26,3714,富采,dynamic80_top3_rs20_risk_tiebreak_proxy,same_week_close_to_next_rebalance_close_comparator,adj_close,adj_close,,,,,,,,,5.0,1.0,0.1733798078022277,0.1928995756517926,15,True,True,False,False,False,True,True,missing_selected_ticker_exact_entry_or_exit_price
