signal_date,period_label,selected_ticker,consensus_trigger_source_quality,route_support_weighted_score,route_support_variant_count,route_support_variant_flags,c2_market_health_gate,c2_definition,score_formula,future_return_used
2017-11-24,P1,6573,p1_exact_consensus4_trigger,0.679014751539543,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2018-03-16,P1,6150,p1_exact_consensus4_trigger,0.6233973932161984,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2018-06-08,P1,3090,p1_exact_consensus4_trigger,0.6627088815744812,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2018-06-29,P1,8163,p1_exact_consensus4_trigger,0.6287042148175738,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2019-09-12,P1,3661,p1_exact_consensus4_trigger,0.5950437685240214,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2019-12-06,P1,2330,p1_exact_consensus4_trigger,0.5003269028825608,1.0,market_bias_pool_trend_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2020-01-10,P1,3260,p1_exact_consensus4_trigger,0.6352861479826526,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2021-06-18,P1,2636,p1_exact_consensus4_trigger,0.5955662492258611,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2021-07-09,P1,2351,p1_exact_consensus4_trigger,0.5934372382034301,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2021-12-30,P1,8478,p1_exact_consensus4_trigger,0.5818693130813628,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2022-08-12,P1,6796,p1_exact_consensus4_trigger,0.647577333201443,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2025-05-16,P2|2024_latest,2615,derived_route_support_ge4_proxy_not_exact_consensus4,0.5865331477666342,4.0,conservative_hurdle_route|dispersion_route|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2026-01-02,P2|2024_latest|2026YTD,4971,derived_route_support_ge4_proxy_not_exact_consensus4,0.5921380857870169,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
2026-01-23,P2|2024_latest|2026YTD,3037,derived_route_support_ge4_proxy_not_exact_consensus4,0.6783390346441408,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,route_support weights: quality .10 + RS .20 + liquidity .10 + BIAS health .10 + route support .38 + risk inverse .12,False
