signal_date,next_signal_date,period_label,in_P1,in_P2,in_2024_latest,in_2026YTD,selected_ticker,selected_asset_type,state_reason,c2_market_health_gate,c2_definition,consensus_trigger,consensus_trigger_source_quality,score_variant,route_support_weighted_score,route_support_variant_count,route_support_variant_flags,entry_date,exit_date,entry_price,exit_price,gross_interval_return,transition_action,transition_cost_rate,net_interval_return_after_transition_cost,official_unadjusted_ohlc_ready,benchmark_adjusted_path_ready,adjusted_close_ready,source_quality,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2025-01-22,2025-02-07,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.4808152117574933,0.0,,2025-01-22,2025-02-07,10.431819915771484,10.945449829101562,0.04923684625283253,hold_same_state_no_trade,0.0,0.04923684625283253,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-02-07,2025-02-14,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5337359973510497,3.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override,2025-02-07,2025-02-14,10.945449829101562,11.19773006439209,0.023048868637611353,hold_same_state_no_trade,0.0,0.023048868637611353,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-02-14,2025-02-21,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.49873704836215643,0.0,,2025-02-14,2025-02-21,11.19773006439209,11.225000381469728,0.0024353433169777006,hold_same_state_no_trade,0.0,0.0024353433169777006,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-02-21,2025-02-27,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,True,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.524198172811287,3.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override,2025-02-21,2025-02-27,11.225000381469728,10.429550170898438,-0.07086415888986719,hold_same_state_no_trade,0.0,-0.07086415888986719,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-02-27,2025-03-07,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5295577334773582,3.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override,2025-02-27,2025-03-07,10.429550170898438,10.170450210571287,-0.0248428701220611,hold_same_state_no_trade,0.0,-0.0248428701220611,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-03-07,2025-03-14,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5051891243308647,0.0,,2025-03-07,2025-03-14,10.170450210571287,9.877269744873049,-0.028826694947437392,hold_same_state_no_trade,0.0,-0.028826694947437392,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-03-14,2025-03-21,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,True,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.6032858217309087,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,2025-03-14,2025-03-21,9.877269744873049,9.856820106506348,-0.002070373584493357,hold_same_state_no_trade,0.0,-0.002070373584493357,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-03-21,2025-03-28,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5155798687016215,0.0,,2025-03-21,2025-03-28,9.856820106506348,8.681819915771484,-0.11920682106790836,hold_same_state_no_trade,0.0,-0.11920682106790836,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-03-28,2025-04-02,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,True,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.6123096415740199,5.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,2025-03-28,2025-04-02,8.681819915771484,7.284090042114258,-0.16099503182715136,hold_same_state_no_trade,0.0,-0.16099503182715136,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-04-02,2025-04-11,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5348775777428564,3.0,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override,2025-04-02,2025-04-11,7.284090042114258,7.261360168457031,-0.003120482246349199,hold_same_state_no_trade,0.0,-0.003120482246349199,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-04-11,2025-04-18,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5399924561542581,0.0,,2025-04-11,2025-04-18,7.261360168457031,6.938640117645264,-0.04444347110251423,hold_same_state_no_trade,0.0,-0.04444347110251423,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-04-18,2025-04-25,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5353424173839167,0.0,,2025-04-18,2025-04-25,6.938640117645264,7.629549980163574,0.09957424665408099,hold_same_state_no_trade,0.0,0.09957424665408099,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
2025-04-25,2025-05-02,P2|2024_latest,False,True,True,False,00631L,etf,default_00631L_base_no_c2_or_consensus_trigger,False,0050_price_vs_ma60>=0 AND 0050_return_20d>=0 AND 0050_return_40d>=0,False,derived_route_support_ge4_proxy_not_exact_consensus4,route_support,0.5277434213685717,0.0,,2025-04-25,2025-05-02,7.629549980163574,7.961359977722168,0.04349011388892943,hold_same_state_no_trade,0.0,0.04349011388892943,True,True,True,benchmark_features_adjusted_close_exact_reference,True,False,False,False,False,False,False,False,True,False
