snapshot_date,ticker,name,market,pool_rank,pool_selection_score,layer4_risk_aware_score,layer4_broad_opportunity_net_score,layer4_c_quota_base_score,route_support_variant_count,route_support_mode_count,two_plus_opportunity_labels,signal_date,baseline_candidate_score,candidate_source,candidate_rank_before_penalty,latest_revenue_year_month,revenue_month_count_available,revenue_spike_anomaly_score,revenue_lumpiness_score,revenue_concentration_ratio_top1_12m,revenue_concentration_ratio_top3_12m,revenue_growth_persistence_score,revenue_reversion_risk_score,low_base_distortion_flag,ttm_vs_recent_growth_gap,long_revenue_stability_context,source_quality,data_coverage,missingness,pit_asof_audit,monthly_revenue_yoy,trailing_3m_revenue_yoy,trailing_6m_revenue_yoy,ttm_revenue_yoy,3y_revenue_cagr,5y_revenue_cagr,abnormal_revenue_review_flag,revenue_anomaly_report_text,revenue_anomaly_penalty_score,revenue_hygiene_confidence_level,business_model_keyword_proxy_used_as_risk_basis,industry_classification_used_as_risk_basis,hard_exclude_applied,future_data_violation_count
2025-06-13,2303,聯電,TWSE,7,0.7021532323136144,0.7021532323136144,0.6398014364957808,0.7611853827782509,,,True,2025-06-13,0.7021532323136144,layer4_primary80_top10_pool_selection_score,7,2025-05,125,0.5185185185185185,0.0003736302778832,0.090473836105451,0.2663419901360954,0.6416666666666666,0.0,False,0.0032015300848047,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,-0.0015084456863702,0.0413672114138541,0.053193603352746,0.0499920732679413,-0.2946765260749042,-0.1117089000886741,False,營收時間序列未觸發主要異常；仍僅作 hygiene context。,0.107272,high_no_major_revenue_anomaly,False,False,False,0
2025-06-13,3665,貿聯-KY,TWSE,8,0.698320011626643,0.698320011626643,0.6583666654564939,0.7553181222090578,,,True,2025-06-13,0.698320011626643,layer4_primary80_top10_pool_selection_score,8,2025-05,125,0.7129629629629629,0.0003776661105485,0.1027402583149381,0.2890628682021526,1.0,0.0,False,0.1160530510275914,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.2041212851346121,0.3113391818980411,0.3118544748071128,0.1958014237795213,-0.1975701929667747,0.0419170578329135,False,營收時間序列未觸發主要異常；仍僅作 hygiene context。,0.06371,high_no_major_revenue_anomaly,False,False,False,0
2025-06-13,2404,漢唐,TWSE,9,0.6977444858410402,0.6977444858410402,0.6355599974748217,0.7269582486548293,,,True,2025-06-13,0.6977444858410402,layer4_primary80_top10_pool_selection_score,9,2025-05,125,0.6371681415929203,0.002276359917609,0.1072092252441258,0.2943418995273842,0.3916666666666666,0.3286330904043033,False,0.3859701540894803,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.2803491782197658,0.0508183250409839,-0.0065044413950775,-0.2013823180867453,-0.2478660791026764,-0.1056209758697145,False,成長連續性不足；只作 review / soft penalty，不 hard exclude。,0.169986,high_no_major_revenue_anomaly,False,False,False,0
2025-06-13,2345,智邦,TWSE,10,0.6857337084359515,0.6857337084359515,0.6231803329777957,0.7237068874631314,,,True,2025-06-13,0.6857337084359515,layer4_primary80_top10_pool_selection_score,10,2025-05,125,1.0,0.0042325636107246,0.118244924740782,0.3452812986441442,1.0,0.0357142857142857,False,0.4896656980937997,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,1.0828273204459893,1.280034488993392,1.216475200731729,0.7903687908995924,0.006891147719543,0.076733844415326,False,近期營收暴增程度位於自身歷史高分位；只作 review / soft penalty，不 hard exclude。,0.094598,high_no_major_revenue_anomaly,False,False,False,0
2025-06-20,4772,台特化,TPEx,1,0.7450834041507838,0.7450834041507838,0.6752302360107216,0.761643457328853,,,True,2025-06-20,0.7450834041507838,layer4_primary80_top10_pool_selection_score,1,2025-05,39,0.5185185185185185,0.0031435904695194,0.0993142729964876,0.2907279380544454,0.8416666666666666,0.125,False,0.0829230652455628,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,3y_ready_5y_partial,5y_trend,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.2671809355196786,0.3308326255858576,0.154806603985359,0.2479095603402947,-0.040255501241348,,False,營收時間序列未觸發主要異常；仍僅作 hygiene context。,0.086828,high_no_major_revenue_anomaly,False,False,False,0
2025-06-20,6213,聯茂,TWSE,2,0.7412667248764933,0.7412667248764933,0.686232055201412,0.7561889015527936,,,True,2025-06-20,0.7412667248764933,layer4_primary80_top10_pool_selection_score,2,2025-05,125,0.8918918918918919,0.0005763674200275,0.0968486078615974,0.2819516138653752,0.8416666666666666,0.0251126126126126,False,0.0570102973997135,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.107950054663501,0.2702102812816809,0.2103861880599891,0.2131999838819673,-0.2240266760606875,-0.1174590092012434,False,營收時間序列未觸發主要異常；仍僅作 hygiene context。,0.083135,high_no_major_revenue_anomaly,False,False,False,0
2025-06-20,2890,永豐金,TWSE,3,0.7368442931524057,0.7368442931524057,0.6357024536366929,0.7398252736111177,,,True,2025-06-20,0.7368442931524057,layer4_primary80_top10_pool_selection_score,3,2025-05,125,0.5185185185185185,0.0009128456744661,0.1039474562999608,0.2913567748735517,0.6833333333333333,0.088235294117647,False,-0.028490462710635,stable_or_synchronized,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.0498545371081278,-0.0036754965369896,0.0938820846827503,0.1223725473933854,-0.1477230531866696,-0.056064502221848,False,營收時間序列未觸發主要異常；仍僅作 hygiene context。,0.106,high_no_major_revenue_anomaly,False,False,False,0
2025-06-20,1815,富喬,TPEx,4,0.7354868376200823,0.7354868376200823,0.71606458196406,0.7923839540872155,,,True,2025-06-20,0.7354868376200823,layer4_primary80_top10_pool_selection_score,4,2025-05,125,0.925925925925926,0.0017125069425362,0.100013142844756,0.2871008544411391,1.0,0.0,False,0.0810388663774361,recent_spike_against_weak_3y,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.2483385457388585,0.4819031826345061,0.6859581276702145,0.6049192612927783,-0.2052872654599212,-0.0739728188465821,False,近期營收暴增程度位於自身歷史高分位；只作 review / soft penalty，不 hard exclude。,0.0619,high_no_major_revenue_anomaly,False,False,False,0
2025-06-20,6781,AES-KY,TWSE,5,0.7255659883535169,0.7255659883535169,0.6888330947900052,0.7891899501810481,,,True,2025-06-20,0.7255659883535169,layer4_primary80_top10_pool_selection_score,5,2025-05,53,1.0,0.001519495491154,0.1072905929291605,0.3102132277600722,1.0,0.0,True,0.5287944694020006,recent_spike_against_weak_3y,MOPS_monthly_revenue_PIT_conservative_available_date,3y_ready_5y_partial,5y_trend,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.8621417030067204,0.722820171181545,0.5706755418459291,0.3333472336047198,-0.261249677138876,,True,近期營收暴增程度位於自身歷史高分位；YoY 可能受低基期扭曲；只作 review / soft penalty，不 hard exclude。,0.388862,medium_minor_revenue_anomaly_review,False,False,False,0
2025-06-20,1514,亞力,TWSE,6,0.724347481907953,0.724347481907953,0.6465170805447844,0.7507481542208779,,,True,2025-06-20,0.724347481907953,layer4_primary80_top10_pool_selection_score,6,2025-05,125,0.9557522123893806,0.0016812266260816,0.1252349481532577,0.3415318576264018,0.3916666666666666,0.469542772861357,False,0.6410709484417397,recent_growth_not_yet_supported_by_persistence,MOPS_monthly_revenue_PIT_conservative_available_date,full_5y_monthly_revenue_proxy_ready,,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,0.6041577924267294,0.1670715607113444,0.0551139339248565,-0.0369131560150103,-0.2097815522741593,-0.0578475548649,True,近期營收暴增程度位於自身歷史高分位；成長連續性不足；只作 review / soft penalty，不 hard exclude。,0.44203,medium_minor_revenue_anomaly_review,False,False,False,0
