date,ticker,name,market,close,turnover_value,turnover_5d,turnover_20d,turnover_60d,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,top300_count_last20_trading_days,layer0_core_top250,layer0_buffer_candidate_251_300,buffer_confirmation,layer0_active_scope,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-07-08,5514,三豐,TPEx,13.6,44641,1637709.2,1569828.5,880624.5666666667,1637.0,1680.0,1804.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2065,世豐,TPEx,32.6,1662403,1637178.0,1789758.6,3610900.6333333333,1638.0,1655.0,1507.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,5398,慕康生醫,TPEx,15.85,1700284,1626522.2,1122598.35,1363119.65,1639.0,1751.0,1738.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6508,惠光,TPEx,25.2,2140867,1623641.2,1837345.9,1926501.85,1640.0,1649.0,1669.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6844,諾貝兒,TPEx,62.9,895662,1611651.2,2180242.95,1756221.8666666667,1641.0,1608.0,1685.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6887,寶綠特-KY,TWSE,33.9,1052150,1590692.8,955077.6,1579666.9,1642.0,1772.0,1705.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,8463,潤泰材,TWSE,21.55,2050995,1588191.6,1790720.45,1693385.85,1643.0,1654.0,1693.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,3224,三顧,TPEx,37.75,1299722,1586102.0,2958322.2,12433480.866666667,1644.0,1536.0,1181.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2596,綠意,TPEx,31.55,316446,1580523.6,1846131.9,3716870.55,1645.0,1647.0,1499.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2028,威致,TWSE,15.95,925896,1579231.4,2265956.5,3279584.6,1646.0,1601.0,1534.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,5548,安倉,TPEx,23.8,785683,1567364.8,1112662.4,1316070.25,1647.0,1755.0,1744.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2642,宅配通,TWSE,20.9,835833,1551416.2,4435663.35,3256053.183333333,1648.0,1416.0,1538.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,8466,美吉吉-KY,TWSE,17.5,893179,1548317.8,1445217.2,2172011.3833333333,1649.0,1699.0,1642.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,3631,晟楠,TPEx,32.95,1422084,1534022.8,2592849.0,9147936.65,1650.0,1565.0,1267.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4924,欣厚-KY,TPEx,13.2,614054,1531318.4,2630982.45,2166131.0,1651.0,1560.0,1644.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6128,上福,TWSE,20.25,1486312,1528236.8,3038344.85,3350129.15,1652.0,1526.0,1529.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,5345,馥鴻,TPEx,25.5,1215837,1505173.2,4924686.65,2123559.5833333335,1653.0,1387.0,1650.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6874,倍力,TPEx,81.1,2209770,1504126.2,3647625.35,5740401.6,1654.0,1469.0,1383.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1295,生合,TPEx,49.0,1028643,1491529.8,2885379.1,4013432.5833333335,1655.0,1543.0,1470.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2115,六暉-KY,TWSE,21.35,1548187,1483656.4,2333898.1,2861956.9,1656.0,1594.0,1562.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6581,鋼聯,TWSE,106.5,1840023,1479303.8,2351445.0,2996353.033333333,1657.0,1591.0,1553.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1336,台翰,TPEx,14.4,1130802,1478477.2,3940461.55,2459066.7666666666,1658.0,1442.0,1600.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6846,綠茵,TPEx,63.2,2021484,1477841.0,1532058.0,1397080.5666666667,1659.0,1686.0,1732.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,5007,三星,TWSE,55.5,891724,1476852.4,3545865.55,4239740.9,1660.0,1480.0,1457.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,8080,泰霖,TPEx,27.65,615874,1472952.6,1141302.4,1207971.2,1661.0,1748.0,1759.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,5364,力麗店,TPEx,8.9,508643,1471683.2,1246418.3,1544026.5666666667,1662.0,1730.0,1712.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,3191,雲嘉南,TPEx,18.65,2051812,1460291.8,2073942.45,3384554.45,1663.0,1620.0,1524.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4999,鑫禾,TWSE,20.1,1213250,1448621.0,1679353.5,3164711.433333333,1664.0,1670.0,1544.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6916,華凌,TWSE,20.3,345300,1448588.4,4505861.95,2448255.2333333334,1665.0,1414.0,1603.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1906,寶隆,TWSE,11.3,856578,1448346.6,1894686.4,2444406.4,1666.0,1639.0,1604.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2432,倚天酷碁-創,TWSE,28.35,422728,1431828.4,3451709.45,2892979.95,1667.0,1489.0,1560.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6504,南六,TWSE,36.25,1199140,1421552.4,1496051.95,2078227.25,1668.0,1689.0,1655.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2064,晉椿,TPEx,13.5,27013,1401960.6,1533854.05,887404.2333333333,1669.0,1685.0,1801.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4173,久裕,TPEx,18.15,713727,1379534.6,1855337.05,2602678.0,1670.0,1645.0,1587.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,3150,鈺寶-創,TWSE,18.25,1085927,1377075.6,1740896.85,2117943.283333333,1671.0,1661.0,1652.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,7842,天能綠電,TPEx,96.0,288194,1366571.0,3012664.5,,1672.0,1529.0,,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,3232,昱捷,TPEx,21.75,1436123,1356463.2,1910137.4,2673714.066666667,1673.0,1638.0,1579.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,7770,君曜,TPEx,43.5,262332,1354889.0,907211.65,1026760.8833333333,1674.0,1784.0,1786.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6020,大展證,TPEx,22.65,908201,1345720.4,2207596.7,3928537.7666666666,1675.0,1605.0,1478.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,3332,幸康,TPEx,65.6,1047964,1337763.8,1324891.1,2403169.75,1676.0,1715.0,1611.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,8066,來思達,TPEx,15.05,268533,1337593.0,1345211.65,1462623.8333333333,1677.0,1711.0,1723.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6124,業強,TPEx,29.1,845257,1332277.2,2418918.7,4285851.033333333,1678.0,1586.0,1452.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1805,寶徠,TWSE,10.1,942474,1328047.2,1544651.25,2245654.966666667,1679.0,1682.0,1632.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,9937,全國,TWSE,55.2,1329974,1321043.0,2493563.95,2706950.7666666666,1680.0,1579.0,1576.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4994,傳奇,TWSE,91.0,1099510,1318754.2,2182959.05,3088949.433333333,1681.0,1607.0,1547.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,7794,宏碁智新,TPEx,29.9,1284930,1312281.2,1508629.35,,1682.0,1687.0,,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6482,弘煜科,TPEx,28.05,169356,1311255.8,1146632.45,967643.3,1683.0,1746.0,1792.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,5538,東明-KY,TWSE,32.7,890624,1297194.4,3258557.05,2625489.316666667,1684.0,1508.0,1586.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2509,全坤建,TWSE,13.2,1292347,1295919.6,4453967.55,3843193.0833333335,1685.0,1415.0,1481.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,7708,全家餐飲,TPEx,93.9,582783,1292003.0,1082724.1,1203109.0166666666,1686.0,1760.0,1760.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2929,淘帝-KY,TWSE,5.89,869625,1286972.8,1323033.4,2453449.5166666666,1687.0,1718.0,1602.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4930,燦星網,TWSE,16.85,929443,1272337.6,1096084.85,1620296.95,1688.0,1758.0,1698.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,8906,花王,TPEx,28.0,597660,1256787.8,3373088.05,2510114.6,1689.0,1497.0,1598.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6936,永鴻生技,TWSE,33.0,1075033,1248707.0,919217.7,1578635.6833333333,1690.0,1780.0,1706.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,5516,雙喜,TPEx,10.3,439782,1248142.2,1034688.25,815330.4666666667,1691.0,1767.0,1818.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,3168,眾福科,TWSE,44.8,226050,1243975.4,3879747.3,4434964.033333333,1692.0,1448.0,1443.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4433,興采,TPEx,21.2,1445060,1243631.4,907657.9,942448.5666666667,1693.0,1783.0,1795.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4420,光明,TPEx,36.6,355349,1236901.4,2337555.6,2628294.933333333,1694.0,1593.0,1585.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6590,普鴻,TPEx,68.8,1494428,1235272.8,908713.95,977011.0333333333,1695.0,1782.0,1791.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,7732,金興精密,TWSE,35.55,931216,1233435.2,1079668.95,826653.85,1696.0,1761.0,1817.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,5223,安力-KY,TPEx,25.0,1252550,1207157.8,1393712.5,1211020.7333333334,1697.0,1704.0,1758.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1456,怡華,TWSE,13.85,237338,1201405.0,1932095.55,1491791.6333333333,1698.0,1636.0,1719.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,3310,佳穎,TPEx,68.6,137715,1200420.8,1598485.3,13126316.883333333,1699.0,1676.0,1165.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2734,易飛網,TPEx,15.1,686734,1199766.0,1537783.15,1971849.25,1700.0,1684.0,1662.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2424,隴華,TWSE,10.5,4873103,1198633.2,1289126.05,3985771.1166666667,1701.0,1723.0,1473.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,2726,雅茗-KY,TPEx,9.0,245051,1195411.0,818150.3,991090.8,1702.0,1802.0,1790.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4138,曜亞,TPEx,51.2,309627,1193713.2,1343527.7,3318008.966666667,1703.0,1712.0,1532.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6276,安鈦克,TPEx,22.05,677377,1186467.8,2647296.35,2311853.316666667,1704.0,1557.0,1624.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4527,方土霖,TPEx,39.25,1050810,1172191.2,1813767.9,2230448.683333333,1705.0,1651.0,1637.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,7839,達人網,TPEx,44.75,1106718,1171863.6,,,1706.0,,,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,3373,熱映,TPEx,16.6,1309036,1167154.2,1246158.75,1376509.2833333334,1707.0,1731.0,1737.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4148,全宇生技-KY,TWSE,29.9,795750,1163968.6,1493908.7,2293897.2333333334,1708.0,1691.0,1626.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6578,達邦蛋白,TPEx,16.5,1844645,1163933.4,1229720.55,2335416.4166666665,1709.0,1735.0,1619.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6160,欣技,TPEx,16.4,546543,1155569.4,1807484.05,2660388.466666667,1710.0,1653.0,1580.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1418,東華,TWSE,18.3,80359,1136301.4,630313.45,604183.4166666666,1711.0,1837.0,1853.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,8435,鉅邁,TPEx,52.6,633304,1129882.2,2414544.8,2235838.9833333334,1712.0,1587.0,1635.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,8481,政伸,TWSE,42.3,1054461,1124148.0,937164.35,1249821.0166666666,1713.0,1777.0,1753.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1423,利華,TWSE,36.75,2048497,1111869.6,27443264.6,13503943.533333333,1714.0,976.0,1157.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,6722,輝創,TWSE,35.2,1014362,1111143.8,2610293.65,3747642.0,1715.0,1562.0,1494.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,1583,程泰,TWSE,48.3,1133156,1105142.8,1711887.55,3308244.9,1716.0,1665.0,1533.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
2026-07-08,4161,聿新科,TPEx,23.2,233051,1102729.2,1429670.85,2333323.1666666665,1717.0,1701.0,1620.0,0,False,False,False,False,True,False,False,False,True,False,False,False,True,False
