ticker,name,market,fiscal_period,source_period,table_index,source_file,available_date,current_assets,current_liabilities,current_ratio,current_ratio_sample_from_radar,source_quality,parser_status,pit_timing_policy,full_universe_materialized,diagnostic_only,not_live_rule
1104,環泥,sii,2024Q4,113q04,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,7179390,3799190,1.8897159657716514,1.889716,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1104,環泥,sii,2026Q1,115q01,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,7669095,4410523,1.7388175960084553,1.738818,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1108,幸福,sii,2015Q4,104q04,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,5212763,1824743,2.8567107806414382,2.856711,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1108,幸福,sii,2024Q4,113q04,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,5998794,4163555,1.4407865393876147,1.440787,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1108,幸福,sii,2026Q1,115q01,3,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,5834525,4480873,1.3020955961037057,1.302096,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1409,新纖,sii,2015Q4,104q04,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,88735735,87001126,1.0199377764375142,1.019938,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1409,新纖,sii,2024Q4,113q04,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,146262124,135661949,1.078136685180603,1.078137,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1409,新纖,sii,2026Q1,115q01,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,169282176,165890727,1.0204438732732783,1.020444,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1718,中纖,sii,2015Q4,104q04,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,541677201,531473038,1.0191997754738407,1.0192,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1718,中纖,sii,2024Q4,113q04,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,745922400,883413218,0.8443640923652107,0.844364,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
1718,中纖,sii,2026Q1,115q01,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,795306498,911432986,0.8725891099140008,0.872589,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
2207,和泰車,sii,2024Q4,113q04,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,370575705,361071093,1.026323381140899,1.026323,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
2207,和泰車,sii,2026Q1,115q01,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,371776395,369092964,1.0072703390791269,1.00727,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
2514,龍邦,sii,2015Q4,104q04,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,654416,2430307,0.26927297662394095,0.269273,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
2855,統一證,sii,2015Q4,104q04,2,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,65185471,47265147,1.3791445734845593,1.379145,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
2855,統一證,sii,2024Q4,113q04,2,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,183285113,157854966,1.161098175397282,1.161098,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
2855,統一證,sii,2026Q1,115q01,2,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,256323628,220745648,1.1611718297612825,1.161172,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
2905,三商,sii,2015Q4,104q04,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,165333265,11509108,14.365428233013366,14.365428,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
2905,三商,sii,2024Q4,113q04,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,125547721,20473141,6.132313600536429,6.132314,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
2905,三商,sii,2026Q1,115q01,6,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,133124099,62246052,2.1386753813719785,2.138675,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
6005,群益證,sii,2015Q4,104q04,2,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,79591301,59982074,1.3269181222376538,1.326918,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
6005,群益證,sii,2024Q4,113q04,2,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,282926897,256345104,1.103695341105481,1.103695,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
6005,群益證,sii,2026Q1,115q01,2,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,367374710,331735961,1.107431069253297,1.107431,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
6024,群益期,sii,2015Q4,104q04,2,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_104q04_response.html,2016-03-31,19965045,17484613,1.1418637061054768,1.141864,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
6024,群益期,sii,2024Q4,113q04,2,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_113q04_response.html,2025-03-31,61070306,54199619,1.126766333910945,1.126766,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
6024,群益期,sii,2026Q1,115q01,2,outputs\radar_dynamic_pool1_twse_market_cap_route_20260703\raw_sources\t163sb05_sii_115q01_response.html,2026-05-15,83604913,73607565,1.1358195723496627,1.13582,sample_unlocked_proxy,sample_parser_unlocked_current_ratio_only,conservative_statutory_quarter_available_date_sample_only,False,True,True
