task,signal_date,next_signal_date,period_label,in_P1,in_P2,in_2024_latest,in_2026YTD,regime_label,selected_branch,selected_ticker,selected_ticker_name,selected_asset_type,fallback_asset,branch_reason,triggered_features,c2_pass_flag,consensus_trigger_flag,r6_override_flag,breakout_breadth_flag,p1_risk_veto_flag,bear_guard_flag,cash_guard_flag,bear_cash_guard_source_quality,rs20_top3_reference_tickers,rs20_reference_only,low_base_main_weight_included,entry_date,exit_date,entry_price,exit_price,gross_interval_return,net_interval_return_after_transition_cost,transition_action,transition_cost_rate,official_selected_stock_ohlc_ready,benchmark_adjusted_path_ready,path_ready,branch_path_missing_fallback,source_quality,data_readiness,blocked_reason,selected_primary_asset_type_for_anomaly,revenue_anomaly_applicability,abnormal_revenue_review_flag,revenue_growth_persistence_score,revenue_concentration_ratio_top3_12m,revenue_lumpiness_score,revenue_lumpiness_percentile_vs_primary80,revenue_lumpiness_percentile_source_quality,ttm_vs_recent_growth_gap,low_base_distortion_flag,revenue_anomaly_penalty_score,revenue_hygiene_confidence_level,revenue_anomaly_used_as_hard_exclude,route_support_selected_result_changed,r6_selected_result_changed,report_revenue_anomaly_warning,report_revenue_anomaly_reason,revenue_anomaly_report_text,revenue_anomaly_source_quality,data_coverage,missingness,pit_asof_audit,business_model_keyword_proxy_used_as_risk_basis,industry_classification_used_as_risk_basis,hard_exclude_applied,selected_stock_adjusted_close_ready,cash_bear_classifier_ready,cash_bear_classifier_status,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-04-10,2015-04-17,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0087;0050_ret40=0.0220;0050_ret60=0.0466;bias20=0.0013;bias60=0.0147;breadth20=0.825;breadth60=0.113;breakout_count=0,True,False,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-04-10,2015-04-17,0.8327299952507019,0.8404499888420105,0.0092707043523565,0.0092707043523565,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-04-17,2015-04-24,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=False;r6_override=False;0050_ret20=-0.0122;0050_ret40=0.0080;0050_ret60=0.0502;bias20=-0.0072;bias60=0.0015;breadth20=0.863;breadth60=0.700;breakout_count=0,False,False,False,False,False,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-04-17,2015-04-24,0.8404499888420105,0.8022699952125549,-0.0454280375231616,-0.0454280375231616,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-04-24,2015-04-30,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0278;0050_ret40=0.0278;0050_ret60=0.0898;bias20=0.0392;bias60=0.0416;breadth20=0.637;breadth60=0.600;breakout_count=3,True,False,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-04-24,2015-04-30,0.8022699952125549,0.8113600015640259,0.0113303581159889,0.0113303581159889,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-04-30,2015-05-08,P1,True,False,False,False,多頭_C2_route_support_default,route_support,2316,,stock,,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=0.0348;0050_ret40=0.0222;0050_ret60=0.0400;bias20=0.0192;bias60=0.0263;breadth20=0.738;breadth60=0.725;breakout_count=0,True,True,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-05-04,2015-05-11,22.8,21.75,-0.0460526315789473,-0.0499026315789473,00631L_to_stock_exception,0.00385,True,True,True,False,official_unadjusted_ohlcv_twse_stock_day,ready_unadjusted_diagnostic,,stock,selected_stock_anomaly_context,True,0.5,1.0,,,blocked_historical_primary80_distribution_not_materialized,0.0,False,0.525,low_revenue_anomaly_confidence_downgrade,False,False,False,入選個股觸發營收異常 review，僅作信心下修/軟扣分。,最近 12 個月營收過度集中在少數月份；只作 review / soft penalty，不 hard exclude。,最近 12 個月營收過度集中在少數月份；只作 review / soft penalty，不 hard exclude。,MOPS_monthly_revenue_PIT_conservative_available_date,insufficient_monthly_revenue_history,ttm;3y_trend;5y_trend,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,False,False,False,False,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-05-08,2015-05-15,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=False;r6_override=False;0050_ret20=0.0203;0050_ret40=0.0225;0050_ret60=0.0368;bias20=-0.0009;bias60=0.0098;breadth20=0.600;breadth60=0.613;breakout_count=0,True,False,False,False,False,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-05-08,2015-05-15,0.8245499730110168,0.836359977722168,0.0143229702234108,0.0084729702234108,stock_exception_to_00631L_base,0.00585,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-05-15,2015-05-22,P1,True,False,False,False,多頭_C2_route_support_default,route_support,3008,,stock,,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=False;r6_override=False;0050_ret20=0.0043;0050_ret40=0.0123;0050_ret60=0.0182;bias20=-0.0118;bias60=0.0006;breadth20=0.463;breadth60=0.525;breakout_count=0,True,True,False,False,False,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-05-18,2015-05-25,3130.0,3465.0,0.1070287539936101,0.1031787539936101,00631L_to_stock_exception,0.00385,True,True,True,False,official_unadjusted_ohlcv_twse_stock_day,ready_unadjusted_diagnostic,,stock,selected_stock_anomaly_context,True,0.5,0.8237964910957446,,,blocked_historical_primary80_distribution_not_materialized,0.0,False,0.489759,low_revenue_anomaly_confidence_downgrade,False,False,False,入選個股觸發營收異常 review，僅作信心下修/軟扣分。,最近 12 個月營收過度集中在少數月份；只作 review / soft penalty，不 hard exclude。,最近 12 個月營收過度集中在少數月份；只作 review / soft penalty，不 hard exclude。,MOPS_monthly_revenue_PIT_conservative_available_date,insufficient_monthly_revenue_history,ttm;3y_trend;5y_trend,monthly_revenue_available_date_le_asof_date;no_future_return_or_keyword_rule,False,False,False,False,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-05-22,2015-05-29,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=False;r6_override=False;0050_ret20=-0.0112;0050_ret40=0.0028;0050_ret60=0.0180;bias20=-0.0055;bias60=0.0084;breadth20=0.650;breadth60=0.637;breakout_count=0,False,False,False,False,False,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-05-22,2015-05-29,0.8345500230789185,0.8327299952507019,-0.0021808492934933,-0.0080308492934933,stock_exception_to_00631L_base,0.00585,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-05-29,2015-06-05,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=False;r6_override=False;0050_ret20=-0.0049;0050_ret40=0.0297;0050_ret60=0.0172;bias20=0.0039;bias60=0.0131;breadth20=0.688;breadth60=0.738;breakout_count=0,False,False,False,False,False,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-05-29,2015-06-05,0.8327299952507019,0.8550000190734863,0.0267433909548073,0.0267433909548073,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-06-05,2015-06-12,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=-0.0291;0050_ret40=-0.0094;0050_ret60=-0.0073;bias20=-0.0286;bias60=-0.0248;breadth20=0.675;breadth60=0.650;breakout_count=0,False,False,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-06-05,2015-06-12,0.8550000190734863,0.8663600087165833,0.0132865372978669,0.0132865372978669,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-06-12,2015-06-18,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=-0.0171;0050_ret40=-0.0129;0050_ret60=-0.0051;bias20=-0.0172;bias60=-0.0192;breadth20=0.625;breadth60=0.562;breakout_count=0,False,False,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-06-12,2015-06-18,0.8663600087165833,0.8568199872970581,-0.0110116133288027,-0.0110116133288027,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
TASK-BACKTEST-CORE-VNEXT-R6-GUARD-FIRST-MARKET-BIAS-OVERRIDE-UNIFIED-CONTRACT-001,2015-06-18,2015-06-26,P1,True,False,False,False,多頭_C2_route_support_default,route_support,00631L,,etf,00631L,r6_not_triggered_route_support_default,breakout_breadth=False;p1_risk_veto=True;r6_override=False;0050_ret20=-0.0249;0050_ret40=-0.0179;0050_ret60=-0.0332;bias20=-0.0168;bias60=-0.0230;breadth20=0.600;breadth60=0.688;breakout_count=0,False,False,False,False,True,False,False,blocked_no_accepted_bear_cash_classifier,,True,False,2015-06-18,2015-06-26,0.8568199872970581,0.864549994468689,0.0090217400226808,0.0090217400226808,hold_same_state_no_trade,0.0,True,True,True,False,benchmark_features_adjusted_close_exact_reference,ready_unadjusted_diagnostic,,etf,not_applicable_fallback_or_etf,False,,,,,,,False,0.0,not_applicable_fallback_or_etf,False,False,False,fallback/ETF row：營收異常欄位不適用。,fallback/ETF 不套用公司營收 anomaly。,,,,,,False,False,False,True,False,blocked_no_accepted_bear_cash_classifier,True,False,False,False,False,False,False,False,True,False
