decision_date,adj_close,ma20,ma60,ret20,taiwan_group,above,rspos,breadth_group,turnover,margin,capital_group,chg20,derivatives_group,session_date,sox20,external_group,bullish_count,bearish_count,market_state,market_confidence
2023-08-01,30.38922691345215,,,,neutral,0.625,0.7875,bullish,490367664641,9572436,neutral,,neutral,2023-08-01,,neutral,1,0,ordinary_market,1.0
2023-08-02,30.01361846923828,,,,neutral,0.4125,0.7125,neutral,563678007479,9515026,neutral,,neutral,2023-08-02,,neutral,0,0,ordinary_market,1.0
2023-08-04,29.87276077270508,,,,neutral,0.3875,0.525,neutral,455417632393,9536029,neutral,,neutral,2023-08-04,,neutral,0,0,ordinary_market,1.0
2023-08-07,30.166210174560547,,,,neutral,0.35,0.4875,neutral,411221444706,9590382,neutral,,neutral,2023-08-07,,neutral,0,0,ordinary_market,1.0
2023-08-08,29.81407356262207,,,,neutral,0.475,0.7,neutral,469952990321,9545013,neutral,,neutral,2023-08-08,0.00708626790269129,bullish,1,0,ordinary_market,1.0
2023-08-09,29.86102294921875,,,,neutral,0.4,0.6625,neutral,411971213010,9511573,neutral,-2307.0,bearish,2023-08-09,-0.029824233732404615,neutral,0,1,ordinary_market,1.0
2023-08-10,29.673219680786133,,,,neutral,0.2375,0.475,neutral,447797338381,9413278,neutral,-4027.0,bearish,2023-08-10,-0.052700294553271965,bearish,0,2,ordinary_market,1.0
2023-08-11,29.649747848510746,,,,neutral,0.2,0.4875,neutral,370024619817,9374618,neutral,-1563.0,bearish,2023-08-11,-0.06288908914188351,bearish,0,2,ordinary_market,1.0
2023-08-14,29.227184295654297,30.07348003387451,,,neutral,0.2125,0.625,neutral,401624669916,10449363,neutral,-12293.0,bearish,2023-08-14,-0.05781657047102928,bearish,0,2,ordinary_market,1.0
2023-08-15,29.27413558959961,30.010095882415772,,-0.04150646839332417,neutral,0.25,0.5375,neutral,367709381791,9228809,neutral,-6011.0,bearish,2023-08-15,-0.07505807327306557,bearish,0,2,ordinary_market,1.0
2023-08-16,29.121543884277344,29.9420166015625,,-0.0446668580076548,neutral,0.35,0.6125,neutral,409589346585,9796526,bearish,-5205.0,bearish,2023-08-16,-0.08458932188017432,bearish,0,3,weak_market,1.0
2023-08-17,29.250656127929688,29.893304443359376,,-0.03223313185101717,neutral,0.3625,0.625,neutral,480903524178,9233936,bullish,-2184.0,bearish,2023-08-17,-0.05936378241542517,bearish,1,2,ordinary_market,1.0
2023-08-18,29.07458877563477,29.82874631881714,,-0.04252035391826525,neutral,0.3,0.575,neutral,471580315157,9213265,bullish,-6246.0,bearish,2023-08-18,-0.06383338096655622,bearish,1,2,ordinary_market,1.0
2023-08-21,28.87504768371582,29.779447555541992,,-0.03301880405033897,neutral,0.4125,0.575,neutral,333292215323,9203028,neutral,-6622.0,bearish,2023-08-21,-0.035636151711914144,neutral,0,1,ordinary_market,1.0
2023-08-22,29.109804153442383,29.74129972457886,,-0.025540211200024587,neutral,0.375,0.55,neutral,389742703118,9212766,neutral,-9356.0,bearish,2023-08-22,-0.06060285330784487,bearish,0,2,ordinary_market,1.0
2023-08-23,29.30934715270996,29.694348430633546,,-0.031043847479821807,neutral,0.3375,0.5625,neutral,365296189994,9207854,neutral,-7939.0,bearish,2023-08-23,-0.02631802288977092,neutral,0,1,ordinary_market,1.0
2023-08-24,29.81407356262207,29.67674160003662,,-0.01167321350281636,neutral,0.4375,0.475,neutral,529101998794,9192494,bullish,-3257.0,bearish,2023-08-24,-0.07615430136793178,bearish,1,2,ordinary_market,1.0
2023-08-25,29.238922119140625,29.618639373779295,,-0.03822393342761865,neutral,0.3625,0.5,neutral,149321817318,9197592,neutral,-14030.0,bearish,2023-08-25,-0.09245386693849178,bearish,0,2,ordinary_market,1.0
2023-08-28,29.42672538757324,29.569927310943605,,-0.03204639076491167,neutral,0.425,0.55,neutral,335866402874,9198606,neutral,-9325.0,bearish,2023-08-28,-0.08384018547867655,bearish,0,2,ordinary_market,1.0
2023-08-29,29.59105491638184,29.53764820098877,,-0.021350992064067764,neutral,0.6,0.5875,neutral,299539961957,9208867,neutral,-1070.0,bearish,2023-08-29,-0.05926061435043528,bearish,0,2,ordinary_market,1.0
2023-08-30,29.720170974731445,29.504195404052734,,-0.02201622109789625,neutral,0.7,0.6625,bullish,348459296667,9252396,neutral,-7020.0,bearish,2023-08-30,-0.018234770449539472,neutral,1,1,ordinary_market,1.0
2023-08-31,29.50889015197754,29.478958988189696,,-0.01681664334402233,neutral,0.6375,0.7375,bullish,436131199038,9281187,bullish,-3124.0,bearish,2023-08-31,-0.010018701242061612,neutral,2,1,ordinary_market,1.0
2023-09-01,29.55583953857422,29.463112926483156,,-0.010609037328094373,neutral,0.6125,0.625,bullish,354650052493,9280708,neutral,-4722.0,bearish,2023-09-01,-0.0044225409540425975,neutral,1,1,ordinary_market,1.0
2023-09-04,29.75538444519043,29.44257164001465,,-0.013618738548621834,neutral,0.675,0.7625,bullish,161476085469,9286772,neutral,-5480.0,bearish,2023-09-01,-0.0044225409540425975,neutral,1,1,ordinary_market,1.0
2023-09-05,29.68495750427246,29.43611583709717,,-0.004330708384361226,neutral,0.7,0.7375,bullish,330390999679,9337559,neutral,-5863.0,bearish,2023-09-05,-0.014873970587380825,neutral,1,1,ordinary_market,1.0
2023-09-06,29.57931900024414,29.422030639648437,,-0.009433834515772288,neutral,0.1875,0.1875,bearish,362046068517,9368278,neutral,-7029.0,bearish,2023-09-06,-0.006783667389826165,neutral,0,2,ordinary_market,1.0
2023-09-07,29.30934715270996,29.40383701324463,,-0.012262657439623403,neutral,0.675,0.7375,bullish,317329092969,9392502,neutral,764.0,bullish,2023-09-07,-0.007857645853278417,neutral,2,0,ordinary_market,1.0
2023-09-08,29.18023109436035,29.38036117553711,,-0.01583543835007617,neutral,0.6375,0.775,bullish,302368449334,9397438,bearish,-2772.0,bearish,2023-09-08,-0.008626593438008867,neutral,1,2,ordinary_market,1.0
2023-09-11,29.062854766845703,29.37214469909668,,-0.005622489225998617,neutral,0.6125,0.8,bullish,360604064030,9348073,bullish,4607.0,bullish,2023-09-11,0.015558159901253088,bullish,4,0,strong_market,1.0
2023-09-12,29.356300354003903,29.376252937316895,,0.0028067358010559484,neutral,0.6,0.725,bullish,318119344628,9345415,bearish,2459.0,bullish,2023-09-12,-0.020567250075512078,neutral,2,1,ordinary_market,1.0
2023-09-13,29.39151191711425,29.38975133895874,,0.009270388751011938,neutral,0.575,0.6125,neutral,319820378696,9389067,neutral,1703.0,bullish,2023-09-13,0.0018289457595028757,bullish,2,0,ordinary_market,1.0
2023-09-14,29.802335739135746,29.417335319519044,,0.018860418337053764,neutral,0.6875,0.6875,bullish,370593730373,9414788,neutral,990.0,bullish,2023-09-14,0.029927444198313946,bullish,3,0,strong_market,1.0
2023-09-15,29.896238327026367,29.45841779708862,,0.028260057527629057,neutral,0.7,0.65,bullish,505573678666,9454721,neutral,-695.0,bearish,2023-09-15,0.008716408394580766,bullish,2,1,ordinary_market,1.0
2023-09-18,29.57931900024414,29.49363136291504,,0.024390308346590173,neutral,0.75,0.8125,bullish,352577350323,9473394,neutral,-724.0,bearish,2023-09-18,0.008585680863303136,bullish,2,1,ordinary_market,1.0
2023-09-19,29.450199127197266,29.510651111602783,,0.011693482098354524,neutral,0.6875,0.7625,bullish,350602844451,9470370,neutral,-3323.0,bearish,2023-09-19,-0.02856708745432146,neutral,1,1,ordinary_market,1.0
2023-09-20,29.285869598388672,29.50947723388672,,-0.0008010261777229299,neutral,0.625,0.75,bullish,346937076342,9459955,neutral,-3159.0,bearish,2023-09-20,-0.03653378980385236,neutral,1,1,ordinary_market,1.0
2023-09-21,28.816356658935547,29.459591388702393,,-0.033464628763020254,neutral,0.425,0.7875,neutral,342232529647,9423505,neutral,-11565.0,bearish,2023-09-21,-0.07305918401001288,bearish,0,2,ordinary_market,1.0
2023-09-22,28.79288482666016,29.43728952407837,,-0.015254915713478923,neutral,0.5375,0.7875,neutral,305619510203,9437068,bearish,1223.0,bullish,2023-09-22,-0.03332376070390031,neutral,1,1,ordinary_market,1.0
2023-09-25,29.00416374206543,29.416161441802977,,-0.014359791650016662,neutral,0.55,0.875,neutral,282012770222,9473668,bearish,3253.0,bullish,2023-09-25,-0.030377739296790662,neutral,1,1,ordinary_market,1.0
2023-09-26,28.66376495361328,29.36979694366455,,-0.03133683355963102,neutral,0.4,0.8625,neutral,302493707183,9473656,bearish,-1260.0,bearish,2023-09-26,-0.05886309929476796,bearish,0,3,weak_market,1.0
2023-09-27,28.675506591796875,29.31756372451782,,-0.03515001255621175,neutral,0.3375,0.8625,neutral,274651736664,9480899,bearish,-1555.0,bearish,2023-09-27,-0.07388207176042005,bearish,0,3,weak_market,1.0
2023-09-28,28.79288482666016,29.28176345825195,,-0.024264054718079464,neutral,0.325,0.75,neutral,330612693205,9512869,neutral,-1633.0,bearish,2023-09-28,-0.06117860337773695,bearish,0,2,ordinary_market,1.0
2023-10-02,29.168493270874023,29.262396144866944,,-0.0131055748626141,neutral,0.5125,0.8,neutral,358893886866,9561140,neutral,-906.0,bearish,2023-10-02,-0.06353520235748122,bearish,0,2,ordinary_market,1.0
2023-10-03,28.99242782592773,29.224248313903807,,-0.025640959896453985,neutral,0.5,0.7875,neutral,339023408726,9604101,neutral,-6347.0,bearish,2023-10-03,-0.08339507889425823,bearish,0,2,ordinary_market,1.0
2023-10-04,28.616817474365234,29.17084131240845,,-0.03598253525387374,neutral,0.325,0.7625,neutral,306076994138,9573148,bearish,-2241.0,bearish,2023-10-04,-0.06281093280978645,bearish,0,3,weak_market,1.0
2023-10-05,29.02764129638672,29.143257427215577,,-0.018650791245493847,neutral,0.525,0.675,neutral,312381961938,9595528,bearish,2538.0,bullish,2023-10-05,-0.048890213226630896,neutral,1,1,ordinary_market,1.0
2023-10-06,29.133277893066406,29.134453964233398,,-0.006007273335915109,neutral,0.425,0.5375,neutral,283858929044,9586152,bearish,-948.0,bearish,2023-10-06,-0.02545717445799911,neutral,0,2,ordinary_market,1.0
2023-10-11,29.63800430297852,29.157342624664306,,0.01568778558119921,neutral,0.1625,0.1375,bearish,453524707708,9486847,neutral,-145.0,bearish,2023-10-11,-0.006355887458580289,neutral,0,2,ordinary_market,1.0
2023-10-12,29.884502410888672,29.198425006866454,29.548016579945884,0.028271401781916117,bullish,0.825,0.6375,bullish,368725058838,9482268,neutral,5724.0,bullish,2023-10-12,-0.009935150220632072,neutral,3,0,strong_market,1.0
2023-10-13,29.802335739135746,29.220726776123048,29.535691865285237,0.01519385548427965,bullish,0.75,0.6125,bullish,385031816942,9523821,neutral,655.0,bullish,2023-10-13,-0.006736851331031635,neutral,3,0,strong_market,1.0
2023-10-16,29.63800430297852,29.23305139541626,29.5216064453125,0.008386516030866042,bullish,0.725,0.6375,bullish,306212931747,9548439,bearish,-753.0,bearish,2023-10-16,0.0028747674702207515,bullish,3,2,ordinary_market,1.0
2023-10-17,29.70843315124512,29.228356266021727,29.51299867630005,-0.003150846588420686,neutral,0.675,0.55,neutral,357507500236,9532020,neutral,-3162.0,bearish,2023-10-17,0.004521480792194055,bullish,1,1,ordinary_market,1.0
2023-10-18,29.297611236572266,29.198424911499025,29.49519634246826,-0.02002349204959808,bearish,0.6125,0.5625,neutral,433581316872,9449572,bullish,-6697.0,bearish,2023-10-18,0.004307358259432181,bullish,2,2,ordinary_market,1.0
2023-10-19,29.30934715270996,29.184926319122315,29.48600174585978,-0.009127047432429092,bearish,0.65,0.45,neutral,336166191253,11396764,bearish,1505.0,bullish,2023-10-19,0.0086616412924021,bullish,2,2,ordinary_market,1.0
2023-10-20,29.43846321105957,29.18433952331543,29.47876345316569,-0.00039850040018429844,bearish,0.575,0.375,neutral,353700424485,9488038,neutral,3820.0,bullish,2023-10-20,-0.014605025395691418,neutral,1,1,ordinary_market,1.0
2023-10-23,29.07458877563477,29.173775482177735,29.459200382232666,-0.007214428857715283,bearish,0.5875,0.575,neutral,273136320675,9479902,bearish,-4314.0,bearish,2023-10-23,-0.026824309159224402,neutral,0,3,weak_market,1.0
2023-10-24,29.09806632995605,29.18786096572876,29.44139798482259,0.009776033603233092,neutral,0.725,0.575,neutral,304042676591,9510341,bearish,1306.0,bullish,2023-10-24,0.004300738136711502,bullish,2,1,ordinary_market,1.0
2023-10-25,29.15675544738769,29.206054496765137,29.420661131540935,0.012637518710546525,neutral,0.725,0.5625,neutral,308013048967,9510778,bearish,2436.0,bullish,2023-10-25,-0.046281122590349555,neutral,1,1,ordinary_market,1.0
2023-10-26,28.58160400390625,29.184926509857178,29.39033842086792,-0.014568933685418783,bearish,0.475,0.5375,neutral,310473645094,9509617,bearish,-7347.0,bearish,2023-10-26,-0.06798326479272787,bearish,0,4,weak_market,1.0
2023-10-27,28.710718154907227,29.187274169921874,29.36490643819173,0.0016380681801546615,neutral,0.55,0.5375,neutral,286455452033,9487557,bearish,-3026.0,bearish,2023-10-27,-0.0603326885077059,bearish,0,3,weak_market,1.0
2023-10-30,28.64029121398925,29.185513401031493,29.33575750986735,-0.0012280647142149936,bearish,0.625,0.625,bullish,276754819545,9510188,bearish,-4234.0,bearish,2023-10-30,-0.07645161678520285,bearish,1,4,weak_market,1.0
2023-10-31,28.44074821472168,29.16790657043457,29.309543005625407,-0.012229987167261092,bearish,0.4625,0.55,neutral,356464881422,9466068,bullish,-5213.0,bearish,2023-10-31,-0.047589626731466605,neutral,1,2,ordinary_market,1.0
2023-11-01,28.58160400390625,29.13856210708618,29.288023726145425,-0.020120657639652872,bearish,0.5625,0.6,neutral,276191613481,9439043,neutral,-6384.0,bearish,2023-11-01,-0.0391162344694419,neutral,0,2,ordinary_market,1.0
2023-11-02,29.227184295654297,29.15029993057251,29.272373294830324,0.008097164926513134,neutral,0.7625,0.5625,neutral,339547063467,9452035,bullish,5933.0,bullish,2023-11-02,-0.01128270245983698,neutral,2,0,ordinary_market,1.0
2023-11-03,29.450199127197266,29.191969013214113,29.266308720906576,0.02912209415245326,bullish,0.75,0.4875,neutral,337427390944,9447830,bullish,9133.0,bullish,2023-11-03,-0.005939178584926985,neutral,3,0,strong_market,1.0
2023-11-06,29.70843315124512,29.22600860595703,29.263765557607016,0.02345322680224604,bullish,0.875,0.6375,bullish,348181858607,9464282,bullish,8266.0,bullish,2023-11-06,-0.006477628288330872,neutral,4,0,strong_market,1.0
2023-11-07,29.69669532775879,29.25417947769165,29.264156818389893,0.01933930801609085,bullish,0.925,0.6875,bullish,299160460433,9498127,neutral,12000.0,bullish,2023-11-07,-0.011563011737076634,neutral,3,0,strong_market,1.0
2023-11-08,29.86102294921875,29.265330410003664,29.26767807006836,0.007524752475247309,bullish,0.8625,0.8625,bullish,373663743145,9527894,neutral,9500.0,bullish,2023-11-08,-0.018418113592536867,neutral,3,0,strong_market,1.0
2023-11-09,29.87276077270508,29.264743328094482,29.278437678019205,-0.00039290057509244747,neutral,0.8,0.5875,neutral,334809500246,9532295,neutral,5962.0,bullish,2023-11-09,-0.0271316810809219,neutral,1,0,ordinary_market,1.0
2023-11-10,29.75538444519043,29.262395763397215,29.286458492279053,-0.001575423294210454,neutral,0.7375,0.5625,neutral,320992799938,9543133,bearish,9189.0,bullish,2023-11-10,0.04018859726804758,bullish,2,1,ordinary_market,1.0
2023-11-13,30.2131576538086,29.29115343093872,29.304652055104572,0.019405940594059423,bullish,0.7375,0.55,neutral,366055771993,9533404,bullish,4552.0,bullish,2023-11-13,0.015486034324853959,bullish,4,0,strong_market,1.0
2023-11-14,30.283586502075195,29.319911098480226,29.321867561340333,0.019359935540927964,bullish,0.7875,0.6625,bullish,350192766275,9544640,neutral,6464.0,bullish,2023-11-14,0.060699510624037334,bullish,4,0,strong_market,1.0
2023-11-15,30.6474609375,29.387403583526613,29.34808209737142,0.04607371194968679,bullish,0.8375,0.5375,neutral,473472674771,9518745,neutral,13756.0,bullish,2023-11-15,0.08748923845103507,bullish,3,0,strong_market,1.0
2023-11-16,30.659198760986328,29.45489616394043,29.37781794865926,0.04605532839893223,bullish,0.7875,0.5125,neutral,359511619942,9541421,bullish,10775.0,bullish,2023-11-16,0.10580594163451718,bullish,4,0,strong_market,1.0
2023-11-17,30.75309944152832,29.520627975463867,29.405206203460693,0.044657094395296415,bullish,0.825,0.5875,neutral,371059479621,9591855,neutral,8476.0,bullish,2023-11-17,0.13042574311585242,bullish,3,0,strong_market,1.0
2023-11-20,30.741361618041992,29.603966617584227,29.429073111216226,0.05732747779408043,bullish,0.8875,0.725,bullish,363447040963,9628267,neutral,12356.0,bullish,2023-11-20,0.15378622467030123,bullish,4,0,strong_market,1.0
2023-11-21,31.116973876953125,29.704911994934083,29.45078811645508,0.06938287665248177,bullish,0.9125,0.6625,bullish,441508700177,9626702,neutral,14347.0,bullish,2023-11-21,0.11628501243139078,bullish,4,0,strong_market,1.0
2023-11-22,30.83526611328125,29.78883752822876,29.477393849690756,0.05756849965430377,bullish,0.9,0.6875,bullish,379232754276,9659434,neutral,1829.0,bullish,2023-11-22,0.16816804901881577,bullish,4,0,strong_market,1.0
2023-11-23,30.823530197143555,29.900933837890626,29.50067392985026,0.07843948131570566,bullish,0.8875,0.5375,neutral,410650578036,9687211,neutral,9945.0,bullish,2023-11-22,0.16816804901881577,bullish,3,0,strong_market,1.0
2023-11-24,30.800048828125,30.005400371551513,29.520823828379314,0.07277180117699933,bullish,0.875,0.6,bullish,339473579006,9704666,bearish,4902.0,bullish,2023-11-24,0.17548190748870884,bullish,4,1,strong_market,1.0
2023-11-27,30.60050773620605,30.103411197662354,29.535496107737224,0.06844261839276755,bullish,0.675,0.6,bullish,358057369776,9710709,bearish,-24214.0,bearish,2023-11-27,0.1587250299039329,bullish,3,2,ordinary_market,1.0
2023-11-28,30.811786651611328,30.221963119506835,29.557211049397786,0.08336765330464613,bullish,0.175,0.1875,bearish,381288938869,9736400,neutral,,neutral,2023-11-28,0.16739090960585057,bullish,2,1,ordinary_market,1.0
2023-11-29,30.788312911987305,30.33229856491089,29.577752272288006,0.07720731515906043,bullish,0.8,0.6875,bullish,426145328512,9789137,neutral,10819.0,bullish,2023-11-29,0.16712954510170408,bullish,4,0,strong_market,1.0
2023-11-30,30.83526611328125,30.412702655792238,29.595750300089517,0.0550200731401298,bullish,0.775,0.725,bullish,517306737693,9807418,neutral,9788.0,bullish,2023-11-30,0.1317644246758336,bullish,4,0,strong_market,1.0
2023-12-01,30.940906524658203,30.487238025665285,29.616682783762613,0.05061790553681744,bullish,0.7625,0.6125,bullish,396633984021,9873798,neutral,3072.0,bullish,2023-12-01,0.10975971078902469,bullish,4,0,strong_market,1.0
2023-12-04,30.823530197143555,30.542992877960206,29.63741963704427,0.037534697310406484,bullish,0.2125,0.2125,bearish,426753709188,9895280,neutral,-5015.0,bearish,2023-12-04,0.06914604952862269,bullish,2,2,ordinary_market,1.0
2023-12-05,30.60050773620605,30.58818349838257,29.65893898010254,0.03043478065394134,bullish,0.85,0.8,bullish,410709975731,9909045,neutral,-11578.0,bearish,2023-12-05,0.06604275226786949,bullish,3,1,strong_market,1.0
2023-12-06,30.70615005493164,30.630439853668214,29.684370962778726,0.028302014540831477,bullish,0.875,0.825,bullish,393430691584,9940465,neutral,-14291.0,bearish,2023-12-06,0.05022673727591753,bullish,3,1,strong_market,1.0
2023-12-07,30.51834297180176,30.662718963623046,29.708629099527993,0.021611065813727848,bullish,0.825,0.7375,bullish,395520660336,9962372,neutral,-12788.0,bearish,2023-12-07,0.07915238803896729,bullish,3,1,strong_market,1.0
2023-12-08,30.76483726501465,30.71319160461426,29.732104714711507,0.033925047135036523,bullish,0.85,0.7125,bullish,399816329254,9964981,neutral,-10653.0,bearish,2023-12-08,0.0932207794687494,bullish,3,1,strong_market,1.0
2023-12-11,30.800048828125,30.74253616333008,29.755580329895018,0.019425019425019174,bullish,0.825,0.825,bullish,383277187486,10012321,bearish,-16602.0,bearish,2023-12-11,0.08649008647295742,bullish,3,2,ordinary_market,1.0
2023-12-12,30.87047576904297,30.771880626678467,29.773382663726807,0.01937978075772362,bullish,0.8,0.825,bullish,412961993342,10023751,neutral,-12628.0,bearish,2023-12-12,0.10499189755833971,bullish,3,1,strong_market,1.0
2023-12-13,30.882213592529297,30.783618259429932,29.789815584818523,0.007659774997610169,bullish,0.7375,0.8375,bullish,403752845047,10073436,neutral,-15397.0,bearish,2023-12-13,0.08285824910349326,bullish,3,1,strong_market,1.0
2023-12-14,31.2578239440918,30.813549518585205,29.817790667215984,0.019525141141888636,bullish,0.75,0.7625,bullish,490978622017,10103234,neutral,-14945.0,bearish,2023-12-14,0.10381755771776402,bullish,3,1,strong_market,1.0
2023-12-15,31.38694190979004,30.845241641998292,29.85006971359253,0.020610685744598234,bullish,0.675,0.6875,bullish,551312146492,10084533,neutral,-13722.0,bearish,2023-12-15,0.10550197149400464,bullish,3,1,strong_market,1.0
2023-12-18,31.433895111083984,30.87986831665039,29.88587013880412,0.022527742968793785,bullish,0.75,0.7875,bullish,401910769405,10098243,bearish,-15997.0,bearish,2023-12-18,0.09473814465754926,bullish,3,2,ordinary_market,1.0
2023-12-19,31.316516876220703,30.88984546661377,29.92753947575887,0.006412673676323255,bullish,0.6875,0.8125,bullish,399582265772,10055416,bearish,-19100.0,bearish,2023-12-19,0.08401627907782339,bullish,3,2,ordinary_market,1.0
2023-12-20,31.398681640625,30.918016242980958,29.970969422658285,0.01827179065923734,bullish,0.75,0.7125,bullish,411718719448,10118364,bearish,-13915.0,bearish,2023-12-20,0.07363657483288533,bullish,3,2,ordinary_market,1.0
2023-12-21,31.12870979309082,30.93327522277832,30.006378523508708,0.009900864501741768,bullish,0.7125,0.6875,bullish,390746322643,10097618,bearish,-11215.0,bearish,2023-12-21,0.09976872562316186,bullish,3,2,ordinary_market,1.0
2023-12-22,31.21087455749512,30.953816509246828,30.04883035024007,0.013338476560951884,bullish,0.7125,0.6875,bullish,367861365812,10105771,bearish,-13311.0,bearish,2023-12-22,0.10270207101954254,bullish,3,2,ordinary_market,1.0
2023-12-25,31.339988708496094,30.990790557861327,30.093238385518394,0.024165643873127696,bullish,0.7,0.675,bullish,304051297101,10103401,bearish,-10048.0,bearish,2023-12-22,0.10270207101954254,bullish,3,2,ordinary_market,1.0
2023-12-26,31.51605796813965,31.026004123687745,30.13862460454305,0.02285720476035724,bullish,0.75,0.7375,bullish,287336914906,10119263,bearish,24802.0,bullish,2023-12-26,0.125194254924879,bullish,4,1,strong_market,1.0
2023-12-27,31.868194580078125,31.079998207092284,30.183619626363118,0.035074402133621785,bullish,0.7375,0.575,neutral,376492715340,10128367,bearish,-7757.0,bearish,2023-12-27,0.13345697232935105,bullish,2,2,ordinary_market,1.0
2023-12-28,31.868194580078125,31.131644630432127,30.231549072265626,0.03349828287526835,bullish,0.7375,0.525,neutral,364107704292,10112966,bearish,-10010.0,bearish,2023-12-28,0.12130998767185375,bullish,2,2,ordinary_market,1.0
2023-12-29,31.79776382446289,31.174487495422362,30.284564844767253,0.027693348257971095,bullish,0.7375,0.5625,neutral,336993466087,10132521,bearish,-15880.0,bearish,2023-12-29,0.12105797895631065,bullish,2,2,ordinary_market,1.0
2024-01-02,31.66864967346192,31.21674346923828,30.328581651051838,0.027417997578897735,bullish,0.6,0.75,bullish,379272858652,10142506,bearish,-13076.0,bearish,2024-01-02,0.07617695298718896,bullish,3,2,ordinary_market,1.0
2024-01-03,31.116973876953125,31.242566776275634,30.361643250783285,0.016877698409428543,bullish,0.55,0.6125,neutral,397647725416,10151643,neutral,-18129.0,bearish,2024-01-03,0.06708380898618693,bullish,2,1,ordinary_market,1.0
2024-01-04,31.105234146118164,31.26252098083496,30.386097081502278,0.012996878165207448,bullish,0.15,0.175,bearish,352269260074,10150250,bearish,-14121.0,bearish,2024-01-04,0.0643857427295964,bullish,2,3,weak_market,1.0
2024-01-05,31.0230655670166,31.287757110595702,30.40507313410441,0.01653833550796624,bullish,0.4625,0.4875,neutral,331723726368,10138256,bearish,-12362.0,bearish,2024-01-05,0.07890403708388494,bullish,2,2,ordinary_market,1.0
2024-01-08,31.163923263549805,31.30771141052246,30.427766259511312,0.012972147230857933,bullish,0.6,0.475,neutral,324858205448,10143383,bearish,-13223.0,bearish,2024-01-08,0.0840391131578242,bullish,2,2,ordinary_market,1.0
2024-01-09,31.222612380981445,31.328839588165284,30.454176394144692,0.01371957412192737,bullish,0.5125,0.45,neutral,367882247139,10102762,bearish,-16379.0,bearish,2024-01-09,0.07696526295361927,bullish,2,2,ordinary_market,1.0
2024-01-10,31.058284759521484,31.338230037689208,30.4766739209493,0.006083773761169198,bullish,0.4875,0.475,neutral,325624209034,10068421,bearish,-15059.0,bearish,2024-01-10,0.037528335031574045,bullish,2,2,ordinary_market,1.0
2024-01-11,31.18739891052246,31.353489303588866,30.508170382181802,0.009882235840341203,bullish,0.55,0.4,neutral,384525983873,10079469,neutral,-15150.0,bearish,2024-01-11,0.03504164519145436,bullish,2,1,ordinary_market,1.0
2024-01-12,31.14044761657715,31.347620487213135,30.538688723246256,-0.003755102329726867,neutral,0.4625,0.4125,neutral,354273308362,10058663,neutral,-17049.0,bearish,2024-01-12,0.015404848775589786,bullish,1,1,ordinary_market,1.0
2024-01-15,31.14044761657715,31.33529577255249,30.56705513000488,-0.007853402664118936,neutral,0.6375,0.65,bullish,357402769099,10085178,bearish,-13515.0,bearish,2024-01-12,0.015404848775589786,bullish,2,2,ordinary_market,1.0
2024-01-16,30.90568923950196,31.308885478973387,30.597573471069335,-0.016803704081705506,neutral,0.55,0.6,neutral,393978840611,10111890,neutral,-5148.0,bearish,2024-01-16,0.002067062386888585,bullish,1,1,ordinary_market,1.0
2024-01-17,30.617412567138672,31.273930263519286,30.622895908355712,-0.0223238207443458,bearish,0.45,0.6,neutral,482596282011,10099172,neutral,2691.0,bullish,2024-01-17,-0.011428236295391025,neutral,1,1,ordinary_market,1.0
