signal_date,signal_family,variant,route_or_mode,ticker,name,timing_variant,entry_date,exit_date,entry_price_kind,blocked_reason,radar_blocked_reason,source_quality,path_bucket
2015-07-09,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,2886,兆豐金,next_day_close_entry_fixed_5td_exit,2015-07-10,2015-07-17,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-07-09,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,2886,兆豐金,next_day_open_entry_fixed_5td_exit,2015-07-10,2015-07-17,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-07-09,regime_switch,market_bias_pool_trend_route,stable_strength,3234,光環,next_day_close_entry_fixed_5td_exit,2015-07-10,2015-07-17,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-07-09,regime_switch,market_bias_pool_trend_route,stable_strength,3234,光環,next_day_open_entry_fixed_5td_exit,2015-07-10,2015-07-17,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-07-09,regime_switch,pool_breadth_route,low_risk_strength,3044,健鼎,next_day_close_entry_fixed_5td_exit,2015-07-10,2015-07-17,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-07-09,regime_switch,pool_breadth_route,low_risk_strength,3044,健鼎,next_day_open_entry_fixed_5td_exit,2015-07-10,2015-07-17,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-09-18,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,4162,智擎,next_day_close_entry_fixed_5td_exit,2015-09-21,2015-09-29,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-18,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,4162,智擎,next_day_open_entry_fixed_5td_exit,2015-09-21,2015-09-29,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-18,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,4162,智擎,next_day_close_entry_fixed_5td_exit,2015-09-21,2015-09-29,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-18,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,4162,智擎,next_day_open_entry_fixed_5td_exit,2015-09-21,2015-09-29,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-18,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,4162,智擎,next_day_close_entry_fixed_5td_exit,2015-09-21,2015-09-29,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-18,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,4162,智擎,next_day_open_entry_fixed_5td_exit,2015-09-21,2015-09-29,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-18,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,4162,智擎,next_day_close_entry_fixed_5td_exit,2015-09-21,2015-09-29,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-18,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,4162,智擎,next_day_open_entry_fixed_5td_exit,2015-09-21,2015-09-29,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-18,regime_switch,conservative_hurdle_route,rs20_top3_risk_tiebreak,2353,宏碁,next_day_close_entry_fixed_5td_exit,2015-09-21,2015-09-29,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-09-18,regime_switch,conservative_hurdle_route,rs20_top3_risk_tiebreak,2353,宏碁,next_day_open_entry_fixed_5td_exit,2015-09-21,2015-09-29,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-09-18,regime_switch,dispersion_route,rs20_top3_risk_tiebreak,2353,宏碁,next_day_close_entry_fixed_5td_exit,2015-09-21,2015-09-29,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-09-18,regime_switch,dispersion_route,rs20_top3_risk_tiebreak,2353,宏碁,next_day_open_entry_fixed_5td_exit,2015-09-21,2015-09-29,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-09-18,regime_switch,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,2353,宏碁,next_day_close_entry_fixed_5td_exit,2015-09-21,2015-09-29,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-09-18,regime_switch,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,2353,宏碁,next_day_open_entry_fixed_5td_exit,2015-09-21,2015-09-29,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-09-18,regime_switch,market_bias_pool_trend_route,pullback_repair,2395,研華,next_day_close_entry_fixed_5td_exit,2015-09-21,2015-09-29,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-09-18,regime_switch,market_bias_pool_trend_route,pullback_repair,2395,研華,next_day_open_entry_fixed_5td_exit,2015-09-21,2015-09-29,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-09-18,regime_switch,pool_breadth_route,stable_strength,4162,智擎,next_day_close_entry_fixed_5td_exit,2015-09-21,2015-09-29,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-18,regime_switch,pool_breadth_route,stable_strength,4162,智擎,next_day_open_entry_fixed_5td_exit,2015-09-21,2015-09-29,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,4162,智擎,next_day_close_entry_fixed_5td_exit,2015-09-29,2015-10-06,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,4162,智擎,next_day_open_entry_fixed_5td_exit,2015-09-29,2015-10-06,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,4162,智擎,next_day_close_entry_fixed_5td_exit,2015-09-29,2015-10-06,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,4162,智擎,next_day_open_entry_fixed_5td_exit,2015-09-29,2015-10-06,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,4162,智擎,next_day_close_entry_fixed_5td_exit,2015-09-29,2015-10-06,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,4162,智擎,next_day_open_entry_fixed_5td_exit,2015-09-29,2015-10-06,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,4162,智擎,next_day_close_entry_fixed_5td_exit,2015-09-29,2015-10-06,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,4162,智擎,next_day_open_entry_fixed_5td_exit,2015-09-29,2015-10-06,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,regime_switch,conservative_hurdle_route,rs20_top3_risk_tiebreak,3234,光環,next_day_close_entry_fixed_5td_exit,2015-09-29,2015-10-06,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,regime_switch,conservative_hurdle_route,rs20_top3_risk_tiebreak,3234,光環,next_day_open_entry_fixed_5td_exit,2015-09-29,2015-10-06,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,regime_switch,dispersion_route,rs20_top3_risk_tiebreak,3234,光環,next_day_close_entry_fixed_5td_exit,2015-09-29,2015-10-06,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,regime_switch,dispersion_route,rs20_top3_risk_tiebreak,3234,光環,next_day_open_entry_fixed_5td_exit,2015-09-29,2015-10-06,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,regime_switch,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,3234,光環,next_day_close_entry_fixed_5td_exit,2015-09-29,2015-10-06,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,regime_switch,hybrid_pullback_base_mega_override,rs20_top3_risk_tiebreak,3234,光環,next_day_open_entry_fixed_5td_exit,2015-09-29,2015-10-06,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,regime_switch,market_bias_pool_trend_route,stable_strength,4506,崇友,next_day_close_entry_fixed_5td_exit,2015-09-29,2015-10-06,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,regime_switch,market_bias_pool_trend_route,stable_strength,4506,崇友,next_day_open_entry_fixed_5td_exit,2015-09-29,2015-10-06,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,regime_switch,pool_breadth_route,stable_strength,4506,崇友,next_day_close_entry_fixed_5td_exit,2015-09-29,2015-10-06,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-09-25,regime_switch,pool_breadth_route,stable_strength,4506,崇友,next_day_open_entry_fixed_5td_exit,2015-09-29,2015-10-06,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1527,鑽全,same_week_close_to_next_rebalance_close_comparator,2015-10-23,2015-10-30,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1527,鑽全,next_day_close_entry_fixed_5td_exit,2015-10-26,2015-11-02,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,1527,鑽全,next_day_open_entry_fixed_5td_exit,2015-10-26,2015-11-02,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1527,鑽全,same_week_close_to_next_rebalance_close_comparator,2015-10-23,2015-10-30,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1527,鑽全,next_day_close_entry_fixed_5td_exit,2015-10-26,2015-11-02,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,1527,鑽全,next_day_open_entry_fixed_5td_exit,2015-10-26,2015-11-02,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1527,鑽全,same_week_close_to_next_rebalance_close_comparator,2015-10-23,2015-10-30,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1527,鑽全,next_day_close_entry_fixed_5td_exit,2015-10-26,2015-11-02,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,1527,鑽全,next_day_open_entry_fixed_5td_exit,2015-10-26,2015-11-02,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,1527,鑽全,same_week_close_to_next_rebalance_close_comparator,2015-10-23,2015-10-30,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,1527,鑽全,next_day_close_entry_fixed_5td_exit,2015-10-26,2015-11-02,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,1527,鑽全,next_day_open_entry_fixed_5td_exit,2015-10-26,2015-11-02,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,regime_switch,market_bias_pool_trend_route,stable_strength,1527,鑽全,same_week_close_to_next_rebalance_close_comparator,2015-10-23,2015-10-30,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,regime_switch,market_bias_pool_trend_route,stable_strength,1527,鑽全,next_day_close_entry_fixed_5td_exit,2015-10-26,2015-11-02,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,regime_switch,market_bias_pool_trend_route,stable_strength,1527,鑽全,next_day_open_entry_fixed_5td_exit,2015-10-26,2015-11-02,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,regime_switch,pool_breadth_route,stable_strength,1527,鑽全,same_week_close_to_next_rebalance_close_comparator,2015-10-23,2015-10-30,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,regime_switch,pool_breadth_route,stable_strength,1527,鑽全,next_day_close_entry_fixed_5td_exit,2015-10-26,2015-11-02,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-23,regime_switch,pool_breadth_route,stable_strength,1527,鑽全,next_day_open_entry_fixed_5td_exit,2015-10-26,2015-11-02,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-30,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,3450,聯鈞,same_week_close_to_next_rebalance_close_comparator,2015-10-30,2015-11-06,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_twse_stock_day,ordinary_stock
2015-10-30,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,3450,聯鈞,next_day_close_entry_fixed_5td_exit,2015-11-02,2015-11-09,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,blocked_missing_selected_stock_unadjusted_ohlc,ordinary_stock
2015-10-30,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,3450,聯鈞,next_day_open_entry_fixed_5td_exit,2015-11-02,2015-11-09,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,blocked_missing_selected_stock_unadjusted_ohlc,ordinary_stock
2016-07-07,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,3078,僑威,next_day_close_entry_fixed_5td_exit,2016-07-08,2016-07-15,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2016-07-07,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,3078,僑威,next_day_open_entry_fixed_5td_exit,2016-07-08,2016-07-15,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2016-07-07,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,3078,僑威,next_day_close_entry_fixed_5td_exit,2016-07-08,2016-07-15,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2016-07-07,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,3078,僑威,next_day_open_entry_fixed_5td_exit,2016-07-08,2016-07-15,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2016-07-07,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,3078,僑威,next_day_close_entry_fixed_5td_exit,2016-07-08,2016-07-15,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2016-07-07,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,3078,僑威,next_day_open_entry_fixed_5td_exit,2016-07-08,2016-07-15,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2016-07-07,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,3078,僑威,next_day_close_entry_fixed_5td_exit,2016-07-08,2016-07-15,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2016-07-07,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,3078,僑威,next_day_open_entry_fixed_5td_exit,2016-07-08,2016-07-15,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2016-07-07,regime_switch,conservative_hurdle_route,rs20_top3_risk_tiebreak,3078,僑威,next_day_close_entry_fixed_5td_exit,2016-07-08,2016-07-15,close,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
2016-07-07,regime_switch,conservative_hurdle_route,rs20_top3_risk_tiebreak,3078,僑威,next_day_open_entry_fixed_5td_exit,2016-07-08,2016-07-15,open,missing_entry_or_exit_unadjusted_ohlc,missing_entry_or_exit_unadjusted_ohlc,official_unadjusted_ohlcv_tpex_trading_stock,ordinary_stock
