signal_date,score_variant,candidate_rank,pool80_quant_rank,ticker,name,market,weighted_score,quality_component,rs_component,liquidity_component,bias_health_component,route_support_component,risk_inverse_component,pool_persistence_component_proxy,consensus_trigger,prior_c2_allowed_exception_ticker,prior_single_exception_ticker,route_support_variant_count,route_support_mode_count,route_support_variant_flags,route_support_mode_flags,layer1_quality_floor_risk_pctile_by_week,layer1_pass_bottom30,RS20,RS40,RS60,RS30_proxy,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,BIAS20_percentile,BIAS60_percentile,BIAS120_percentile,exhaustion_risk_score,breakdown_risk_score,entry_date,exit_date,entry_open,entry_close,exit_close,gross_return_unadjusted,net_return_local_ep05_cost_unit_notional,official_unadjusted_ohlc_path_ready,adjusted_close_ready,source_quality,entry_source_route,exit_source_route,entry_adjustment_policy,exit_adjustment_policy,total_cost_twd,cost_application_status,adjustment_policy,future_data_violation_count,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2019-12-06,momentum,5,5,3008,大立光,TWSE,0.5912467424868355,0.9068493150684932,0.65,0.959375,0.261218860904187,0.0,0.9695506794570725,1.0,True,8040.0,8040,0.0,0.0,,,0.2431506849315068,True,-0.0201082834739327,-0.0329291498840207,0.0610674282289058,-0.0265187166789767,4.0,6.0,6.0,0.8978015448603683,0.8502386634844868,0.8601315002988643,0.1170913998187688,0.0047058823529411,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2020-01-10,momentum,1,1,2352,佳世達,TWSE,0.6080626739349054,0.8817073170731707,0.9468750000000001,0.25,0.693793878464365,0.0,0.8891664630665601,1.0,True,3260.0,3260,0.0,0.0,,,0.2682926829268293,True,-0.0174974233053697,-0.1289957646811314,-0.1359841544933486,-0.0732465939932505,264.0,184.0,216.0,0.5611638954869359,0.1625967837998808,0.4392579293836026,0.0155684210526315,0.427765726681128,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2020-01-10,momentum,2,2,5880,合庫金,TWSE,0.6063585659507095,0.8817073170731707,0.871875,0.25,0.8714662741429429,0.0,0.9986705537540534,1.0,True,3260.0,3260,0.0,0.0,,,0.2682926829268293,True,-0.0103084779504902,-0.0573049434250927,-0.0867270757156644,-0.0338067106877914,182.0,183.0,192.0,0.6241092636579573,0.5270994639666469,0.5415918611609815,0.0015263157894736,0.0037914691943127,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2020-01-10,momentum,3,3,2376,技嘉,TWSE,0.6059675709303236,0.8817073170731707,0.8687499999999999,0.25,0.8808807516537155,0.0,0.9920059073204834,1.0,True,3260.0,3260,0.0,0.0,,,0.2682926829268293,True,-0.0230017708069556,-0.0443084052569298,-0.0814878732222195,-0.0336550880319427,175.0,144.0,163.0,0.4376484560570071,0.4228707564026206,0.4608019150209455,0.0180105263157894,0.013965844402277,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2020-01-10,momentum,4,4,4953,緯軟,TPEx,0.5890339817152136,0.8817073170731707,0.896875,0.25,0.6736993068099689,0.0,0.9368195906432749,1.0,True,3260.0,3260,0.0,0.0,,,0.2682926829268293,True,-0.0103658502970194,-0.0597894154747822,-0.1178189380361567,-0.0350776328859008,273.0,261.0,266.0,0.5498812351543944,0.4401429422275164,0.1202872531418312,0.0528105263157894,0.199911111111111,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2020-01-10,momentum,5,5,2454,聯發科,TWSE,0.5865126691078584,0.8817073170731707,0.59375,0.959375,0.40981433077192014,0.0,0.985967280987485,1.0,True,3260.0,3260,0.0,0.0,,,0.2682926829268293,True,-0.0046014392694504,-0.0121761679833374,0.0606202387278305,-0.0083888036263938,6.0,5.0,5.0,0.2024940617577197,0.7290053603335319,0.8587672052663076,0.0363263157894736,0.0198045602605863,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-06-18,momentum,1,1,2303,聯電,TWSE,0.6990598577949543,0.7616838487972509,0.8062499999999999,0.946875,0.8875084951979465,0.0,0.7174826093484137,1.0,True,2636.0,2636,0.0,0.0,,,0.3883161512027491,True,0.065109357567628,-0.0224719101123594,-0.2434248246910444,0.0213187237276343,8.0,7.0,5.0,0.4500580720092915,0.6123399301513388,0.5064553990610329,0.040360824742268,0.4897087378640776,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-06-18,momentum,2,2,2454,聯發科,TWSE,0.6785921623020837,0.7616838487972509,0.8187500000000001,0.915625,0.7594314288582228,0.0,0.6455136587063378,1.0,True,2636.0,2636,0.0,0.0,,,0.3883161512027491,True,-0.0198368789915117,-0.0232793522267206,-0.0125607873272666,-0.0215581156091161,13.0,10.0,7.0,0.2967479674796748,0.4679860302677532,0.6255868544600939,0.0185360824742268,0.7994092827004219,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-06-18,momentum,3,3,2330,台積電,TWSE,0.6784483262359163,0.7616838487972509,0.75625,0.98125,0.8130874190186566,0.0,0.7263625609979515,1.0,True,2636.0,2636,0.0,0.0,,,0.3883161512027491,True,0.0060207758984012,0.0185810810810811,-0.0341565320081178,0.0123009284897411,3.0,3.0,3.0,0.5836236933797909,0.6961583236321304,0.4994131455399061,0.0062783505154639,0.4882714054927302,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
2021-06-18,momentum,4,4,2317,鴻海,TWSE,0.6624696464915056,0.7616838487972509,0.8374999999999999,0.8218749999999999,0.7201807959162642,0.0,0.6497648615554765,1.0,True,2636.0,2636,0.0,0.0,,,0.3883161512027491,True,-0.0055844951408321,-0.0708333333333333,-0.0115067624228641,-0.0382089142370827,25.0,22.0,13.0,0.3565621370499419,0.3428405122235157,0.3808685446009389,0.0143505154639175,0.7865900383141762,,,,,,,,False,False,,,,,,,,official_unadjusted_ohlc_diagnostic_only_adjusted_close_blocked,0,True,False,False,False,False,False,False,False,True,False
