signal_date,score_variant,ticker,weighted_score,prior_single_exception_ticker,prior_c2_allowed_exception_ticker,matches_prior_single_exception,matches_prior_c2_allowed_exception
2015-10-08,quality_rs,2882,0.7320931420804483,6143,6143.0,False,False
2015-10-16,quality_rs,9939,0.6639616981540183,8433,8433.0,False,False
2016-02-26,quality_rs,2891,0.7258302020225592,3324,3324.0,False,False
2017-02-03,quality_rs,2002,0.726937388396705,3346,3346.0,False,False
2017-05-12,quality_rs,1301,0.7715968390081023,1569,1569.0,False,False
2017-08-25,quality_rs,2409,0.7869400535785059,2603,2603.0,False,False
2017-10-27,quality_rs,5871,0.7126658722382726,6121,6121.0,False,False
2017-11-24,quality_rs,3008,0.7342617751917725,6573,6573.0,False,False
2018-03-16,quality_rs,2412,0.7323950461619618,6150,6150.0,False,False
2018-06-08,quality_rs,2317,0.7556398472882788,3090,3090.0,False,False
2018-06-29,quality_rs,2474,0.7264390703942818,8163,8163.0,False,False
2019-09-12,quality_rs,2317,0.7639293081692771,3661,3661.0,False,False
2019-12-06,quality_rs,1216,0.7298308553495635,8040,8040.0,False,False
2020-01-10,quality_rs,5880,0.7179183204951064,3260,3260.0,False,False
2021-06-18,quality_rs,2303,0.7121084359308979,2636,2636.0,False,False
2021-07-09,quality_rs,2317,0.7346639352875365,2351,2351.0,False,False
2021-12-30,quality_rs,2002,0.7111851165594955,8478,8478.0,False,False
2022-08-12,quality_rs,2303,0.7253340373322731,6796,6796.0,False,False
2015-01-30,quality_risk,2603,0.7340881160164272,2603,2603.0,False,False
2015-04-30,quality_risk,2330,0.8484289390429511,2316,2316.0,False,False
2015-05-15,quality_risk,2454,0.8334115591682172,3008,3008.0,False,False
2015-10-08,quality_risk,2882,0.8345638179548525,6143,6143.0,False,False
2015-10-16,quality_risk,2105,0.7942389363724982,8433,8433.0,False,False
2016-02-26,quality_risk,2892,0.8486654047969435,3324,3324.0,False,False
2017-02-03,quality_risk,2002,0.8561619236077522,3346,3346.0,False,False
2017-05-12,quality_risk,2884,0.8757221285858756,1569,1569.0,False,False
2017-08-25,quality_risk,2409,0.8810231008719673,2603,2603.0,False,False
2017-10-27,quality_risk,2891,0.839321764704086,6121,6121.0,False,False
2017-11-24,quality_risk,3008,0.8425893746600397,6573,6573.0,False,False
2018-03-16,quality_risk,4938,0.8323703443796655,6150,6150.0,False,False
2018-06-08,quality_risk,2317,0.8586328127202572,3090,3090.0,False,False
2018-06-29,quality_risk,2474,0.8492042005701648,8163,8163.0,False,False
2019-09-12,quality_risk,2317,0.8578190751737655,3661,3661.0,False,False
2019-12-06,quality_risk,3045,0.8477487811269173,8040,8040.0,False,False
2020-01-10,quality_risk,5880,0.8506145523696086,3260,3260.0,False,False
2021-06-18,quality_risk,2303,0.7925012117233914,2636,2636.0,False,False
2021-07-09,quality_risk,2002,0.7981644858301025,2351,2351.0,False,False
2021-12-30,quality_risk,2002,0.8126669684396425,8478,8478.0,False,False
2022-08-12,quality_risk,2330,0.8682548166659001,6796,6796.0,False,False
2015-01-30,liquidity_rs,2603,0.6737851328998402,2603,2603.0,False,False
2015-04-30,liquidity_rs,2330,0.7672738944101422,2316,2316.0,False,False
2015-05-15,liquidity_rs,2454,0.756811014187218,3008,3008.0,False,False
2015-10-08,liquidity_rs,2882,0.7278303433676966,6143,6143.0,False,False
2015-10-16,liquidity_rs,2330,0.6709512886393787,8433,8433.0,False,False
2016-02-26,liquidity_rs,2412,0.7064877993715328,3324,3324.0,False,False
2017-02-03,liquidity_rs,2002,0.6739638271849813,3346,3346.0,False,False
2017-05-12,liquidity_rs,1301,0.712434188234449,1569,1569.0,False,False
2017-08-25,liquidity_rs,2409,0.751347046376281,2603,2603.0,False,False
2017-10-27,liquidity_rs,3008,0.7002193156453931,6121,6121.0,False,False
2017-11-24,liquidity_rs,3008,0.7205309492751111,6573,6573.0,False,False
2018-03-16,liquidity_rs,2317,0.7028992198429038,6150,6150.0,False,False
2018-06-08,liquidity_rs,2317,0.750451103770319,3090,3090.0,False,False
2018-06-29,liquidity_rs,2474,0.67288296095893,8163,8163.0,False,False
2019-09-12,liquidity_rs,2317,0.7481164272764124,3661,3661.0,False,False
2019-12-06,liquidity_rs,3008,0.6630238718443452,8040,8040.0,False,False
2020-01-10,liquidity_rs,2454,0.662445539224721,3260,3260.0,False,False
2021-06-18,liquidity_rs,2303,0.7185886723103061,2636,2636.0,False,False
2021-07-09,liquidity_rs,2317,0.7098402482962002,2351,2351.0,False,False
2021-12-30,liquidity_rs,2615,0.6377636614793305,8478,8478.0,False,False
2022-08-12,liquidity_rs,2330,0.7320609814749659,6796,6796.0,False,False
2015-01-30,route_support,2603,0.6966148551220627,2603,2603.0,False,False
2015-04-30,route_support,2316,0.6107819115601689,2316,2316.0,False,False
2015-05-15,route_support,3008,0.6388777407677176,3008,3008.0,False,False
2015-10-08,route_support,6143,0.584283207569169,6143,6143.0,False,False
2015-10-16,route_support,8433,0.5721224022835281,8433,8433.0,False,False
2016-02-26,route_support,3324,0.5694226343389187,3324,3324.0,False,False
2017-02-03,route_support,3346,0.6984874173044445,3346,3346.0,False,False
2017-05-12,route_support,1301,0.5341679415703848,1569,1569.0,False,False
2017-08-25,route_support,2603,0.635916844991342,2603,2603.0,False,False
2017-10-27,route_support,6121,0.607802997832062,6121,6121.0,False,False
2017-11-24,route_support,6573,0.679014751539543,6573,6573.0,False,False
2018-03-16,route_support,6150,0.6233973932161984,6150,6150.0,False,False
2018-06-08,route_support,3090,0.6627088815744812,3090,3090.0,False,False
2018-06-29,route_support,8163,0.6287042148175738,8163,8163.0,False,False
2019-09-12,route_support,3661,0.5950437685240214,3661,3661.0,False,False
2019-12-06,route_support,2330,0.5003269028825608,8040,8040.0,False,False
2020-01-10,route_support,3260,0.6352861479826526,3260,3260.0,False,False
2021-06-18,route_support,2636,0.5955662492258611,2636,2636.0,False,False
2021-07-09,route_support,2351,0.5934372382034301,2351,2351.0,False,False
2021-12-30,route_support,8478,0.5818693130813628,8478,8478.0,False,False
2022-08-12,route_support,6796,0.647577333201443,6796,6796.0,False,False
