snapshot_date,scope_type,ticker_count,traded_value_5d,median_rank_5d,pure_5d_burst_watchlist_count,total_market_traded_value_5d,turnover_share_5d,diagnostic_only
2015-07-03,active_layer1_source_scope,289,421013740256.0,145.0,0,482660205227.0,0.8722777135894039,True
2015-07-03,watchlist_reference,11,3627104131.0,274.0,11,482660205227.0,0.007514819104040566,True
2015-07-09,active_layer1_source_scope,294,493400718169.0,147.5,0,560034636822.0,0.8810182187460331,True
2015-07-09,watchlist_reference,6,2108415331.0,281.5,6,560034636822.0,0.003764794518718551,True
2015-07-17,active_layer1_source_scope,295,437327315097.0,148.0,0,493592943004.0,0.8860080381932364,True
2015-07-17,watchlist_reference,5,1474602447.0,293.0,5,493592943004.0,0.00298748689157829,True
2015-07-24,active_layer1_source_scope,288,425130589114.0,144.5,0,480554292842.0,0.8846671342789927,True
2015-07-24,watchlist_reference,12,3361996559.0,282.5,12,480554292842.0,0.0069960805866848864,True
2015-07-31,active_layer1_source_scope,293,463975846773.0,147.0,0,519205551752.0,0.8936265130589732,True
2015-07-31,watchlist_reference,7,1964390485.0,276.0,7,519205551752.0,0.003783454314714833,True
2015-08-07,active_layer1_source_scope,294,452876250116.0,147.5,0,497417448874.0,0.9104550938877847,True
2015-08-07,watchlist_reference,6,1460742088.0,273.5,6,497417448874.0,0.002936652285332311,True
2015-08-14,active_layer1_source_scope,294,435784387800.0,147.5,0,480187502844.0,0.9075296321103439,True
2015-08-14,watchlist_reference,6,1413977272.0,283.0,6,480187502844.0,0.0029446357175591954,True
2015-08-21,active_layer1_source_scope,288,423122460205.0,144.5,0,472501029846.0,0.8954953184819645,True
2015-08-21,watchlist_reference,12,3123471848.0,272.0,12,472501029846.0,0.006610508021576203,True
2015-08-28,active_layer1_source_scope,292,559505596032.0,146.5,0,622995110697.0,0.8980898668787808,True
2015-08-28,watchlist_reference,8,2371877807.0,281.5,8,622995110697.0,0.00380721737020756,True
2015-09-04,active_layer1_source_scope,296,444466288343.0,148.5,0,488041052681.0,0.9107149611725759,True
2015-09-04,watchlist_reference,4,913538275.0,295.0,4,488041052681.0,0.0018718471939636588,True
2015-09-11,active_layer1_source_scope,294,419872533060.0,147.5,0,467584040943.0,0.8979616417472721,True
2015-09-11,watchlist_reference,6,1822868321.0,268.0,6,467584040943.0,0.0038984827568616987,True
2015-09-18,active_layer1_source_scope,291,433933694854.0,146.0,0,493331038137.0,0.8795994196770869,True
2015-09-18,watchlist_reference,9,3201951641.0,272.0,9,493331038137.0,0.006490472711978047,True
2015-09-25,active_layer1_source_scope,282,399657598164.0,141.5,0,458010104444.0,0.8725955918574398,True
2015-09-25,watchlist_reference,18,5476976577.0,281.5,18,458010104444.0,0.011958200318852702,True
2015-10-02,active_layer1_source_scope,292,452861367853.0,146.5,0,506604900151.0,0.8939143062335538,True
2015-10-02,watchlist_reference,8,2385933378.0,285.5,8,506604900151.0,0.004709653178026589,True
2015-10-08,active_layer1_source_scope,288,480885900442.0,144.5,0,548412446350.0,0.8768690492759091,True
2015-10-08,watchlist_reference,12,4509502465.0,282.5,12,548412446350.0,0.008222830271291854,True
2015-10-16,active_layer1_source_scope,292,472922565362.0,146.5,0,535896624282.0,0.8824884202165421,True
2015-10-16,watchlist_reference,8,2629771116.0,285.5,8,535896624282.0,0.004907235830274906,True
2015-10-23,active_layer1_source_scope,289,422027799162.0,145.0,0,497813611382.0,0.8477626756536286,True
2015-10-23,watchlist_reference,11,4192946096.0,276.0,11,497813611382.0,0.008422722882887427,True
2015-10-30,active_layer1_source_scope,288,446124644110.0,144.5,0,515227058625.0,0.8658796867163471,True
2015-10-30,watchlist_reference,12,4247221600.0,286.0,12,515227058625.0,0.008243397796953196,True
2015-11-06,active_layer1_source_scope,287,526747535988.0,144.0,0,603860663823.0,0.872299799515335,True
2015-11-06,watchlist_reference,13,5184475002.0,279.0,13,603860663823.0,0.008585548475996845,True
2015-11-13,active_layer1_source_scope,291,436810708332.0,146.0,0,501614788507.0,0.8708090717024471,True
2015-11-13,watchlist_reference,9,3146174296.0,284.0,9,501614788507.0,0.006272092386598557,True
2015-11-20,active_layer1_source_scope,290,433450770919.0,145.5,0,500635088515.0,0.8658018202533819,True
2015-11-20,watchlist_reference,10,3905548666.0,262.5,10,500635088515.0,0.007801188441634734,True
2015-11-27,active_layer1_source_scope,289,428483027548.0,145.0,0,496172995672.0,0.8635758722976792,True
2015-11-27,watchlist_reference,11,4089131905.0,278.0,11,496172995672.0,0.008241343121589714,True
2015-12-04,active_layer1_source_scope,290,550405664393.0,145.5,0,620605735592.0,0.8868845916610234,True
2015-12-04,watchlist_reference,10,4163763326.0,279.5,10,620605735592.0,0.006709192466660267,True
2015-12-11,active_layer1_source_scope,294,489755804937.0,147.5,0,559366049128.0,0.8755551140447012,True
2015-12-11,watchlist_reference,6,2273706379.0,289.0,6,559366049128.0,0.004064791530598788,True
2015-12-18,active_layer1_source_scope,288,454272254346.0,144.5,0,508340868294.0,0.8936370901488697,True
2015-12-18,watchlist_reference,12,3592745680.0,276.0,12,508340868294.0,0.0070675916576554455,True
2015-12-25,active_layer1_source_scope,287,353548798974.0,144.0,0,401908740743.0,0.8796743218881032,True
2015-12-25,watchlist_reference,13,3498230230.0,281.0,13,401908740743.0,0.008704041179927804,True
2015-12-31,active_layer1_source_scope,292,254674013699.0,146.5,0,294016849025.0,0.8661885009091614,True
2015-12-31,watchlist_reference,8,1619278974.0,281.0,8,294016849025.0,0.005507435983242968,True
2016-01-08,active_layer1_source_scope,292,467083451823.0,146.5,0,519793491296.0,0.8985942680013592,True
2016-01-08,watchlist_reference,8,2142951551.0,282.0,8,519793491296.0,0.004122697930782056,True
2016-01-15,active_layer1_source_scope,290,437426365389.0,145.5,0,482170818914.0,0.9072020707811008,True
2016-01-15,watchlist_reference,10,2521432671.0,268.5,10,482170818914.0,0.005229334858295775,True
2016-01-22,active_layer1_source_scope,291,400638592912.0,146.0,0,441216854410.0,0.9080310258041667,True
2016-01-22,watchlist_reference,9,2160766844.0,274.0,9,441216854410.0,0.004897289898159945,True
2016-01-29,active_layer1_source_scope,285,403114014765.0,143.0,0,443139398549.0,0.909677668212175,True
2016-01-29,watchlist_reference,15,3337314310.0,281.0,15,443139398549.0,0.007531071082660635,True
