signal_date,entry_date,exit_date,ticker,entry_adjusted_close_ready,exit_adjusted_close_ready,adjusted_close_interval_ready,entry_adjusted_source,exit_adjusted_source,unadjusted_ohlc_comparator_ready,unadjusted_source_quality,blocked_reason,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2017-11-24,2017-11-27,2017-12-04,6573,False,False,False,,,True,official_unadjusted_ohlcv_twse_stock_day,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2018-03-16,2018-03-19,2018-03-26,6150,False,False,False,,,True,official_unadjusted_ohlcv_tpex_trading_stock,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2018-06-08,2018-06-11,2018-06-19,3090,False,False,False,,,True,official_unadjusted_ohlcv_twse_stock_day,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2018-06-29,2018-07-02,2018-07-09,8163,False,False,False,,,True,official_unadjusted_ohlcv_twse_stock_day,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2019-09-12,2019-09-16,2019-09-23,3661,True,True,True,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_observations\3661_TW.csv,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\stock_pool_observations\3661_TW.csv,True,official_unadjusted_ohlcv_twse_stock_day,,True,False,False,False,False,False,False,False,True,False
2019-12-06,2019-12-09,2019-12-16,8040,False,False,False,,,True,official_unadjusted_ohlcv_tpex_trading_stock,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2020-01-10,2020-01-13,2020-01-20,3260,True,True,True,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\backtest_cache\radar_core_pool_v1_selected_themes\3260_TWO.csv,C:\Users\zergv\Documents\Codex\2026-05-30\ep05-chat-ai-stock-backtest-lab\outputs\vnext_dynamic_candidate_pool_data_materialization_20260706\stock_features.csv,True,official_unadjusted_ohlcv_tpex_trading_stock,,True,False,False,False,False,False,False,False,True,False
2021-06-18,2021-06-21,2021-06-28,2636,False,False,False,,,True,official_unadjusted_ohlcv_twse_stock_day,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2021-07-09,2021-07-12,2021-07-19,2351,False,False,False,,,True,official_unadjusted_ohlcv_twse_stock_day,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2021-12-30,2022-01-03,2022-01-10,8478,False,False,False,,,True,official_unadjusted_ohlcv_twse_stock_day,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
2022-08-12,2022-08-15,2022-08-22,6796,False,False,False,,,True,official_unadjusted_ohlcv_twse_stock_day,missing_selected_stock_adjusted_close_entry_or_exit,True,False,False,False,False,False,False,False,True,False
