snapshot_date,ticker,name,market,revenue_stability_score,revenue_lumpiness_score,recent_spike_without_long_history_flag,project_based_revenue_risk_proxy,revenue_stability_context_score,revenue_lumpiness_penalty_score,recent_spike_review_flag,project_revenue_proxy_review_flag,low_base_context_label,low_base_tiebreak_cap,overheat_penalty_modifier,layer1_quality_score_soft_adjustment,layer4_risk_context_soft_penalty,hygiene_warning_text_for_report,review_soft_penalty_candidate,review_ticker_requested_by_strategy_center,route_support_selected_result_changed,hard_exclude_applied,hygiene_integration_role,project_based_revenue_risk_proxy_source_quality,source_quality,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2026-06-29,2484,希華,TWSE,0.5718598458173562,0.0832348025535998,False,False,0.5718598458173562,0.054102621659839874,False,False,context_only_not_main_weight,0.03,1.052546,0.002147,0.004328,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,8046,南電,TWSE,0.6540669793630736,0.1058828977014409,False,False,0.6540669793630736,0.06882388350593659,False,False,context_only_not_main_weight,0.03,1.056226,0.006491,0.005506,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,6182,合晶,TPEx,0.6173938880200589,0.0789118695610861,False,False,0.6173938880200589,0.05129271521470597,False,False,context_only_not_main_weight,0.03,1.051843,0.004992,0.004103,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,8070,長華*,TWSE,0.6500016541251313,0.0938697650233986,False,False,0.6500016541251313,0.06101534726520909,False,False,context_only_not_main_weight,0.03,1.054274,0.006559,0.004881,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,2880,華南金,TWSE,0.6869302374926198,0.0933050643605747,False,False,0.6869302374926198,0.060648291834373556,False,False,context_only_not_main_weight,0.03,1.054182,0.00879,0.004852,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,3706,神達,TWSE,0.7632133800064573,0.184560530849043,False,False,0.7632133800064573,0.11996434505187796,False,False,stable_quality_context,0.03,1.069011,0.010994,0.009597,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,3481,群創,TWSE,0.6433115672218348,0.0819574659214784,False,False,0.6433115672218348,0.05327235284896096,False,False,context_only_not_main_weight,0.03,1.052338,0.006468,0.004262,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,1402,遠東新,TWSE,0.598212983192689,0.071757979978756,False,False,0.598212983192689,0.04664268698619141,False,False,context_only_not_main_weight,0.03,1.050681,0.004027,0.003731,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,5351,鈺創,TPEx,0.5743939794298702,0.3222971048432607,True,True,0.5743939794298702,0.5594931181481194,True,True,lumpy_or_spike_review_context,0.03,1.178894,-0.017916,0.104759,近期營收暴增但長期穩定性需人工 review；營收形態偏 lumpy/project-based proxy，僅作風險提醒；營收集中度偏高，Layer4 排序應納入軟扣分,True,True,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
2026-06-29,6548,長科*,TPEx,0.6500898282589296,0.0913838011243059,False,False,0.6500898282589296,0.059399470730798834,False,False,context_only_not_main_weight,0.03,1.05387,0.006629,0.004752,長期營收 hygiene 未觸發主要警示,False,False,False,False,soft_context_only_no_hard_exclusion,proxy_only_monthly_revenue_lumpiness_not_business_model_truth,MOPS_monthly_revenue_PIT_conservative_available_date,True,False,False,False,False,False,False,False,True,False
