decision_date,ticker,horizon_td,reason
2025-03-31,6409,40,exit_official_raw_close_missing_or_not_tradable
2025-04-01,6409,20,exit_official_raw_close_missing_or_not_tradable
2025-04-01,6409,40,exit_official_raw_close_missing_or_not_tradable
2025-04-02,6409,20,exit_official_raw_close_missing_or_not_tradable
2025-04-02,6409,40,exit_official_raw_close_missing_or_not_tradable
2025-04-14,6409,20,exit_official_raw_close_missing_or_not_tradable
2025-04-14,6409,40,exit_official_raw_close_missing_or_not_tradable
2025-04-15,6409,20,exit_official_raw_close_missing_or_not_tradable
2025-04-15,6409,40,exit_official_raw_close_missing_or_not_tradable
2025-04-16,6409,20,exit_official_raw_close_missing_or_not_tradable
2025-04-16,6409,40,exit_official_raw_close_missing_or_not_tradable
2025-04-17,6409,5,exit_official_raw_close_missing_or_not_tradable
2025-04-17,6409,10,exit_official_raw_close_missing_or_not_tradable
2025-04-17,6409,20,exit_official_raw_close_missing_or_not_tradable
2025-04-17,6409,40,exit_official_raw_close_missing_or_not_tradable
2025-04-18,6409,10,exit_official_raw_close_missing_or_not_tradable
2025-04-18,6409,20,exit_official_raw_close_missing_or_not_tradable
2025-04-18,6409,40,exit_official_raw_close_missing_or_not_tradable
2025-04-21,6409,10,exit_official_raw_close_missing_or_not_tradable
2025-04-21,6409,20,exit_official_raw_close_missing_or_not_tradable
2025-04-21,6409,40,exit_official_raw_close_missing_or_not_tradable
2025-04-22,6409,10,exit_official_raw_close_missing_or_not_tradable
