signal_date,signal_family,variant,route_or_mode,ticker,executable_ticker,name,path_bucket,timing_variant,entry_date,exit_date,entry_price_kind,exit_price_kind,entry_price,exit_price,gross_return,net_return_local_ep05_cost_unit_notional,entry_ready,exit_ready,path_ready,source_quality,blocked_reason,adjusted_close_ready,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2019-06-14,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,9938,9938,百和,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-17,2019-06-24,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,9938,9938,百和,ordinary_stock,next_day_open_entry_fixed_5td_exit,2019-06-17,2019-06-24,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,9938,9938,百和,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2019-06-14,2019-06-21,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,9938,9938,百和,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-17,2019-06-24,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,9938,9938,百和,ordinary_stock,next_day_open_entry_fixed_5td_exit,2019-06-17,2019-06-24,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,conservative_hurdle_route,hurdle_reference,3454,3454,晶睿,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2019-06-14,2019-06-21,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,conservative_hurdle_route,hurdle_reference,3454,3454,晶睿,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-17,2019-06-24,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,conservative_hurdle_route,hurdle_reference,3454,3454,晶睿,ordinary_stock,next_day_open_entry_fixed_5td_exit,2019-06-17,2019-06-24,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,dispersion_route,low_risk_strength,6670,6670,復盛應用,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2019-06-14,2019-06-21,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,dispersion_route,low_risk_strength,6670,6670,復盛應用,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-17,2019-06-24,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,dispersion_route,low_risk_strength,6670,6670,復盛應用,ordinary_stock,next_day_open_entry_fixed_5td_exit,2019-06-17,2019-06-24,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,2454,2454,聯發科,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2019-06-14,2019-06-21,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,2454,2454,聯發科,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-17,2019-06-24,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,hybrid_pullback_base_mega_override,pullback_repair,2454,2454,聯發科,ordinary_stock,next_day_open_entry_fixed_5td_exit,2019-06-17,2019-06-24,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,market_bias_pool_trend_route,stable_strength,8924,8924,大田,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2019-06-14,2019-06-21,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,market_bias_pool_trend_route,stable_strength,8924,8924,大田,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-17,2019-06-24,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,market_bias_pool_trend_route,stable_strength,8924,8924,大田,ordinary_stock,next_day_open_entry_fixed_5td_exit,2019-06-17,2019-06-24,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,pool_breadth_route,stable_strength,8924,8924,大田,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2019-06-14,2019-06-21,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,pool_breadth_route,stable_strength,8924,8924,大田,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-17,2019-06-24,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-14,regime_switch,pool_breadth_route,stable_strength,8924,8924,大田,ordinary_stock,next_day_open_entry_fixed_5td_exit,2019-06-17,2019-06-24,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,2461,2461,光群雷,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2019-06-21,2019-06-28,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,2461,2461,光群雷,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-24,2019-07-01,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top1_rs20_31_bonus_proxy,RS20_plus_31_high_confidence_context_bonus,2461,2461,光群雷,ordinary_stock,next_day_open_entry_fixed_5td_exit,2019-06-24,2019-07-01,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,2461,2461,光群雷,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2019-06-21,2019-06-28,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,2461,2461,光群雷,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-24,2019-07-01,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top1_rs20_7core_context_proxy,top1_by_RS20_with_legacy_7_core_flag_context,2461,2461,光群雷,ordinary_stock,next_day_open_entry_fixed_5td_exit,2019-06-24,2019-07-01,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,2461,2461,光群雷,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2019-06-21,2019-06-28,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,2461,2461,光群雷,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-24,2019-07-01,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top1_rs20_proxy,top1_by_RS20_within_layer4_80_primary_pool,2461,2461,光群雷,ordinary_stock,next_day_open_entry_fixed_5td_exit,2019-06-24,2019-07-01,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,2461,2461,光群雷,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2019-06-21,2019-06-28,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,2461,2461,光群雷,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-24,2019-07-01,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,legacy_rs20,dynamic80_top3_rs20_risk_tiebreak_proxy,top3_by_RS20_then_layer4_risk_aware_score,2461,2461,光群雷,ordinary_stock,next_day_open_entry_fixed_5td_exit,2019-06-24,2019-07-01,open,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,regime_switch,conservative_hurdle_route,rs20_top3_risk_tiebreak,2520,2520,冠德,ordinary_stock,same_week_close_to_next_rebalance_close_comparator,2019-06-21,2019-06-28,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
2019-06-21,regime_switch,conservative_hurdle_route,rs20_top3_risk_tiebreak,2520,2520,冠德,ordinary_stock,next_day_close_entry_fixed_5td_exit,2019-06-24,2019-07-01,close,close,,,,,False,False,False,blocked_missing_p1_selected_stock_unadjusted_ohlc_source,missing_p1_selected_stock_entry_and_exit_unadjusted_ohlc,False,True,False,False,False,False,False,False,True,False
