scenario,date,held_ticker_before_close,held_ticker_after_close,quantity_after_close,NAV_open,prior_adjusted_mark,current_adjusted_mark,adjustment_factor,adjusted_source_hash,gross_return_from_same_asset,NAV_before_transition_cost,transition_type,transition_cost_rate,NAV_close,net_daily_return,price_status,corporate_action_scale_guard,cross_asset_nominal_price_return_used
C0,2023-09-08,6274,6274,0.0060267128986493295,0.8136062413176595,124.63871002197266,119.0992202758789,0.9232497695804567,d596a5a8f0bc0f4469563b9fd6e204c59b740cc2ec2edf38a48fb0fd5b0dbef8,-0.04444437643102361,0.7774460192619072,hold,0.0,0.7774460192619072,-0.04444437643102361,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-11,6274,6274,0.0060267128986493295,0.7774460192619072,119.0992202758789,107.55860137939452,0.9232497972480216,d596a5a8f0bc0f4469563b9fd6e204c59b740cc2ec2edf38a48fb0fd5b0dbef8,-0.09689919774245326,0.7021121237073645,hold,0.0,0.7021121237073645,-0.09689919774245315,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-12,6274,2436,0.00944116384024714,0.7021121237073645,107.55860137939452,108.02022552490234,0.9232497908111311,d596a5a8f0bc0f4469563b9fd6e204c59b740cc2ec2edf38a48fb0fd5b0dbef8,0.004291838491647271,0.705125475545344,stock_to_stock,0.00785,0.699590240562313,-0.0035918524405121888,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-13,2436,2436,0.00944116384024714,0.699590240562313,68.57256317138672,67.46208953857422,0.9254058727917273,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.016194139192916568,0.6882609788286409,hold,0.0,0.6882609788286409,-0.016194139192916568,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-14,2436,2436,0.00944116384024714,0.6882609788286409,67.46208953857422,68.9427261352539,0.9254057199362941,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,0.02194768360729582,0.7033667130312197,hold,0.0,0.7033667130312197,0.02194768360729582,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-15,2436,2436,0.00944116384024714,0.7033667130312197,68.9427261352539,68.48002624511719,0.9254057600691512,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.0067113663191817885,0.6986461613633483,hold,0.0,0.6986461613633483,-0.0067113663191817885,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-18,2436,2436,0.00944116384024714,0.6986461613633483,68.48002624511719,68.20240783691406,0.9254058434332235,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.004054005575427455,0.6958138459299303,hold,0.0,0.6958138459299303,-0.004054005575427455,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-19,2436,2436,0.00944116384024714,0.6958138459299303,68.20240783691406,66.81429290771484,0.9254057580585747,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.02035287276834108,0.6816520352532683,hold,0.0,0.6816520352532683,-0.02035287276834119,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-20,2436,2436,0.00944116384024714,0.6816520352532683,66.81429290771484,65.51873779296875,0.9254058611420083,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.019390388768096956,0.6684345372851429,hold,0.0,0.6684345372851429,-0.019390388768096956,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-21,2436,2436,0.00944116384024714,0.6684345372851429,65.51873779296875,63.66791915893555,0.9254057606805419,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.02824869184570622,0.6495521360223476,hold,0.0,0.6495521360223476,-0.02824869184570633,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-22,2436,2436,0.00944116384024714,0.6495521360223476,63.66791915893555,63.76045227050781,0.9254056728367317,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,0.0014533710665378674,0.6504961763030503,hold,0.0,0.6504961763030503,0.0014533710665378674,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-25,2436,2436,0.00944116384024714,0.6504961763030503,63.76045227050781,63.20521545410156,0.9254057486088922,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.008708169353169315,0.6448315454362143,hold,0.0,0.6448315454362143,-0.008708169353169204,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-26,2436,2436,0.00944116384024714,0.6448315454362143,63.20521545410156,62.0021858215332,0.9254057585303463,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.019033708277475525,0.6325580099122677,hold,0.0,0.6325580099122677,-0.019033708277475525,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-27,2436,2436,0.00944116384024714,0.6325580099122677,62.0021858215332,62.64996719360352,0.9254057609707206,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,0.010447718310042875,0.6391667978145924,hold,0.0,0.6391667978145924,0.010447718310042875,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-09-28,2436,2436,0.00944116384024714,0.6391667978145924,62.64996719360352,62.46488952636719,0.9254057707609954,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.0029541542562089296,0.637278600498401,hold,0.0,0.637278600498401,-0.0029541542562089296,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-02,2436,2436,0.00944116384024714,0.637278600498401,62.46488952636719,63.85299682617188,0.9254057511039403,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,0.022222200508635437,0.651440333338539,hold,0.0,0.651440333338539,0.022222200508635437,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-03,2436,2436,0.00944116384024714,0.651440333338539,63.85299682617188,65.70380401611328,0.9254056903677927,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,0.028985439712091887,0.6703226178465482,hold,0.0,0.6703226178465482,0.028985439712091887,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-04,2436,2436,0.00944116384024714,0.6703226178465482,65.70380401611328,65.61126708984375,0.9254057218305597,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.0014083952619674545,0.6693785386475836,hold,0.0,0.6693785386475836,-0.0014083952619674545,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-05,2436,2436,0.00944116384024714,0.6693785386475836,65.61126708984375,66.073974609375,0.9254057870772805,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,0.007052257029233289,0.6740991681519789,hold,0.0,0.6740991681519789,0.007052257029233289,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-06,2436,2436,0.00944116384024714,0.6740991681519789,66.073974609375,65.70380401611328,0.9254056903677927,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.00560236606697484,0.6703226178465483,hold,0.0,0.6703226178465483,-0.005602366066974729,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-11,2436,2436,0.00944116384024714,0.6703226178465483,65.70380401611328,65.0560302734375,0.9254057958651939,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,-0.009858999069778718,0.6637139077807476,hold,0.0,0.6637139077807476,-0.009858999069778718,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-12,2436,3325,0.0178575065315301,0.6637139077807476,65.0560302734375,65.98143005371094,0.9254057114950467,abee2685f48a19c8c12aab5814edf1ae54bf1e29156e698e1ac9f69aadd91e8d,0.014224657981495081,0.6731550111164902,stock_to_stock,0.00785,0.6678707442792258,0.006262994416340373,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-13,3325,3325,0.0178575065315301,0.6678707442792258,37.400001525878906,36.75,1.0,a5366c6a7b29b76e77650b37aab28966a4dcff4e529fe845f7bbc442d3c69067,-0.017379719234212776,0.6562633382589081,hold,0.0,0.6562633382589081,-0.017379719234212665,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-16,3325,3325,0.0178575065315301,0.6562633382589081,36.75,35.5,1.0,a5366c6a7b29b76e77650b37aab28966a4dcff4e529fe845f7bbc442d3c69067,-0.03401360544217691,0.6339414560052038,hold,0.0,0.6339414560052038,-0.03401360544217691,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-17,3325,3483,0.00411614606864076,0.6339414560052038,35.5,34.5,1.0,a5366c6a7b29b76e77650b37aab28966a4dcff4e529fe845f7bbc442d3c69067,-0.028169014084507005,0.6160839502022404,stock_to_stock,0.00785,0.6112476911931528,-0.03579788732394351,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-18,3483,3483,0.00411614606864076,0.6112476911931528,119.40866088867188,118.2025146484375,0.934489122033059,200c8f49559fc0a8fd604ee9f65138ca73d55268abc42f743a8b368ad557553a,-0.010100994611763503,0.6050734815579579,hold,0.0,0.6050734815579579,-0.010100994611763392,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-19,3483,3483,0.00411614606864076,0.6050734815579579,118.2025146484375,116.99636840820312,0.9344891340513517,200c8f49559fc0a8fd604ee9f65138ca73d55268abc42f743a8b368ad557553a,-0.010204065825686892,0.5988992719227629,hold,0.0,0.5988992719227629,-0.010204065825687003,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-20,3483,3483,0.00411614606864076,0.5988992719227629,116.99636840820312,115.38817596435548,0.9344891325691497,200c8f49559fc0a8fd604ee9f65138ca73d55268abc42f743a8b368ad557553a,-0.013745661217762106,0.5906670054273483,hold,0.0,0.5906670054273483,-0.013745661217761995,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-23,3483,3483,0.00411614606864076,0.5906670054273483,115.38817596435548,110.5635757446289,0.9344891151906153,200c8f49559fc0a8fd604ee9f65138ca73d55268abc42f743a8b368ad557553a,-0.04181191165736897,0.5659700887774973,hold,0.0,0.5659700887774973,-0.04181191165736897,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-24,3483,3548,0.0037076916098319813,0.5659700887774973,110.5635757446289,110.9656219482422,0.9344890695610188,200c8f49559fc0a8fd604ee9f65138ca73d55268abc42f743a8b368ad557553a,0.003636335030823501,0.5680281456377172,stock_to_stock,0.00785,0.5635691246944612,-0.0042422101991683725,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-25,3548,3548,0.0037076916098319813,0.5635691246944612,141.73565673828125,141.26942443847656,0.9557832827820874,0a60b2267a8991dc32dc02f7b671ce5244a23a09a5b7d998fb93b5e495b3e835,-0.0032894496031129483,0.5617152924609082,hold,0.0,0.5617152924609082,-0.0032894496031130593,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-26,3548,3548,0.0037076916098319813,0.5617152924609082,141.26942443847656,136.14083862304688,0.9557832748644761,0a60b2267a8991dc32dc02f7b671ce5244a23a09a5b7d998fb93b5e495b3e835,-0.03630357974356446,0.5413230165478741,hold,0.0,0.5413230165478741,-0.03630357974356435,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-27,3548,3548,0.0037076916098319813,0.5413230165478741,136.14083862304688,130.0797576904297,0.9557831396893699,0a60b2267a8991dc32dc02f7b671ce5244a23a09a5b7d998fb93b5e495b3e835,-0.044520666935212505,0.5172229548237817,hold,0.0,0.5172229548237817,-0.044520666935212505,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-30,3548,3548,0.0037076916098319813,0.5172229548237817,130.0797576904297,131.01223754882812,0.9557832614048382,0a60b2267a8991dc32dc02f7b671ce5244a23a09a5b7d998fb93b5e495b3e835,0.00716852394987999,0.5209306799628637,hold,0.0,0.5209306799628637,0.00716852394987999,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-10-31,3548,4162,0.004812952328777727,0.5209306799628637,131.01223754882812,138.47201538085938,0.9557832515054671,0a60b2267a8991dc32dc02f7b671ce5244a23a09a5b7d998fb93b5e495b3e835,0.05693954985885186,0.5505922383876147,stock_to_stock,0.00785,0.546270089316272,0.04864257439245989,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-11-01,4162,4162,0.004812952328777727,0.546270089316272,102.92902374267578,103.83588409423828,0.9068636165435657,d49d762483c0b54c9dc30dcb64335b88d3db8296b656e6e5bd86b1828885fd84,0.008810540687043344,0.5510830241643078,hold,0.0,0.5510830241643078,0.008810540687043344,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-11-02,4162,4162,0.004812952328777727,0.5510830241643078,103.83588409423828,103.38245391845705,0.9068636308636583,d49d762483c0b54c9dc30dcb64335b88d3db8296b656e6e5bd86b1828885fd84,-0.004366796505240078,0.5486765567402899,hold,0.0,0.5486765567402899,-0.004366796505240078,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-11-03,4162,4162,0.004812952328777727,0.5486765567402899,103.38245391845705,101.5687255859375,0.9068636213030133,d49d762483c0b54c9dc30dcb64335b88d3db8296b656e6e5bd86b1828885fd84,-0.017543870006704654,0.539050646553112,hold,0.0,0.539050646553112,-0.017543870006704654,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-11-06,4162,4162,0.004812952328777727,0.539050646553112,101.5687255859375,104.74275207519533,0.9068636543306955,d49d762483c0b54c9dc30dcb64335b88d3db8296b656e6e5bd86b1828885fd84,0.031250037557793986,0.5558959995034498,hold,0.0,0.5558959995034498,0.031250037557793986,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-11-07,4162,3548,0.0030242746987215476,0.5558959995034498,104.74275207519533,103.38245391845705,0.9068636308636583,d49d762483c0b54c9dc30dcb64335b88d3db8296b656e6e5bd86b1828885fd84,-0.012987038528085582,0.5486765567402898,stock_to_stock,0.00785,0.5443694457698786,-0.020735090275640133,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-11-08,3548,3548,0.0030242746987215476,0.5443694457698786,167.84486389160156,165.513671875,0.9557831817784904,0a60b2267a8991dc32dc02f7b671ce5244a23a09a5b7d998fb93b5e495b3e835,-0.01388896843520393,0.5368087157204913,hold,0.0,0.5368087157204913,-0.01388896843520393,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
C0,2023-11-09,3548,3548,0.0030242746987215476,0.5368087157204913,165.513671875,165.513671875,0.9557831817784904,0a60b2267a8991dc32dc02f7b671ce5244a23a09a5b7d998fb93b5e495b3e835,0.0,0.5368087157204913,hold,0.0,0.5368087157204913,0.0,event_aware_adjusted_research_grade,event_aware_adjusted_analysis_mark,False
