signal_date,candidate_rank,ticker,consensus_count,route_count,candidate_score,route_source_flags,variant_source_flags,rank_source
2017-11-24,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2017-11-24,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2017-11-24,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-03-16,1,6150,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2018-03-16,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-03-16,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-03-16,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-03-16,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-05-18,1,4190,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2018-05-18,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-05-18,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-05-18,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-05-18,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-06-08,1,3090,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2018-06-08,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-06-08,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-06-08,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-06-08,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-06-29,1,8163,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2018-06-29,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-06-29,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-06-29,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-06-29,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-11-09,1,3563,4.0,2.0,402.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2018-11-09,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-11-09,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-11-09,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2018-11-09,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-05-24,1,2633,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2019-05-24,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-05-24,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-05-24,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-05-24,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-09-12,1,3661,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2019-09-12,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-09-12,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-09-12,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-09-12,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-12-06,1,8040,4.0,2.0,402.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2019-12-06,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-12-06,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-12-06,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2019-12-06,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-01-10,1,3260,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2020-01-10,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-01-10,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-01-10,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-01-10,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-02-21,1,3706,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2020-02-21,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-02-21,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-02-21,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-02-21,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-04-17,1,6415,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2020-04-17,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-04-17,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-04-17,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2020-04-17,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-06-18,1,2636,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2021-06-18,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-06-18,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-06-18,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-06-18,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-07-09,1,2351,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2021-07-09,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-07-09,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-07-09,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-07-09,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-12-30,1,8478,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2021-12-30,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-12-30,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-12-30,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2021-12-30,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-02-18,1,6719,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2022-02-18,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-02-18,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-02-18,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-02-18,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-04-08,1,4736,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2022-04-08,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-04-08,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-04-08,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-04-08,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-04-29,1,4736,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2022-04-29,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-04-29,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-04-29,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-04-29,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-06-10,1,1522,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2022-06-10,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-06-10,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-06-10,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-06-10,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-07-01,1,5904,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2022-07-01,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-07-01,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-07-01,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-07-01,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-07-29,1,2419,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2022-07-29,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-07-29,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-07-29,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-07-29,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-08-12,1,6796,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2022-08-12,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-08-12,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-08-12,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-08-12,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-09-08,1,8069,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2022-09-08,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-09-08,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-09-08,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-09-08,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-11-04,1,2468,5.0,2.0,502.0,rs20_top3_risk_tiebreak|stable_strength,conservative_hurdle_route|dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,exact_multi_route_same_ticker_consensus_count_then_route_count_then_ticker
2022-11-04,2,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-11-04,3,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-11-04,4,,,,,,,shortfall_slot_explicit_no_proxy_fill
2022-11-04,5,,,,,,,shortfall_slot_explicit_no_proxy_fill
