snapshot_date,variant,ticker_count,selected_traded_value_5d,median_rank_5d,surge_exception_count,ky_tagged_count,total_market_traded_value_5d,turnover_share_5d,diagnostic_only
2018-02-23,top300_buffer100,400,706749751977.0,200.5,0,33,757171945075.0,0.9334072089886987,True
2018-02-23,top500_reference_only,500,723149575067.0,250.5,0,40,757171945075.0,0.9550665205845286,True
2018-02-23,turnover_share_80_reference,167,606569147314.0,84.0,0,13,757171945075.0,0.801098285877348,True
2018-02-23,turnover_share_90_reference,303,681533673558.0,152.0,0,26,757171945075.0,0.9001042339075204,True
2018-03-02,top200_buffer100,300,132189170955.0,150.5,0,17,135883926157.0,0.9728094756569582,True
2018-03-02,top300_buffer100,400,134274546491.0,200.5,0,19,135883926157.0,0.9881562175047803,True
2018-03-02,top500_reference_only,500,135252194149.0,250.5,0,25,135883926157.0,0.9953509438101598,True
2018-03-02,turnover_share_80_reference,85,108712387214.0,43.0,0,6,135883926157.0,0.8000386086018293,True
2018-03-02,turnover_share_90_reference,146,122357216744.0,73.5,0,10,135883926157.0,0.9004539403919544,True
2018-03-09,top200_buffer100,300,629630109082.0,150.5,0,24,710572599166.0,0.886088360036677,True
2018-03-09,top300_buffer100,400,657889304632.0,200.5,0,32,710572599166.0,0.9258579706059107,True
2018-03-09,top500_reference_only,500,675212178077.0,250.5,0,37,710572599166.0,0.9502367229886115,True
2018-03-09,turnover_share_80_reference,193,568996070741.0,97.0,0,14,710572599166.0,0.8007571237743074,True
2018-03-09,turnover_share_90_reference,329,639598823407.0,165.0,0,26,710572599166.0,0.9001174885686529,True
2018-03-16,top200_buffer100,300,708658217945.0,150.5,0,21,798663695779.0,0.8873049090503475,True
2018-03-16,top300_buffer100,400,738528092728.0,200.5,0,27,798663695779.0,0.9247047244430648,True
2018-03-16,top500_reference_only,500,756893849432.0,250.5,0,33,798663695779.0,0.9477003317319206,True
2018-03-16,turnover_share_80_reference,186,639438851330.0,93.5,0,17,798663695779.0,0.8006359306294806,True
2018-03-16,turnover_share_90_reference,328,718805662521.0,164.5,0,23,798663695779.0,0.9000104378350288,True
2018-03-23,top200_buffer100,300,687476797967.0,150.5,0,25,780988571351.0,0.8802648632588338,True
2018-03-23,top300_buffer100,400,719559912817.0,200.5,0,29,780988571351.0,0.9213449968573328,True
2018-03-23,top500_reference_only,500,738714866989.0,250.5,0,34,780988571351.0,0.9458715454838571,True
