field,status,blocked_reason,policy,next_owner,signal_date,entry_date,exit_date,ticker,name
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-07-17,2015-07-20,2015-07-27,1504,東元
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-07-24,2015-07-27,2015-08-03,2615,萬海
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-07-31,2015-08-03,2015-08-10,1504,東元
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-08-14,2015-08-17,2015-08-24,6147,頎邦
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-08-21,2015-08-24,2015-08-31,6147,頎邦
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-08-28,2015-08-31,2015-09-07,2409,友達
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-09-04,2015-09-07,2015-09-14,5347,世界
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-09-11,2015-09-14,2015-09-21,3481,群創
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-09-18,2015-09-21,2015-09-29,3231,緯創
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-09-25,2015-09-29,2015-10-06,5490,同亨
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-10-02,2015-10-05,2015-10-13,2439,美律
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-10-08,2015-10-12,2015-10-19,5871,中租-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-10-16,2015-10-19,2015-10-26,5871,中租-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-10-23,2015-10-26,2015-11-02,5871,中租-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-11-06,2015-11-09,2015-11-16,3706,神達
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-11-13,2015-11-16,2015-11-23,2231,為升
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-12-04,2015-12-07,2015-12-14,6488,環球晶
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-12-25,2015-12-28,2016-01-05,8044,網家
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2015-12-31,2016-01-04,2016-01-11,2615,萬海
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-01-08,2016-01-11,2016-01-18,2615,萬海
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-01-15,2016-01-18,2016-01-25,1101,台泥
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-01-22,2016-01-25,2016-02-01,3558,神準
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-01-29,2016-02-01,2016-02-17,6239,力成
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-02-03,2016-02-15,2016-02-22,6279,胡連
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-02-19,2016-02-22,2016-03-01,2474,可成
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-02-26,2016-03-01,2016-03-08,2474,可成
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-03-04,2016-03-07,2016-03-14,2881,富邦金
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-03-11,2016-03-14,2016-03-21,2239,英利-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-03-25,2016-03-28,2016-04-06,2308,台達電
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-04-08,2016-04-11,2016-04-18,6285,啟碁
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-04-15,2016-04-18,2016-04-25,6285,啟碁
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-04-22,2016-04-25,2016-05-03,4105,東洋
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-05-06,2016-05-09,2016-05-16,5483,中美晶
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-05-13,2016-05-16,2016-05-23,2707,晶華
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-05-20,2016-05-23,2016-05-30,6244,茂迪
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-05-27,2016-05-30,2016-06-06,6244,茂迪
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-06-03,2016-06-06,2016-06-15,2382,廣達
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-06-08,2016-06-13,2016-06-20,3234,光環
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-06-17,2016-06-20,2016-06-27,2464,盟立
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-06-24,2016-06-27,2016-07-04,2618,長榮航
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-07-07,2016-07-08,2016-07-15,2231,為升
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-07-15,2016-07-18,2016-07-25,3474,華亞科
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-07-22,2016-07-25,2016-08-01,6415,矽力*-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-07-29,2016-08-01,2016-08-08,3035,智原
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-08-05,2016-08-08,2016-08-15,2881,富邦金
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-08-12,2016-08-15,2016-08-22,6525,捷敏-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-08-19,2016-08-22,2016-08-29,3105,穩懋
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-08-26,2016-08-29,2016-09-05,4966,譜瑞-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-09-02,2016-09-05,2016-09-12,3036,文曄
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-09-09,2016-09-12,2016-09-21,6488,環球晶
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-09-14,2016-09-19,2016-09-26,8299,群聯
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-09-23,2016-09-26,2016-10-03,4736,泰博
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-09-30,2016-10-03,2016-10-11,8299,群聯
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-10-07,2016-10-11,2016-10-18,5264,鎧勝-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-10-14,2016-10-17,2016-10-24,6269,台郡
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-10-21,2016-10-24,2016-10-31,2317,鴻海
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-11-04,2016-11-07,2016-11-14,2317,鴻海
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-11-11,2016-11-14,2016-11-21,3023,信邦
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-11-18,2016-11-21,2016-11-28,2379,瑞昱
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-12-02,2016-12-05,2016-12-12,3293,鈊象
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-12-09,2016-12-12,2016-12-19,4984,科納-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-12-16,2016-12-19,2016-12-26,1536,和大
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-12-23,2016-12-26,2017-01-03,6230,尼得科超眾
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2016-12-30,2017-01-03,2017-01-10,3514,昱晶
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-01-06,2017-01-09,2017-01-16,9921,巨大
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-01-13,2017-01-16,2017-01-23,4105,東洋
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-01-20,2017-01-23,2017-02-07,4943,康控-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-01-24,2017-02-02,2017-02-09,2492,華新科
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-02-17,2017-02-20,2017-03-01,2723,美食-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-02-24,2017-03-01,2017-03-08,2723,美食-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-03-03,2017-03-06,2017-03-13,2313,華通
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-03-10,2017-03-13,2017-03-20,2360,致茂
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-03-17,2017-03-20,2017-03-27,3653,健策
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-03-24,2017-03-27,2017-04-05,8044,網家
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-03-31,2017-04-05,2017-04-12,2345,智邦
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-04-07,2017-04-10,2017-04-17,3653,健策
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-04-14,2017-04-17,2017-04-24,2345,智邦
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-04-21,2017-04-24,2017-05-02,2383,台光電
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-04-28,2017-05-02,2017-05-09,2059,川湖
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-05-05,2017-05-08,2017-05-15,3665,貿聯-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-05-12,2017-05-15,2017-05-22,6196,帆宣
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-06-02,2017-06-05,2017-06-12,3706,神達
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-06-09,2017-06-12,2017-06-19,3706,神達
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-06-30,2017-07-03,2017-07-10,6116,彩晶
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-07-07,2017-07-10,2017-07-17,6116,彩晶
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-07-14,2017-07-17,2017-07-24,1590,亞德客-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-07-21,2017-07-24,2017-07-31,6239,力成
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-07-28,2017-07-31,2017-08-07,3019,亞光
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-08-04,2017-08-07,2017-08-14,1590,亞德客-KY
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-08-11,2017-08-14,2017-08-21,8039,台虹
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-09-01,2017-09-04,2017-09-11,8341,日友
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-09-08,2017-09-11,2017-09-18,2419,仲琦
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-09-15,2017-09-18,2017-09-25,2340,台亞
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-09-22,2017-09-25,2017-10-02,6196,帆宣
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-09-29,2017-10-02,2017-10-12,6188,廣明
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-10-06,2017-10-11,2017-10-18,6111,大宇資
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-10-13,2017-10-16,2017-10-23,2355,敬鵬
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-10-20,2017-10-23,2017-10-30,6111,大宇資
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-10-27,2017-10-30,2017-11-06,3362,先進光
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-11-03,2017-11-06,2017-11-13,1565,精華
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-11-10,2017-11-13,2017-11-20,5289,宜鼎
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-11-24,2017-11-27,2017-12-04,3406,玉晶光
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-12-01,2017-12-04,2017-12-11,1305,華夏
new_rs20_selected_stock_ohlc_path,blocked,selected ticker/date not present in existing P1 selected-stock OHLC paths,bounded Radar/Data selected-ticker-only OHLC gap fill required,Radar/Data,2017-12-08,2017-12-11,2017-12-18,2231,為升
