signal_date,score_variant,integrated_rank,ticker,name,market,integrated_score,route_support_base_score,low_base_score,price_position_low_base,stock_specific_bias_score,recent_runup_penalty,recent_runup_inverse,improving_rs_score,liquidity_improvement,quality_support,overheat_veto_flag,overheat_inverse,quality_component,rs_component,liquidity_component,bias_health_component,route_support_component,risk_inverse_component,pool_persistence_component_proxy,route_support_variant_count,route_support_variant_flags,route_support_mode_flags,layer1_quality_floor_risk_pctile_by_week,layer1_pass_bottom30,RS20,RS40,RS60,RS30_proxy,traded_value_rank_5d,traded_value_rank_20d,traded_value_rank_60d,BIAS20,BIAS60,BIAS120,BIAS20_percentile,BIAS60_percentile,BIAS120_percentile,volatility_pctile_by_week,exhaustion_risk_score,breakdown_risk_score,low_base_component_source_quality
2015-01-30,baseline_route_support,1,2603,長榮,TWSE,0.6966148551220627,0.6966148551220627,0.5383523460366351,0.06285714285714286,0.856,0.30395277207392196,0.6960472279260781,0.50625,0.5962500000000001,0.6482638888888889,True,0.65,0.6482638888888889,0.5,0.759375,0.7095596623317362,0.8,0.6741250000000001,1.0,4.0,dispersion_route|hybrid_pullback_base_mega_override|market_bias_pool_trend_route|pool_breadth_route,low_risk_strength|pullback_repair,0.5017361111111112,True,,,,,26.0,27.0,27.0,-0.0366627244382325,,,0.0643394934976043,,,,0.0435,0.6599999999999999,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2018-03-16,low_base_quality,56,2353,宏碁,TWSE,0.44075957008688293,0.35892198837805167,0.4399073037831759,0.4191067731440403,0.28921033210332103,0.8439012393265684,0.15609876067343165,0.56325,0.4506730769230769,0.5652249134948097,False,1.0,0.5652249134948097,0.4300632911392405,0.809375,0.27114598977106,0.0,0.9027894985301379,1.0,0.0,,,0.5847750865051903,True,0.04269850673677,0.0317776350453675,0.2290971143663172,0.0372380708910687,28.0,23.0,13.0,0.0586722073810229,0.0646059962854869,0.2578123469367762,0.8372943327239488,0.8148831488314883,0.9411035337879728,0.4948096885813148,0.0746805151962186,0.3141614906832298,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2018-03-16,low_base_quality,57,3563,牧德,TPEx,0.43901866286460295,0.3071056588935568,0.3344563197598147,0.19838914794404405,0.08884132841328374,0.8307500629814071,0.16924993701859292,0.417,0.3308766233766234,0.9268166089965398,True,0.30000000000000004,0.9268166089965398,0.33176424050632913,0.30000000000000004,0.26640231262775654,0.0,0.7619243219155108,1.0,0.0,,,0.2231833910034602,True,0.0177230331354656,0.1377852282858946,0.5770382231769913,0.0777541307106801,89.0,69.0,77.0,0.0352312573050593,0.1510257124292212,0.4120862435469177,0.6971358927483242,0.92619926199262,0.977061376317421,0.8996539792387543,0.2066647301421111,0.1456379821958457,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2018-03-16,low_base_quality,58,4739,康普,TWSE,0.43829462711877276,0.28577130241682214,0.4384643850543597,0.09296278238257746,0.0755571955719555,0.873510164712068,0.126489835287932,0.8720000000000001,0.804485294117647,0.9268166089965398,True,5.551115123125783e-17,0.9268166089965398,0.09121835443037975,0.775,0.2421849609769696,0.0,0.609395621111627,1.0,0.0,,,0.2231833910034602,True,0.1700029845043154,0.2313002658798795,0.2244978158420634,0.2006516251920974,26.0,15.0,34.0,0.0532212885154061,0.1581108829568788,0.1544838597424928,0.8153564899451554,0.933579335793358,0.8877867327960323,0.9100346020761244,0.2304038636763587,0.132013651877133,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2018-03-16,low_base_quality,59,6213,聯茂,TWSE,0.43344066493346783,0.3400010885876165,0.43558453523018353,0.2323417798996204,0.363380073800738,0.4751910619333891,0.5248089380666109,0.48812500000000003,0.3297169811320755,0.5652249134948097,False,1.0,0.5652249134948097,0.5228243670886076,0.25,0.36539443125526067,0.0,0.9781190057907331,1.0,0.0,,,0.5847750865051903,True,0.0769767233070877,0.0373263772307641,-0.0156251258013651,0.0571515502689259,93.0,85.0,159.0,-0.0149503982115412,0.0520294468762435,0.0829908982679824,0.1066422912858013,0.7736777367773677,0.7848729076255425,0.6608996539792388,0.0574982698961937,0.030025706940874,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2018-03-16,low_base_quality,60,2455,全新,TWSE,0.42988756427145536,0.28501594195122065,0.4030998163042042,0.08843537414965982,0.019099630996309958,0.9699418475334823,0.030058152466517662,0.84375,0.755625,0.9268166089965398,True,5.551115123125783e-17,0.9268166089965398,0.1326740506329114,0.890625,0.0540157644606399,0.0,0.59446162065767,1.0,0.0,,,0.2231833910034602,True,0.3233389189561295,0.4009431230227367,0.0906727368115047,0.3621410209894331,10.0,12.0,16.0,0.1540434262267052,0.2465757641047739,0.4751545725238802,0.9695307739183424,0.9649446494464944,0.9845009299442034,0.9480968858131488,0.2907249459407481,0.1314285714285714,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2018-03-16,low_base_quality,61,6274,台燿,TPEx,0.4297370650864957,0.37874188419146054,0.3317813673510113,0.07404255319148927,0.4054464944649445,0.6311445457874304,0.3688554542125696,0.27937500000000004,0.1906779661016949,0.5652249134948097,False,1.0,0.5652249134948097,0.646756329113924,0.25,0.6131910176704131,0.0,0.8879085437679453,1.0,0.0,,,0.5847750865051903,True,0.000798445730725,0.0134675848622671,0.095657586777295,0.007133015296496,240.0,204.0,177.0,0.0153640614562457,0.0471524800979793,0.0892586989409986,0.4692260816575259,0.7503075030750308,0.7991320520768754,0.4463667820069204,0.038833910034602,0.409531914893617,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2018-03-16,low_base_quality,62,5534,長虹,TWSE,0.4253674468556968,0.36061621088077855,0.3417960718562221,0.08804232804232791,0.3611660516605165,0.7865158117699134,0.21348418823008664,0.47624999999999995,0.19506437768240342,0.5652249134948097,False,1.0,0.5652249134948097,0.6190268987341772,0.25,0.40458651755599656,0.0,0.9569140669071873,1.0,0.0,,,0.5847750865051903,True,0.0339599810623403,-0.0241600974562063,0.1082165964606276,0.004899941803067,191.0,264.0,233.0,0.0464765808668393,0.0521637237868197,0.1140464399927269,0.7794028031687995,0.7749077490774908,0.8388096714197149,0.1314878892733564,0.020965954593473,0.1513777777777777,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2018-03-16,low_base_quality,63,1605,華新,TWSE,0.42440141448735197,0.3437402030137132,0.3960409415893646,0.06285714285714286,0.4995424354243543,0.7594307084862122,0.2405692915137878,0.65125,0.20827702702702702,0.5652249134948097,False,1.0,0.5652249134948097,0.5248417721518988,0.25,0.4647351270914079,0.0,0.9231320377059309,1.0,0.0,,,0.5847750865051903,True,0.135782289539035,-0.0276283055486918,0.0193953903048005,0.0540769919951716,228.0,159.0,148.0,0.0496664195700518,0.0343820005843964,0.0920589218231831,0.7982937233394272,0.6980319803198032,0.8065716057036578,0.3044982698961938,0.0421385158429432,0.2653333333333333,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2018-03-16,low_base_quality,64,5317,凱美,TPEx,0.4218133495674393,0.332894800302031,0.42006163160667026,0.39766081871344994,0.31909963099631,0.7916975172085364,0.20830248279146357,0.587625,0.22185314685314686,0.5652249134948097,False,1.0,0.5652249134948097,0.5435522151898735,0.25,0.34089760091059906,0.0,0.9047675485292951,1.0,0.0,,,0.5847750865051903,True,0.0490195430605715,-0.0308334337538199,0.3008616706846492,0.0090930546533758,216.0,145.0,143.0,0.0387441549766197,0.0590538891569,0.3450708667093159,0.7294332723948812,0.7982779827798278,0.9609423434593924,0.7993079584775087,0.0695397923875432,0.3113900134952766,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
2018-03-16,low_base_quality,65,2534,宏盛,TWSE,0.4194001320752578,0.33676511466909065,0.37030112225219497,0.06285714285714286,0.27039114391143904,0.6713122786320002,0.32868772136799984,0.5906250000000001,0.2761363636363636,0.5652249134948097,False,1.0,0.5652249134948097,0.4246439873417721,0.25,0.5115351593610188,0.0,0.9930025826262783,1.0,0.0,,,0.5847750865051903,True,0.0722979751670942,0.0460365194973486,0.0732788246807507,0.0591672473322213,218.0,187.0,242.0,0.0150605031775049,0.0697902012355494,0.1417194333833799,0.4667885435709933,0.8253382533825339,0.8741475511469312,0.2249134948096885,0.025268581059513,0.0027210884353741,PIT Layer4 existing fields; no new hard filter; drawdown/BIAS/liquidity/quality are diagnostic components
