variant_id,period,slippage_bp_per_side,actual_start,actual_end,rows,final_NAV,net_total_return,CAGR,MDD,00631L_buyhold_return,00631L_buyhold_MDD,excess_vs_00631L,transition_count,stock_or_etf_exposure_share,cash_exposure_share,total_cost,bear_days,ai_days,diffusion_days
trend_dd10,P1,10,2015-06-08,2016-01-25,162,632758.114046652,-0.36724188595334806,-0.5150206102349426,-0.48691418378140505,3.846585570555419,-0.521305851565929,-4.213827456508767,3,0.7037037037037037,0.2962962962962963,6898.632977695741,49,0,113
crash_dd20,P1,10,2015-06-08,2022-07-11,1735,5245229.71599687,4.24522971599687,0.2632911986188329,-0.4914570093893643,3.846585570555419,-0.521305851565929,0.3986441454414509,14,0.9953890489913545,0.004610951008645533,297594.73753182543,1,105,1629
strict_no_bear_baseline,P2,10,2023-01-09,2026-06-29,835,15221522.854368743,14.221522854368743,1.1921906089491587,-0.5022632537851168,6.8516899592413,-0.5514365988579254,7.369832895127443,19,0.98562874251497,0.01437125748502994,456482.82039386116,0,156,679
current_score,P2,10,2023-01-09,2025-04-28,550,3312110.3058943874,2.3121103058943873,0.683265834882328,-0.5022632537851168,6.8516899592413,-0.5514365988579254,-4.539579653346912,16,0.98,0.02,250160.00469467766,1,131,418
trend_dd10,P2,10,2023-01-09,2025-04-28,550,3312110.3058943874,2.3121103058943873,0.683265834882328,-0.5022632537851168,6.8516899592413,-0.5514365988579254,-4.539579653346912,16,0.98,0.02,250160.00469467766,1,131,418
crash_dd20,P2,10,2023-01-09,2026-06-29,835,15221522.854368743,14.221522854368743,1.1921906089491587,-0.5022632537851168,6.8516899592413,-0.5514365988579254,7.369832895127443,19,0.98562874251497,0.01437125748502994,456482.82039386116,0,156,679
strict_no_bear_baseline,P1,20,2015-06-08,2022-12-29,1856,5055155.753654917,4.055155753654917,0.2390714685074593,-0.5129972755298,3.836868836333821,-0.5213058515659291,0.2182869173210964,14,0.9956896551724138,0.004310344827586207,376591.8549618261,0,105,1751
current_score,P1,20,2015-06-08,2016-01-25,162,624760.2485631766,-0.3752397514368234,-0.5246774940601142,-0.4928910870518939,3.836868836333821,-0.5213058515659291,-4.212108587770644,3,0.7654320987654321,0.2345679012345679,9418.994293743852,39,0,123
trend_dd10,P1,20,2015-06-08,2016-01-25,162,630856.4968754371,-0.3691435031245629,-0.5173231508806799,-0.48794284992925063,3.836868836333821,-0.5213058515659291,-4.2060123394583835,3,0.7037037037037037,0.2962962962962963,9418.994293743852,49,0,113
crash_dd20,P1,20,2015-06-08,2022-07-11,1735,5146115.289553769,4.1461152895537685,0.2598971493081512,-0.49349612826325406,3.836868836333821,-0.5213058515659291,0.3092464532199477,14,0.9953890489913545,0.004610951008645533,376591.8549618261,1,105,1629
strict_no_bear_baseline,P2,20,2023-01-09,2026-06-29,835,14814433.56344304,13.81443356344304,1.1751258221789578,-0.5022632537851175,6.835948406056343,-0.5514365988579253,6.9784851573866975,19,0.98562874251497,0.01437125748502994,576182.2544828204,0,156,679
current_score,P2,20,2023-01-09,2025-04-28,550,3236501.1421830035,2.2365011421830037,0.6664484075399257,-0.5022632537851175,6.835948406056343,-0.5514365988579253,-4.59944726387334,16,0.98,0.02,316175.05580667563,1,131,418
trend_dd10,P2,20,2023-01-09,2025-04-28,550,3236501.1421830035,2.2365011421830037,0.6664484075399257,-0.5022632537851175,6.835948406056343,-0.5514365988579253,-4.59944726387334,16,0.98,0.02,316175.05580667563,1,131,418
crash_dd20,P2,20,2023-01-09,2026-06-29,835,14814433.56344304,13.81443356344304,1.1751258221789578,-0.5022632537851175,6.835948406056343,-0.5514365988579253,6.9784851573866975,19,0.98562874251497,0.01437125748502994,576182.2544828204,0,156,679
