event_id,signal_date,execution_date,execution_date_basis,week_id,ticker,name,sleeve_group,candidate_base,candidate_family_list,subpool_class,current_final_candidate,current_top3_candidate,long_strong_candidate,pullback_repair_candidate,momentum_sleeve_candidate,pullback_sleeve_candidate,market_attention_member,eligible_pool_member,rank_overall,rank_in_subpool,risk_score,risk_bucket,turnover_state,selected_by_vnext,selected_outcome_candidate,case_trace_only,diagnostic_only,not_live_rule,included_in_path_table,blocked_reason
2015-07-17|3511,2015-07-17,2015-07-20,next_trading_day_after_signal_date,2015-W29,3511,矽瑪,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,63.927398994745175,high,normal,True,True,False,True,True,True,
2015-07-24|3205,2015-07-24,2015-07-27,next_trading_day_after_signal_date,2015-W30,3205,佰研,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,64.22571219736867,high,high_attention,True,True,False,True,True,True,
2015-07-31|3205,2015-07-31,2015-08-03,next_trading_day_after_signal_date,2015-W31,3205,佰研,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,2.0,1.0,63.3268992806925,high,high_attention,True,True,False,True,True,True,
2015-08-07|3511,2015-08-07,2015-08-10,next_trading_day_after_signal_date,2015-W32,3511,矽瑪,pullback_repair,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,True,True,True,1.0,1.0,64.83760709242242,high,normal,True,True,False,True,True,True,
2015-08-07|6294,2015-08-07,2015-08-10,next_trading_day_after_signal_date,2015-W32,6294,智基,pullback_repair,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,False,True,True,True,2.0,1.0,62.34776995527493,high,normal,True,True,False,True,True,True,
2015-08-14|3511,2015-08-14,2015-08-17,next_trading_day_after_signal_date,2015-W33,3511,矽瑪,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,64.53606091094167,high,normal,True,True,False,True,True,True,
2015-08-14|3205,2015-08-14,2015-08-17,next_trading_day_after_signal_date,2015-W33,3205,佰研,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,2.0,62.548615565356464,high,high_attention,True,True,False,True,True,True,
2015-08-21|3511,2015-08-21,2015-08-24,next_trading_day_after_signal_date,2015-W34,3511,矽瑪,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,63.282277523122254,high,high_attention,True,True,False,True,True,True,
2015-08-21|4420,2015-08-21,2015-08-24,next_trading_day_after_signal_date,2015-W34,4420,光明,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,63.73681172151582,high,normal,True,True,False,True,True,True,
2015-08-28|1541,2015-08-28,2015-08-31,next_trading_day_after_signal_date,2015-W35,1541,錩泰,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,62.41384612470077,high,normal,True,True,False,True,True,True,
2015-09-04|1541,2015-09-04,2015-09-07,next_trading_day_after_signal_date,2015-W36,1541,錩泰,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,1.0,63.271651539546426,high,normal,True,True,False,True,True,True,
2015-09-11|1541,2015-09-11,2015-09-14,next_trading_day_after_signal_date,2015-W37,1541,錩泰,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,1.0,64.00008695724,high,high_attention,True,True,False,True,True,True,
2015-09-18|1541,2015-09-18,2015-09-21,next_trading_day_after_signal_date,2015-W38,1541,錩泰,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,64.47797311642941,high,high_attention,True,True,False,True,True,True,
2015-09-18|3205,2015-09-18,2015-09-21,next_trading_day_after_signal_date,2015-W38,3205,佰研,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,63.68975787704056,high,high_attention,True,True,False,True,True,True,
2015-09-25|4529,2015-09-25,2015-09-30,next_trading_day_after_signal_date,2015-W39,4529,昶洧,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,1.0,60.51964457693648,high,normal,True,True,False,True,True,True,
2015-09-25|3205,2015-09-25,2015-09-30,next_trading_day_after_signal_date,2015-W39,3205,佰研,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,2.0,62.714111934954,high,high_attention,True,True,False,True,True,True,
2015-10-02|3205,2015-10-02,2015-10-05,next_trading_day_after_signal_date,2015-W40,3205,佰研,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,62.50873755574522,high,high_attention,True,True,False,True,True,True,
2015-10-16|6238,2015-10-16,2015-10-19,next_trading_day_after_signal_date,2015-W42,6238,勝麗,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,64.3427338245992,high,high_attention,True,True,False,True,True,True,
2015-11-06|4529,2015-11-06,2015-11-09,next_trading_day_after_signal_date,2015-W45,4529,昶洧,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,68.59782296973472,high,normal,True,True,False,True,True,True,
2015-11-06|6238,2015-11-06,2015-11-09,next_trading_day_after_signal_date,2015-W45,6238,勝麗,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,2.0,64.65972512854233,high,high_attention,True,True,False,True,True,True,
2015-11-13|4529,2015-11-13,2015-11-16,next_trading_day_after_signal_date,2015-W46,4529,昶洧,pullback_repair,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,False,True,True,True,1.0,1.0,70.19414218502084,high,high_attention,True,True,False,True,True,True,
2015-11-20|4529,2015-11-20,2015-11-23,next_trading_day_after_signal_date,2015-W47,4529,昶洧,pullback_repair,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,False,True,True,True,1.0,1.0,69.25537933459313,high,high_attention,True,True,False,True,True,True,
2015-11-20|8105,2015-11-20,2015-11-23,next_trading_day_after_signal_date,2015-W47,8105,凌巨,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,2.0,63.09562560158575,high,high_attention,True,True,False,True,True,True,
2016-02-03|3293,2016-02-03,2016-02-15,next_trading_day_after_signal_date,2016-W05,3293,鈊象,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,63.47943861777844,high,high_attention,True,True,False,True,True,True,
2016-02-19|3293,2016-02-19,2016-02-22,next_trading_day_after_signal_date,2016-W07,3293,鈊象,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,61.12157739451008,high,high_attention,True,True,False,True,True,True,
2016-03-04|3293,2016-03-04,2016-03-07,next_trading_day_after_signal_date,2016-W09,3293,鈊象,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,60.99445668467697,high,high_attention,True,True,False,True,True,True,
2016-03-18|3064,2016-03-18,2016-03-21,next_trading_day_after_signal_date,2016-W11,3064,泰偉,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,64.87624552861325,high,normal,True,True,False,True,True,True,
2016-03-18|6227,2016-03-18,2016-03-21,next_trading_day_after_signal_date,2016-W11,6227,茂綸,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,2.0,60.93738520710098,high,high_attention,True,True,False,True,True,True,
2016-03-25|3064,2016-03-25,2016-03-28,next_trading_day_after_signal_date,2016-W12,3064,泰偉,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,1.0,1.0,65.38967227366587,high,normal,True,True,False,True,True,True,
2016-04-01|3064,2016-04-01,2016-04-06,next_trading_day_after_signal_date,2016-W13,3064,泰偉,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,1.0,1.0,65.69800572007148,high,high_attention,True,True,False,True,True,True,
2016-04-08|6227,2016-04-08,2016-04-11,next_trading_day_after_signal_date,2016-W14,6227,茂綸,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,63.493465545960525,high,high_attention,True,True,False,True,True,True,
2016-04-08|3064,2016-04-08,2016-04-11,next_trading_day_after_signal_date,2016-W14,3064,泰偉,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,2.0,2.0,66.14561596607552,high,high_attention,True,True,False,True,True,True,
2016-05-06|4534,2016-05-06,2016-05-09,next_trading_day_after_signal_date,2016-W18,4534,慶騰,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,63.676615380540326,high,high_attention,True,True,False,True,True,True,
2016-05-27|8421,2016-05-27,2016-05-30,next_trading_day_after_signal_date,2016-W21,8421,旭源,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,60.15128316123789,high,normal,True,True,False,True,True,True,
2016-06-03|8421,2016-06-03,2016-06-06,next_trading_day_after_signal_date,2016-W22,8421,旭源,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,61.496652030068766,high,normal,True,True,False,True,True,True,
2016-07-01|3522,2016-07-01,2016-07-04,next_trading_day_after_signal_date,2016-W26,3522,宏森,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,59.305534601487054,normal,normal,True,True,False,True,True,True,
2016-07-07|3522,2016-07-07,2016-07-11,next_trading_day_after_signal_date,2016-W27,3522,宏森,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,60.47615575348526,high,high_attention,True,True,False,True,True,True,
2016-07-15|3522,2016-07-15,2016-07-18,next_trading_day_after_signal_date,2016-W28,3522,宏森,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,2.0,1.0,65.15921754903991,high,high_attention,True,True,False,True,True,True,
2016-07-22|3522,2016-07-22,2016-07-25,next_trading_day_after_signal_date,2016-W29,3522,宏森,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,2.0,1.0,64.88083785648959,high,high_attention,True,True,False,True,True,True,
2016-07-29|3522,2016-07-29,2016-08-01,next_trading_day_after_signal_date,2016-W30,3522,宏森,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,66.51184905651232,high,high_attention,True,True,False,True,True,True,
2016-08-05|3546,2016-08-05,2016-08-08,next_trading_day_after_signal_date,2016-W31,3546,宇峻,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,61.723228592887686,high,high_attention,True,True,False,True,True,True,
2016-08-12|3522,2016-08-12,2016-08-15,next_trading_day_after_signal_date,2016-W32,3522,宏森,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,2.0,1.0,61.66766069591328,high,high_attention,True,True,False,True,True,True,
2016-08-19|3522,2016-08-19,2016-08-22,next_trading_day_after_signal_date,2016-W33,3522,宏森,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,62.795975976878815,high,high_attention,True,True,False,True,True,True,
2016-09-09|4903,2016-09-09,2016-09-12,next_trading_day_after_signal_date,2016-W36,4903,聯光通,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,63.27029546279677,high,high_attention,True,True,False,True,True,True,
2016-09-14|4903,2016-09-14,2016-09-19,next_trading_day_after_signal_date,2016-W37,4903,聯光通,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,1.0,62.6054358138149,high,high_attention,True,True,False,True,True,True,
2016-09-14|3313,2016-09-14,2016-09-19,next_trading_day_after_signal_date,2016-W37,3313,斐成,pullback_repair,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,False,True,True,True,2.0,1.0,60.52879278152153,high,high_attention,True,True,False,True,True,True,
2016-09-23|4903,2016-09-23,2016-09-26,next_trading_day_after_signal_date,2016-W38,4903,聯光通,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,61.09214767119495,high,high_attention,True,True,False,True,True,True,
2016-09-30|2314,2016-09-30,2016-10-03,next_trading_day_after_signal_date,2016-W39,2314,台揚,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,99.96803069053708,high,high_attention,True,True,False,True,True,True,
2016-10-28|6283,2016-10-28,2016-10-31,next_trading_day_after_signal_date,2016-W43,6283,淳安,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,1.0,100.0,high,normal,True,True,False,True,True,True,
2016-12-23|6283,2016-12-23,2016-12-26,next_trading_day_after_signal_date,2016-W51,6283,淳安,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,57.951477245279264,normal,high_attention,True,True,False,True,True,True,
2016-12-30|6283,2016-12-30,2017-01-03,next_trading_day_after_signal_date,2016-W52,6283,淳安,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,58.130774578820514,normal,high_attention,True,True,False,True,True,True,
2017-01-06|6283,2017-01-06,2017-01-09,next_trading_day_after_signal_date,2017-W01,6283,淳安,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,57.97779719848538,normal,high_attention,True,True,False,True,True,True,
2017-01-13|6283,2017-01-13,2017-01-16,next_trading_day_after_signal_date,2017-W02,6283,淳安,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,56.66761683509387,normal,high_attention,True,True,False,True,True,True,
2017-01-13|8913,2017-01-13,2017-01-16,next_trading_day_after_signal_date,2017-W02,8913,全銓,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,2.0,1.0,63.25635023434224,high,high_attention,True,True,False,True,True,True,
2017-01-20|3406,2017-01-20,2017-01-23,next_trading_day_after_signal_date,2017-W03,3406,玉晶光,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,61.23826974192685,high,high_attention,True,True,False,True,True,False,missing_observed_path_excess_vs_00631L|missing_endpoint_30d_excess_vs_00631L
2017-01-24|3406,2017-01-24,2017-02-02,next_trading_day_after_signal_date,2017-W04,3406,玉晶光,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,62.147898234877374,high,high_attention,True,True,False,True,True,False,missing_observed_path_excess_vs_00631L
2017-02-03|3406,2017-02-03,2017-02-06,next_trading_day_after_signal_date,2017-W05,3406,玉晶光,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,62.19162785710361,high,high_attention,True,True,False,True,True,False,missing_observed_path_excess_vs_00631L
2017-02-17|3406,2017-02-17,2017-02-20,next_trading_day_after_signal_date,2017-W07,3406,玉晶光,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,2.0,1.0,65.42324520630027,high,high_attention,True,True,False,True,True,False,missing_observed_path_excess_vs_00631L
2017-03-17|6426,2017-03-17,2017-03-20,next_trading_day_after_signal_date,2017-W11,6426,統新,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,2.0,1.0,99.93773349937734,high,high_attention,True,True,False,True,True,True,
2017-03-24|6165,2017-03-24,2017-03-27,next_trading_day_after_signal_date,2017-W12,6165,浪凡,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,100.0,high,normal,True,True,False,True,True,True,
2017-03-24|6426,2017-03-24,2017-03-27,next_trading_day_after_signal_date,2017-W12,6426,統新,overlap,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,True,True,True,2.0,2.0,99.9689633767846,high,high_attention,True,True,False,True,True,True,
2017-03-31|6426,2017-03-31,2017-04-05,next_trading_day_after_signal_date,2017-W13,6426,統新,momentum_only,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|long_strong|market_attention_map,long_strong,True,True,True,False,True,False,True,True,1.0,1.0,65.93906989951107,high,high_attention,True,True,False,True,True,True,
2017-04-07|6435,2017-04-07,2017-04-10,next_trading_day_after_signal_date,2017-W14,6435,大中,neither,vnext_primary_selected_outcome_candidate,current_final|current_top3|c3_pullback|market_attention_map,pullback_repair,True,True,False,True,False,False,True,True,1.0,1.0,63.6442647466896,high,high_attention,True,True,False,True,True,True,
