signal_date,transition_date,from_ticker,from_asset_type,to_ticker,to_asset_type,transition_action,sell_price_kind,buy_price_kind,sell_cost_asset_type,buy_cost_asset_type,transition_price_ready,diagnostic_notional_twd,sell_cost_twd,buy_cost_twd,total_transition_cost_twd,transition_cost_rate_proxy,cost_model_status,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,ready_for_formal,not_live_rule,forward_returns_live_rule_usage
2016-09-02,2016-09-05,00631L,etf,6451,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2016-09-09,2016-09-10,6451,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-01-13,2017-01-16,00631L,etf,3529,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-01-20,2017-01-23,3529,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-02-03,2017-02-06,00631L,etf,3346,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-02-10,2017-02-13,3346,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-05-12,2017-05-15,00631L,etf,1569,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-05-19,2017-05-22,1569,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-08-25,2017-08-28,00631L,etf,2603,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-09-01,2017-09-04,2603,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-10-27,2017-10-30,00631L,etf,6121,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-11-03,2017-11-06,6121,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-11-24,2017-11-27,00631L,etf,6573,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2017-12-01,2017-12-04,6573,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2018-03-16,2018-03-19,00631L,etf,6150,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2018-03-23,2018-03-26,6150,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2018-05-18,2018-05-21,00631L,etf,4190,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2018-05-25,2018-05-28,4190,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2018-06-08,2018-06-11,00631L,etf,3090,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2018-06-15,2018-06-19,3090,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2018-06-29,2018-07-02,00631L,etf,8163,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2018-07-06,2018-07-09,8163,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2018-11-09,2018-11-12,00631L,etf,3563,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2018-11-16,2018-11-19,3563,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2019-05-24,2019-05-27,00631L,etf,2633,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2019-05-31,2019-06-03,2633,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2019-09-12,2019-09-16,00631L,etf,3661,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2019-09-20,2019-09-23,3661,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2019-12-06,2019-12-09,00631L,etf,8040,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2019-12-13,2019-12-16,8040,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2020-01-10,2020-01-13,00631L,etf,3260,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2020-01-17,2020-01-20,3260,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2020-02-21,2020-02-24,00631L,etf,3706,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2020-02-27,2020-03-02,3706,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2020-04-17,2020-04-20,00631L,etf,6415,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2020-04-24,2020-04-27,6415,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2021-06-18,2021-06-21,00631L,etf,2636,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2021-06-25,2021-06-28,2636,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2021-07-09,2021-07-12,00631L,etf,2351,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2021-07-16,2021-07-19,2351,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2021-12-30,2022-01-03,00631L,etf,8478,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-01-07,2022-01-10,8478,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-02-18,2022-02-21,00631L,etf,6719,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-02-25,2022-03-01,6719,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-04-08,2022-04-11,00631L,etf,4736,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-04-15,2022-04-18,4736,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-04-29,2022-05-03,00631L,etf,4736,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-05-06,2022-05-09,4736,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-06-10,2022-06-13,00631L,etf,1522,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-06-17,2022-06-20,1522,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-07-01,2022-07-04,00631L,etf,5904,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-07-08,2022-07-11,5904,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-07-29,2022-08-01,00631L,etf,2419,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-08-05,2022-08-08,2419,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-08-12,2022-08-15,00631L,etf,6796,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-08-19,2022-08-22,6796,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-09-08,2022-09-12,00631L,etf,8069,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-09-16,2022-09-19,8069,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-11-04,2022-11-07,00631L,etf,2468,stock,base_00631L_to_stock_exception,adjusted_close,unadjusted_close,etf,stock,True,1000000,2425,1425,3850,0.00385,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
2022-11-11,2022-11-14,2468,stock,00631L,etf,stock_exception_to_base_00631L,unadjusted_close,adjusted_close,stock,etf,True,1000000,4425,1425,5850,0.00585,applied_local_ep05_TaiwanCostModel_unit_notional_transition_proxy,True,False,False,False,False,False,False,False,True,False
