snapshot_date,dynamic80_row_count,dynamic80_rs20_positive_share,dynamic80_rs60_positive_share,dynamic80_rs20_median,dynamic80_rs20_p75,dynamic80_rs20_top_decile_median,dynamic80_rs20_dispersion_top_minus_median,dynamic80_traded_value_breadth,dynamic80_traded_value_top50_concentration_proxy,dynamic80_two_plus_opportunity_label_share,dynamic80_high_exhaustion_breakdown_share,pool_confirmation_threshold_decided_by_core,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2015-09-25,80,0.875,0.5875,0.059958324931809096,0.13402259239626887,0.3100225347072893,0.34509758197603524,1.0,0.275,1.0,0.1875,False,True,False,False,False,False,False,False,True,False
2015-10-02,80,0.8125,0.4625,0.0528003864209276,0.09556809110547296,0.2638437193235956,0.3279070742713637,0.9625,0.2625,1.0,0.2375,False,True,False,False,False,False,False,False,True,False
2015-10-08,80,0.95,0.525,0.08643717225514486,0.1273693637984148,0.19917354925873915,0.27000430796654556,1.0,0.175,1.0,0.05,False,True,False,False,False,False,False,False,True,False
2015-10-16,80,0.8,0.65,0.042683886232676146,0.09216706717158812,0.2187368924604275,0.3684569490512448,1.0,0.1,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2015-10-23,80,0.6,0.8125,0.015159831566292352,0.056083936142318075,0.13797072546642658,0.17473892953070164,0.975,0.125,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2015-10-30,80,0.9125,0.8875,0.06291782627034274,0.11730642023610093,0.20304419796193401,0.17141557029786314,0.9875,0.1875,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2015-11-06,80,0.9,0.8,0.061960123971704445,0.11221480320222535,0.197858642166436,0.34929449531613055,0.975,0.1875,1.0,0.0625,False,True,False,False,False,False,False,False,True,False
2015-11-13,80,0.8,0.6625,0.027772931678672598,0.0757704339739445,0.1770392112795882,0.3438142631741446,1.0,0.2375,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2015-11-20,80,0.925,0.875,0.0530375464663247,0.12203707038109095,0.2158521301465117,0.390260654010904,1.0,0.275,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2015-11-27,80,0.9,0.7875,0.0545809377794226,0.11818567092462268,0.2217531301197117,0.2492441124080044,1.0,0.275,1.0,0.075,False,True,False,False,False,False,False,False,True,False
2015-12-04,80,0.9,0.8875,0.0904009822400739,0.16975571046282648,0.28340986277749336,0.24433756728277298,1.0,0.225,1.0,0.05,False,True,False,False,False,False,False,False,True,False
2015-12-11,80,0.825,0.8375,0.03747931446227335,0.11078863909264362,0.2295321457027175,0.23522942601522726,0.975,0.225,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2015-12-18,80,0.7375,0.6625,0.0306221751814288,0.1207657946575531,0.2860038606281946,0.4557957870865345,0.9625,0.25,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2015-12-25,80,0.775,0.775,0.02611037385717225,0.07451016688923047,0.21722570745189645,0.2754578072489808,1.0,0.225,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2015-12-31,80,0.8,0.775,0.03802941631323015,0.0736025906660612,0.16310157120844126,0.24539610308327653,0.9625,0.225,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-01-08,80,0.825,0.85,0.04158400463166305,0.08656284101273777,0.1889433424883695,0.37411693385353145,0.9875,0.2,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-01-15,80,0.6,0.725,0.0068456450392026,0.045561278942336456,0.09551415831733714,0.24338468013468018,0.9875,0.175,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-01-22,80,0.7625,0.7375,0.032374286971521046,0.06572719857028517,0.13752955191604394,0.3101649768466314,0.975,0.1875,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2016-01-29,80,0.725,0.7875,0.03005352690734995,0.07407396102113159,0.16336816102879081,0.17084614046279656,0.9875,0.1875,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2016-02-03,80,0.75,0.7875,0.03345390167621095,0.06641568699053821,0.14151820782565824,0.26205671077238435,0.9625,0.1375,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-02-19,80,0.8375,0.9375,0.047764390082416605,0.1098162973812172,0.21615518218837954,0.3336963790614843,0.9875,0.1625,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-02-26,80,0.6625,0.7875,0.026793915727559348,0.09484147709704747,0.19531881927036449,0.6579150914940013,0.95,0.1875,1.0,0.075,False,True,False,False,False,False,False,False,True,False
2016-03-04,80,0.55,0.6375,0.007927993523564401,0.06592121110740418,0.21839437242913862,0.32151870259748183,0.9875,0.1875,1.0,0.05,False,True,False,False,False,False,False,False,True,False
2016-03-11,80,0.7,0.6875,0.03347778896926055,0.09020184235912583,0.22923347656274523,0.5289480765998269,0.9625,0.1375,0.975,0.05,False,True,False,False,False,False,False,False,True,False
2016-03-18,80,0.6,0.6875,0.01171521249670835,0.06707057219014,0.14651356166646073,0.3470492838067844,0.975,0.2125,0.9875,0.05,False,True,False,False,False,False,False,False,True,False
2016-03-25,80,0.525,0.7,0.005274249745367349,0.04819452947900528,0.1959891123302485,0.3302394499713587,0.8875,0.1625,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2016-04-01,80,0.5625,0.725,0.006812310457429201,0.07695526527083144,0.1157583524382764,0.273192134095254,0.9875,0.1625,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2016-04-08,80,0.6875,0.7875,0.0241786220474351,0.06981404318180587,0.20231596460935736,0.4524564933067447,0.975,0.15,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-04-15,80,0.6375,0.5375,0.0106130196580945,0.061541049961124826,0.1712557538767781,0.30532051282051287,0.975,0.1875,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-04-22,80,0.7,0.6375,0.027461748606629602,0.07998779843025661,0.18692341340654534,0.20682721762367212,0.975,0.25,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-04-29,80,0.8375,0.675,0.040870531280154804,0.08560999474576457,0.16940049121188494,0.1666388949355554,1.0,0.2375,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-05-06,80,0.6875,0.65,0.02609688427413005,0.07143195250746984,0.17613352993838755,0.17399257913084737,0.9875,0.225,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-05-13,80,0.8375,0.75,0.04399426814712255,0.08884314756631437,0.16430030148201855,0.18353139235492177,0.9625,0.2,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-05-20,80,0.675,0.6,0.0138121740501937,0.05001946495357662,0.11925668983145776,0.1580505130228888,0.9875,0.175,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2016-05-27,80,0.7,0.6625,0.025155281544727952,0.061825846359326524,0.17474814698181404,0.19474690080328314,0.9875,0.2,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-06-03,80,0.575,0.6875,0.009001771412399849,0.0480926575477499,0.16375167259818846,0.27186764550008785,1.0,0.225,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-06-08,80,0.5375,0.625,0.0037176824921480497,0.02979261020576125,0.12169450480958215,0.24541157779653205,1.0,0.2125,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-06-17,80,0.5,0.7,-0.00046871513770709993,0.03172499842838303,0.1444595102510527,0.1978345426459899,1.0,0.25,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-06-24,80,0.5125,0.6375,0.0063803246384459,0.039621815856024575,0.0963304499068222,0.1439629795709112,1.0,0.2,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-07-01,80,0.5,0.6375,0.00077041151036645,0.036402590373624324,0.10397383831507451,0.18717729441337905,0.9875,0.175,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-07-07,80,0.6625,0.6125,0.02381341563940625,0.04773604069028655,0.1385439953335712,0.25894219484847275,0.9875,0.225,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-07-15,80,0.5875,0.4875,0.0074635542923923,0.0532102099594039,0.1784950735762962,0.3917762752640589,0.95,0.2125,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2016-07-22,80,0.2875,0.625,-0.0360151291657555,0.003584233121150475,0.1119147193631684,0.2780138555171231,0.9875,0.2125,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-07-29,80,0.6125,0.5,0.013728822696571451,0.041476389255754795,0.1334581730399544,0.18429734069534146,1.0,0.2,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-08-05,80,0.5875,0.5125,0.0111560090537676,0.049259207691687526,0.1761151155384205,0.40334047914270227,0.9875,0.1625,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-08-12,80,0.5625,0.425,0.00322717142878955,0.05503072025247605,0.12640916643131425,0.18436165760840764,0.9375,0.1875,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-08-19,80,0.6875,0.5375,0.0234245949991105,0.07306103011085932,0.15543581256190825,0.16939437335906948,1.0,0.2125,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-08-26,80,0.6375,0.4375,0.0187160218783973,0.060721944482043,0.16691164699344105,0.1994133300110529,0.975,0.225,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-09-02,80,0.6375,0.575,0.0202196810520115,0.05993479024007915,0.148927922007822,0.3164784743068828,0.9875,0.225,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-09-09,80,0.8125,0.6625,0.04499220131430775,0.09693923471746263,0.1969256301083685,0.31737605264017943,1.0,0.2,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2016-09-14,80,0.8375,0.475,0.0528228165684027,0.09629226508538612,0.2441458243888521,0.2620226113681149,0.9875,0.2625,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-09-23,80,0.625,0.5375,0.018197311455491298,0.06335100041960272,0.167508730605581,0.2785338801629292,0.975,0.2125,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-09-30,80,0.575,0.4875,0.00805413996123225,0.04869988836610473,0.1150819481871573,0.18792165084257284,0.95,0.2375,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2016-10-07,80,0.8625,0.5875,0.03576339119174035,0.08724925443043804,0.20923363500099995,0.375397135492582,0.9875,0.15,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-10-14,80,0.1875,0.4375,-0.056181222945950696,-0.011046406555768275,0.05019959167793485,0.1595661770197745,0.975,0.2,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-10-21,80,0.525,0.45,0.00388174567860315,0.0485573478283489,0.17198653763509614,0.28785599230568554,0.975,0.2625,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2016-10-28,80,0.45,0.4625,-0.0049092229994278,0.039164871228197645,0.1556097101118153,0.3618404118404118,0.95,0.275,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2016-11-04,80,0.4375,0.475,-0.0086353535563804,0.016346980646562002,0.10435715861998554,0.2120917562406923,0.9875,0.2375,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-11-11,80,0.65,0.4625,0.01501530191748145,0.03365140811419902,0.12508527662882424,0.32372794894132473,0.975,0.1625,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-11-18,80,0.6,0.4625,0.0111966222258729,0.04647855310135177,0.19441221932146296,0.28802539410487565,0.9625,0.1875,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-11-25,80,0.6625,0.5,0.02137995977369355,0.07874669647579846,0.16096835711785068,0.42342375861765374,0.9375,0.1625,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2016-12-02,80,0.825,0.6875,0.04153807007624585,0.10567543043146257,0.2193776771622182,0.36330284646760547,0.9375,0.15,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2016-12-09,80,0.675,0.3,0.01773381186122805,0.08038095093777917,0.1799693394144692,0.3898835828227798,0.975,0.2,0.975,0.0875,False,True,False,False,False,False,False,False,True,False
2016-12-16,80,0.8,0.7,0.028566753746435,0.0701106540306015,0.19873069317205888,0.2353535353535355,0.975,0.2125,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2016-12-23,80,0.675,0.625,0.014296008880637149,0.057984189094822,0.15525881676519446,0.24691641423703137,0.9625,0.275,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2016-12-30,80,0.6625,0.55,0.0110198472820187,0.05528703076945533,0.14954007287880244,0.2824399471632883,0.9625,0.25,1.0,0.0625,False,True,False,False,False,False,False,False,True,False
2017-01-06,80,0.7875,0.7375,0.0301097350124166,0.09035774050027343,0.1984884372262402,0.2912541370374669,0.9875,0.2125,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2017-01-13,80,0.85,0.75,0.02846094423819985,0.0558429910065446,0.15451730939711225,0.20278025419748896,0.975,0.225,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2017-01-20,80,0.8,0.7625,0.0568686955053143,0.10931954951865458,0.1841383925845092,0.23951399164966958,0.9875,0.225,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2017-01-24,80,0.8375,0.775,0.033823627229799896,0.08331185965658384,0.24069676029534134,0.24759157567128862,0.9875,0.275,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-02-03,80,0.925,0.85,0.0754168724370486,0.12818197642953483,0.2594602971731949,0.3552125084728338,0.9875,0.225,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2017-02-10,80,0.8625,0.875,0.046894174082027604,0.09613147114723768,0.1871650479967349,0.2464480546207955,0.975,0.2,1.0,0.05,False,True,False,False,False,False,False,False,True,False
2017-02-17,80,0.9375,0.95,0.061383293889513954,0.100838922572785,0.18744606542992792,0.18413349983173055,0.925,0.175,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2017-02-24,80,0.9125,0.925,0.0647210788692128,0.11469611973989645,0.2302055077860041,0.2666743946114742,0.9375,0.175,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-03-03,80,0.925,0.8625,0.0675425969095351,0.12894901393539926,0.20423346869516465,0.30552824445680393,0.95,0.2125,1.0,0.1625,False,True,False,False,False,False,False,False,True,False
2017-03-10,80,0.9125,0.9,0.04952198488271835,0.11370267732632264,0.32075038701306846,0.8788116790684657,0.9375,0.25,1.0,0.0625,False,True,False,False,False,False,False,False,True,False
2017-03-17,80,0.95,0.95,0.08901278853417645,0.15913762748248655,0.26489647603478306,0.27418251877659344,0.875,0.1875,0.9625,0.05,False,True,False,False,False,False,False,False,True,False
2017-03-24,80,0.775,0.875,0.0397509164166929,0.09984610533322849,0.17044274859145836,0.2374673877960873,0.9125,0.2125,1.0,0.1125,False,True,False,False,False,False,False,False,True,False
2017-03-31,80,0.7125,0.9125,0.02416963282095315,0.07748736605515802,0.1499860376053142,0.5061504648067042,0.975,0.2125,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2017-04-07,80,0.75,0.85,0.033423315981949794,0.0801662713282479,0.3045298213657145,0.41248618647414437,0.9875,0.275,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2017-04-14,80,0.575,0.7125,0.009776103949460449,0.052658271478614,0.1599803901765032,0.4997407381396685,0.95,0.3125,1.0,0.0875,False,True,False,False,False,False,False,False,True,False
2017-04-21,80,0.6375,0.75,0.01425604535758835,0.0612824547111911,0.25840218041537644,0.32759917508832787,0.9875,0.3125,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-04-28,80,0.5875,0.75,0.007426150400061201,0.08182502656460858,0.1990768601007524,0.38981759969636015,0.975,0.3,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2017-05-05,80,0.675,0.7,0.0197040551418841,0.05640198946623968,0.1720467842716938,0.3604898647307235,0.9875,0.2875,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-05-12,80,0.6125,0.6625,0.01946458675969115,0.0630258535376957,0.15971526164271896,0.21764085525036994,0.9875,0.3,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2017-05-19,80,0.7,0.6375,0.023366860187294898,0.0704114476614047,0.17566328042262075,0.2106711469528495,1.0,0.2625,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2017-05-26,80,0.6625,0.5875,0.01895142710499025,0.06605920235498569,0.16190530278570844,0.39151211951529635,1.0,0.275,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-06-02,80,0.7,0.525,0.02378828764209925,0.06799976207419,0.1579053956025926,0.22171891945183886,0.95,0.2875,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-06-09,80,0.8,0.525,0.028194086362771598,0.08759183761694733,0.20774447103557125,0.3643279739768124,1.0,0.3375,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-06-16,80,0.5625,0.6125,0.01782947407233985,0.07189519098940633,0.16932028937804067,0.23526484814313833,0.9875,0.2625,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2017-06-23,80,0.45,0.5125,-0.0058069802479597,0.048930917501493955,0.13533879907261342,0.2086379277380714,1.0,0.325,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2017-06-30,80,0.5125,0.5125,0.0062822573594011,0.0379904634305692,0.13139238377330004,0.1926514699770513,0.9875,0.3875,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2017-07-07,80,0.475,0.475,-0.0021364721613563497,0.020007214354058903,0.08045126160586255,0.15947774936751674,0.9875,0.3625,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2017-07-14,80,0.55,0.5125,0.00628315507881215,0.042994873981732774,0.14688413460401445,0.18773212706618586,1.0,0.4125,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-07-21,80,0.6625,0.5,0.01028057489684035,0.05122241083223255,0.1229821085346273,0.25518982067280743,1.0,0.35,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2017-07-28,80,0.65,0.55,0.0267992282655786,0.08275092619083207,0.16781008891476157,0.24546979758431878,1.0,0.3125,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-08-04,80,0.8,0.75,0.04777269726257955,0.10035556562928592,0.24716832025968544,0.26615217018577125,0.975,0.2375,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-08-11,80,0.6875,0.625,0.017996328136723,0.08487982237198657,0.1513294112654507,0.2117393594123624,0.9875,0.225,1.0,0.0625,False,True,False,False,False,False,False,False,True,False
2017-08-18,80,0.75,0.6875,0.0319360420511647,0.09626013609105892,0.21977657498968545,0.2717487343334715,0.975,0.2875,1.0,0.025,False,True,False,False,False,False,False,False,True,False
2017-08-25,80,0.825,0.6875,0.0535043877710189,0.09669208621029404,0.2311270748108954,0.2760908564101604,0.9625,0.275,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2017-09-01,80,0.75,0.7625,0.0377963334968631,0.0881207807147465,0.22835781513348405,1.7156007339412995,0.9875,0.275,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-09-08,80,0.9,0.775,0.07021496871180696,0.11822658088011903,0.2451213837112171,1.793757318337256,0.9875,0.1875,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-09-15,80,0.775,0.8375,0.0402829418137412,0.09650614905512205,0.27171466285665835,0.2546310297683171,0.9875,0.275,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-09-22,80,0.8,0.725,0.02633879073655515,0.07399084447293067,0.216881316299961,0.28954496401025975,0.9875,0.225,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2017-09-29,80,0.7625,0.6375,0.01811355229602725,0.06644064347122743,0.19307435752791666,0.286795635151826,0.975,0.175,1.0,0.0625,False,True,False,False,False,False,False,False,True,False
2017-10-06,80,0.8125,0.7625,0.03035823016457655,0.10438782566356153,0.2070542586008402,0.33146535917050685,0.975,0.1875,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2017-10-13,80,0.6125,0.7625,0.018148180626900552,0.08375034094383017,0.26629074499596816,0.31375695375389384,0.9625,0.1375,1.0,0.0125,False,True,False,False,False,False,False,False,True,False
2017-10-20,80,0.675,0.625,0.014927955361399,0.05527525506576787,0.21193520936739413,0.3583810391386455,0.9625,0.1625,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2017-10-27,80,0.7125,0.7,0.0248790928027773,0.07169183767122064,0.15314924809904706,0.5385151385016318,0.9875,0.2,1.0,0.0375,False,True,False,False,False,False,False,False,True,False
2017-11-03,80,0.725,0.8125,0.03686250931211971,0.10636933565857742,0.21397067415113036,0.3232445111766374,0.9625,0.1625,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2017-11-10,80,0.6875,0.7,0.0267357399574622,0.08329998915443548,0.2258244821404297,0.3404977430168602,0.9625,0.1875,1.0,0.0,False,True,False,False,False,False,False,False,True,False
2017-11-17,80,0.725,0.7,0.0246993887542934,0.11075802060543352,0.2844461581733745,0.30258749195891693,0.975,0.2,1.0,0.0,False,True,False,False,False,False,False,False,True,False
