snapshot_date,0050_adjusted_close,0050_return_20d,0050_return_40d,0050_return_60d,0050_ma20,0050_ma40,0050_ma60,0050_ma20_slope,0050_ma40_slope,0050_ma60_slope,0050_price_vs_ma20,0050_price_vs_ma40,0050_price_vs_ma60,0050_bias20,0050_bias40,0050_bias60,0050_bias120,bias20_delta_5d,bias60_delta_5d,bias20_expanding_candidate,bias60_expanding_candidate,0050_close_vs_20d_high,0050_close_vs_40d_high,0050_close_vs_60d_high,0050_new_20d_high_flag,0050_new_40d_high_flag,0050_new_60d_high_flag,rolling_high_breakout_count,00631L_return_20d,00631L_return_60d,00631L_vs_0050_return_20d,00631L_vs_0050_return_60d,00631L_vs_0050_relation_source_quality,0050_bias40_source_quality,market_regime_feature_threshold_decided_by_core,diagnostic_only,formal_model_changed,trade_decision_changed,active_in_trade_decision,report_changed,portfolio_replay_executed,ready_for_strategy_replay,not_live_rule,forward_returns_live_rule_usage
2021-04-21,29.945331573486328,0.03915653200811775,-0.016743996415181317,0.06742998669314071,29.597054481506348,29.414778470993042,29.31416473388672,0.008465809912229227,0.002116157478844638,0.007266463954572089,0.011767288944161569,0.018036957273585674,0.02153112139913671,0.0117672889441616,0.018036957273585674,0.0215311213991367,0.1146378107595268,-0.007825979738590401,-0.0066772212709846,False,False,-0.01075275456911573,-0.01075275456911573,-0.01814299185132584,False,False,False,0,0.1416775330549036,0.23573065089881196,0.10252100104678585,0.16830066420567125,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-04-22,29.923629760742188,0.033733081323309655,-0.00684206974603907,0.04142873140736136,29.645878314971924,29.40962471961975,29.33400443394979,0.008582027592086261,0.0010710046835837872,0.005974688519787996,0.009368973414088044,0.01747744304875587,0.020100403547699486,0.0093689734140881,0.01747744304875587,0.0201004035476995,0.1112748258160772,-0.0171523001173354,-0.014652731708204601,False,False,-0.011469676284452723,-0.011469676284452723,-0.018854557755349166,False,False,False,0,0.11546964954554806,0.1781802312372036,0.0817365682222384,0.13675149982984225,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-04-23,30.194869995117188,0.041541639801571106,0.002521310564743473,0.060667911977766664,29.70609407424927,29.411523199081422,29.36278912226359,0.009177845927389017,8.299430520963824e-05,0.005328510552261356,0.01645372561085412,0.026634009763228716,0.02833793715538735,0.0164537256108541,0.026634009763228716,0.0283379371553874,0.1186839757330351,-0.010066305824829001,-0.006222736070832898,False,False,-0.002509226003679421,-0.002509226003679421,-0.009961047113817845,False,False,False,0,0.1401457030665707,0.2125010742596889,0.0986040632649996,0.15183316228192223,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-04-26,30.63971328735352,0.07376425296372391,0.01949449071775855,0.07269317200589276,29.811336708068847,29.426170301437377,29.397395133972168,0.010778580687182737,-0.0002856851865332688,0.005132049652815329,0.027787300764023026,0.04124026244274348,0.042259463728665736,0.0277873007640231,0.04124026244274348,0.0422594637286657,0.1323305132478611,0.001429335553743298,0.007263757991192603,True,True,0.0,0.0,0.0,True,True,True,3,0.20009119738255388,0.2635919094671195,0.12632694441882997,0.19089873746122676,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-04-27,30.65056800842285,0.07048138046631824,0.03517790548554478,0.07387174544300046,29.912239646911623,29.452209854125975,29.432536061604818,0.012579410160160398,0.0008387659582678175,0.005119039438040263,0.02468315212189265,0.04068822544156214,0.041383859830107284,0.0246831521218926,0.04068822544156214,0.0413838598301073,0.1299066389463941,0.0018013949061215992,0.009489859313271898,True,True,0.0,0.0,0.0,True,True,True,3,0.19542237630143577,0.27538855228182224,0.12494099583511753,0.20151680683882178,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-04-28,30.466114044189453,0.045031428435905685,0.020719567823233698,0.03994056075474606,29.97788038253784,29.46767063140869,29.452037715911864,0.012867020306681187,0.0017981492013550149,0.004703288777857084,0.01628646373330689,0.03388267180224802,0.034431448786639285,0.0162864637333068,0.03388267180224802,0.0344314487866393,0.1203761786848144,0.004519174789145201,0.012900327387502599,True,True,-0.006017962348453421,-0.006017962348453421,-0.006017962348453421,False,False,False,0,0.1540177170410162,0.21155682861513614,0.1089862886051105,0.17161626786039008,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-04-29,30.509521484375,0.038021475846324426,0.05397312778944219,0.03953822956023845,30.033756732940674,29.5067298412323,29.471377913157145,0.01308372158341009,0.0033018143732983507,0.004683079649649313,0.015841000367180502,0.033985184008477054,0.03522548468133846,0.0158410003671806,0.033985184008477054,0.0352254846813385,0.1191926686671334,0.0064720269530924995,0.015125081133639001,True,True,-0.004601758897554209,-0.004601758897554209,-0.004601758897554209,False,False,False,0,0.13930126731467163,0.2370806405514032,0.1012797914683472,0.19754241099116476,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-03,29.99958229064941,0.017292211112235778,0.03596858032500139,-0.012147162015211266,30.059253787994386,29.532769298553468,29.465229733784994,0.011888460087092101,0.00412240123203933,0.0034887902199907117,-0.001985129031007671,0.01580661086594426,0.01813502089385466,-0.0019851290310076,0.01580661086594426,0.0181350208938545,0.0979017186720287,-0.0184388546418617,-0.010202916261532902,False,False,-0.021238944661467585,-0.021238944661467585,-0.021238944661467585,False,False,False,0,0.08189684017929211,0.12910629521665018,0.06460462906705633,0.14125345723186145,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-04,29.73918533325196,0.017068559884249934,0.01218617284399448,-0.0029102013466937304,30.08420810699463,29.541720390319824,29.463783073425294,0.009153276204885152,0.003926779723585128,0.0022582932654602317,-0.011468567579229427,0.0066842736415866355,0.00934714524405611,-0.0114685675792294,0.0066842736415866355,0.009347145244056,0.0858270462307308,-0.039255868343252495,-0.0329123184846097,False,False,-0.029734609646400068,-0.029734609646400068,-0.029734609646400068,False,False,False,0,0.06296402985937255,0.11004626132821982,0.045895469975122616,0.11295646267491355,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
2021-05-05,29.457090377807617,0.0,0.02259874511155191,0.0011062471069265278,30.08420810699463,29.55799493789673,29.464325586954754,0.005749100104604388,0.003591753701834177,0.0010800810804545424,-0.020845412548559206,-0.0034137823049608107,-0.00024555828117578393,-0.0208454125485592,-0.0034137823049608107,-0.0002455582811757,0.0730514156433557,-0.0455285646704518,-0.041629418111283,False,False,-0.03893818967032725,-0.03893818967032725,-0.03893818967032725,False,False,False,0,0.028878838993513734,0.10509282661240649,0.028878838993513734,0.10398657950547996,benchmark_features_exact_pit,derived_from_0050_adjusted_close_and_ma40,False,True,False,False,False,False,False,False,True,False
