decision_date,C0,C1,C2,C3,placebo_seed_101,placebo_seed_17,placebo_seed_29,placebo_seed_43,placebo_seed_71,simple_v0_reference
2023-11-22,3545,3545,3545,3545,2618,4129,5706,4908,3545,3545
2023-11-23,3545,3545,3545,3545,2618,4129,5706,4908,3545,3545
2023-11-24,3545,3545,3545,3545,2618,4129,5706,4908,3545,3545
2023-11-27,2454,2454,2454,2454,2492,2454,3362,3702,5876,2454
2023-11-28,3362,3362,3362,3362,3152,6643,6732,3260,3227,3362
2023-11-29,3362,3362,3362,3362,3152,6643,6732,3260,3227,3362
2023-11-30,3362,3362,3362,3362,3152,6643,6732,3260,3227,3362
2023-12-01,3362,3362,3362,3362,3152,6643,6732,3260,3227,3362
2023-12-04,3362,3362,3362,3362,3152,6643,6732,3260,3227,3362
2023-12-05,3362,3362,3362,3362,3152,6643,6732,3260,3227,3362
2023-12-06,3362,3362,3362,3362,3152,6643,6732,3260,3227,3362
2023-12-07,3362,3362,3362,3362,3152,6643,6732,3260,3227,3362
2023-12-08,3362,3362,3362,3362,3152,6643,6732,3260,3227,3362
2023-12-11,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-12,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-13,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-14,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-15,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-18,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-19,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-20,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-21,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-22,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-25,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-26,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-27,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-28,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2023-12-29,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2024-01-02,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2024-01-03,2329,2329,2329,2329,6117,1529,8996,1529,3548,2329
2024-01-04,3008,3008,3008,3008,6811,2371,4938,2204,2404,3008
2024-01-05,3008,3008,3008,3008,6811,2371,4938,2204,2404,3008
2024-01-08,3008,3008,3008,3008,6811,2371,4938,2204,2404,3008
2024-01-09,3008,3008,3008,3008,6811,2371,4938,2204,2404,3008
2024-01-10,3008,3008,3008,3008,6811,2371,4938,2204,2404,3008
2024-01-11,2362,2362,2362,3008,3338,2467,2467,2347,1605,2362
2024-01-12,2362,2362,2362,3008,3338,2467,2467,2347,1605,2362
2024-01-15,8227,8227,8227,3008,2634,2486,6223,4904,3583,8227
2024-01-16,8227,8227,8227,3008,2634,2486,6223,4904,3583,8227
2024-01-17,8227,8227,8227,3008,2634,2486,6223,4904,3583,8227
2024-01-18,8227,8227,8227,3008,2634,2486,6223,4904,3583,8227
2024-01-19,8227,8227,8227,3008,2634,2486,6223,4904,3583,8227
2024-01-22,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-01-23,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-01-24,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-01-25,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-01-26,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-01-29,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-01-30,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-01-31,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-02-01,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-02-02,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-02-05,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-02-15,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-02-16,3036,3036,3036,3036,6138,6679,2637,2458,1560,3036
2024-02-19,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-02-20,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-02-21,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-02-22,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-02-23,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-02-26,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-02-27,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-02-29,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-03-01,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-03-04,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-03-05,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-03-06,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-03-07,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-03-08,3324,3324,3324,3324,3529,8210,3008,2356,4746,3324
2024-03-11,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-12,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-13,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-14,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-15,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-18,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-19,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-20,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-21,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-22,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-25,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-26,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-27,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-28,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-03-29,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-04-01,2379,2379,2379,2379,2882,2454,3680,2377,6799,2379
2024-04-02,2379,2379,2379,2382,2882,2454,3680,2377,6799,2379
2024-04-03,2379,2379,2379,2382,2882,2454,3680,2377,6799,2379
2024-04-08,2379,2379,2379,2382,2882,2454,3680,2377,6799,2379
2024-04-09,2379,2379,2379,2382,2882,2454,3680,2377,6799,2379
2024-04-10,2379,2379,2379,2382,2882,2454,3680,2377,6799,2379
2024-04-11,2379,2379,2379,2382,2882,2454,3680,2377,6799,2379
2024-04-12,2379,2379,2379,2382,2882,2454,3680,2377,6799,2379
2024-04-15,2379,2379,2379,2382,2882,2454,3680,2377,6799,2379
2024-04-16,2379,2379,2379,2382,2882,2454,3680,2377,6799,2379
2024-04-17,2379,2379,2379,2382,2882,2454,3680,2377,6799,2379
2024-04-18,2379,2379,2379,2382,2882,2454,3680,2377,6799,2379
2024-04-19,2379,2379,2379,1609,2882,2454,3680,2377,6799,2379
2024-04-22,2379,2515,2515,2515,3587,2912,3617,6239,2467,2379
2024-04-23,2379,2515,2515,2515,3587,2912,3617,6239,2467,2379
2024-04-24,2379,2515,2515,2515,3587,2912,3617,6239,2467,2379
2024-04-25,2379,2515,2515,2515,3587,2912,3617,6239,2467,2379
2024-04-26,2379,2515,2515,2515,3587,2912,3617,6239,2467,2379
2024-04-29,2618,2515,2515,2515,3587,2912,3617,6239,2467,2618
2024-04-30,2618,2515,2515,2515,3587,2912,3617,6239,2467,2618
2024-05-02,2618,2515,2515,2515,3587,2912,3617,6239,2467,2618
2024-05-03,2618,2515,2515,2515,3587,2912,3617,6239,2467,2618
2024-05-06,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-07,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-08,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-09,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-10,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-13,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-14,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-15,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-16,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-17,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-20,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-21,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-22,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-23,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-24,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-27,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-28,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-29,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-30,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-05-31,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-06-03,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-06-04,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-06-05,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-06-06,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-06-07,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-06-11,2618,2618,2618,2618,3533,6278,6515,5880,2327,2618
2024-06-12,3374,3374,3374,3374,3374,3293,4979,3362,3693,3374
2024-06-13,3374,3374,3374,3374,3374,3293,4979,3362,3693,3374
2024-06-14,3374,3374,3374,3374,3374,3293,4979,3362,3693,3374
2024-06-17,3374,3374,3374,3374,3374,3293,4979,3362,3693,3374
2024-06-18,3374,3374,3374,3374,3374,3293,4979,3362,3693,3374
2024-06-19,3374,3374,3374,3374,3374,3293,4979,3362,3693,3374
2024-06-20,3374,3374,3374,3374,3374,3293,4979,3362,3693,3374
2024-06-21,3374,3374,3374,3374,3374,3293,4979,3362,3693,3374
2024-06-24,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-06-25,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-06-26,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-06-27,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-06-28,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-07-01,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-07-02,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-07-03,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-07-04,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-07-05,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-07-08,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-07-09,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-07-10,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-07-11,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-07-12,1785,1785,1785,1785,2330,2330,2476,3533,4938,1785
2024-07-15,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-07-16,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-07-17,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-07-18,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-07-19,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-07-22,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-07-23,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-07-26,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-07-29,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-07-30,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-07-31,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-08-01,2308,2308,2308,2308,4533,3019,6472,5871,4763,2308
2024-08-02,2308,2881,2881,2881,5443,3706,4566,2912,1785,2881
2024-08-05,3374,2881,2881,2881,5443,3706,4566,2912,1785,2881
2024-08-06,2881,2881,2881,2881,5443,3706,4566,2912,1785,2881
2024-08-07,2881,2881,2881,2881,5443,3706,4566,2912,1785,2881
2024-08-08,2881,2881,2881,2881,5443,3706,4566,2912,1785,2881
2024-08-09,2881,2881,2881,2881,5443,3706,4566,2912,1785,2881
2024-08-12,2615,2615,2615,2615,3008,2317,3008,9945,1402,2615
2024-08-13,2615,2615,2615,2615,3008,2317,3008,9945,1402,2615
2024-08-14,3013,3013,3013,3013,2542,6472,2891,2412,2801,3013
2024-08-15,3013,3013,3013,3013,2542,6472,2891,2412,2801,3013
2024-08-16,3013,3013,3013,3013,2542,6472,2891,2412,2801,3013
2024-08-19,3013,3013,3013,3013,2542,6472,2891,2412,2801,3013
2024-08-20,3013,3013,3013,3013,2542,6472,2891,2412,2801,3013
2024-08-21,3013,3013,3013,3013,2542,6472,2891,2412,2801,3013
2024-08-22,5443,5443,5443,5443,3374,5443,5508,5274,6223,5443
2024-08-23,5443,5443,5443,5443,3374,5443,5508,5274,6223,5443
2024-08-26,5443,5443,5443,5443,3374,5443,5508,5274,6223,5443
2024-08-27,5443,5443,5443,5443,3374,5443,5508,5274,6223,5443
2024-08-28,5443,5443,5443,5443,3374,5443,5508,5274,6223,5443
2024-08-29,5443,5443,5443,5443,3374,5443,5508,5274,6223,5443
2024-08-30,5443,5443,5443,5443,3374,5443,5508,5274,6223,5443
2024-09-02,3008,3008,3008,3008,3293,8299,2603,1711,2357,3008
2024-09-03,3008,3008,3008,3008,3293,8299,2603,1711,2357,3008
2024-09-04,3008,3008,3008,3008,3293,8299,2603,1711,2357,3008
2024-09-05,3008,3008,3008,3008,3293,8299,2603,1711,2357,3008
2024-09-06,3008,3008,3008,3008,3293,8299,2603,1711,2357,3008
2024-09-09,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-10,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-11,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-12,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-13,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-16,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-18,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-19,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-20,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-23,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-24,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-25,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-26,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-27,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-09-30,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-10-01,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-10-04,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-10-07,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-10-08,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-10-09,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-10-11,4763,4763,4763,4763,2912,2383,4583,2303,2402,4763
2024-10-14,3583,3583,3583,3583,4571,4904,6274,8069,2884,3583
2024-10-15,3583,3583,3583,3583,4571,4904,6274,8069,2884,3583
2024-10-16,3583,3583,3583,3583,4571,4904,6274,8069,2884,3583
2024-10-17,3583,3583,3583,3583,4571,4904,6274,8069,2884,3583
2024-10-18,3583,3583,3583,3583,4571,4904,6274,8069,2884,3583
2024-10-21,3013,3013,3013,3013,3653,6207,6257,2105,6223,3013
2024-10-22,3013,3013,3013,3013,3653,6207,6257,2105,6223,3013
2024-10-23,3013,3013,3013,3013,3653,6207,6257,2105,6223,3013
2024-10-24,3013,3013,3013,3013,3653,6207,6257,2105,6223,3013
2024-10-25,3013,3013,3013,3013,3653,6207,6257,2105,6223,3013
2024-10-28,3013,3013,3013,3013,3653,6207,6257,2105,6223,3013
2024-10-29,3013,3013,3013,3013,3653,6207,6257,2105,6223,3013
2024-10-30,3013,3013,3013,3013,3653,6207,6257,2105,6223,3013
2024-11-01,3013,3013,3013,3013,3653,6207,6257,2105,6223,3013
2024-11-04,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-05,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-06,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-07,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-08,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-11,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-12,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-13,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-14,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-15,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-18,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-19,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-20,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-21,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-22,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-25,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-26,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-27,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-28,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-11-29,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-12-02,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-12-03,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-12-04,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-12-05,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-12-06,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-12-09,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-12-10,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-12-11,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-12-12,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-12-13,3231,3231,3231,3231,2891,3653,2393,2474,3702,3231
2024-12-16,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2024-12-17,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2024-12-18,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2024-12-19,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2024-12-20,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2024-12-23,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2024-12-24,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2024-12-25,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2024-12-26,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2024-12-27,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2024-12-30,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2024-12-31,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2025-01-02,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2025-01-03,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2025-01-06,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2025-01-07,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2025-01-08,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2025-01-09,2891,2891,2891,2891,3706,1522,3023,2312,3008,2891
2025-01-10,2891,2891,2891,2454,3706,1522,3023,2312,3008,2891
2025-01-13,2891,2891,2891,2454,3706,1522,3023,2312,3008,2891
2025-01-14,2891,2891,2891,2454,3706,1522,3023,2312,3008,2891
2025-01-15,2891,2891,2891,2454,3706,1522,3023,2312,3008,2891
2025-01-16,2891,2891,2891,2454,3706,1522,3023,2312,3008,2891
2025-01-17,2891,2891,2891,2454,3706,1522,3023,2312,3008,2891
2025-01-20,2891,2891,2891,6558,3706,1522,3023,2312,3008,2891
2025-01-21,2891,2891,2891,6558,3706,1522,3023,2312,3008,2891
2025-01-22,2891,2891,2891,6558,3706,1522,3023,2312,3008,2891
2025-02-03,2891,2891,2891,3008,3706,1522,3023,2312,3008,2891
