scenario,decision_date,requested_execution_date,selected_ticker,selected_action,action_reason,applied_market_state,confidence_floor,challenger_margin_required
C2,2024-05-09,2024-05-10,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-10,2024-05-13,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-13,2024-05-14,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-14,2024-05-15,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-15,2024-05-16,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-16,2024-05-17,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-17,2024-05-20,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-20,2024-05-21,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-21,2024-05-22,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-22,2024-05-23,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-23,2024-05-24,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-24,2024-05-27,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-27,2024-05-28,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-28,2024-05-29,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-29,2024-05-30,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-30,2024-05-31,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-05-31,2024-06-03,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
C2,2024-06-03,2024-06-04,2618,hold_incumbent,applied_controller_switch_gate_failed,ordinary_market,0.7,5.0
