signal_date,ticker,name,risk_score,risk_bucket,BIAS20,BIAS60,BIAS120,BIAS20_percentile,BIAS60_percentile,BIAS120_percentile,volatility,volatility_20d_proxy,volatility_60d_proxy,large_down_day_count_20d,large_down_day_count_30d,drawdown_20d,drawdown_60d,drawdown_120d,RS_exhaustion_proxy,blowoff_turnover_proxy,extreme_overheat_flag,extreme_risk_bucket_flag,high_risk_or_overheat_context,bias20_weak_bucket_context,source_asof_date,diagnostic_only,not_live_rule,risk_penalty_components_available
2015-01-09,1416,廣豐,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1417,嘉裕,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1418,東華,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1419,新紡,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1423,利華,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1432,大魯閣,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1434,福懋,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1435,中福,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1436,華友聯,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1437,勤益控,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1438,三地開發,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1439,雋揚,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1440,南紡,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1441,大東,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1442,名軒,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1443,立益物流,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1444,力麗,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1445,大宇,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1446,宏和,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1447,力鵬,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1451,年興,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1452,宏益,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1453,大將,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1454,台富,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1455,集盛,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1456,怡華,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1457,宜進,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1459,聯發,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1460,宏遠,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1463,強盛新,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1464,得力,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1465,偉全,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1466,聚隆,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1467,南緯,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1468,昶和,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1469,理隆,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1471,首利,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1472,三洋實業,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1473,台南,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,1474,弘裕,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,2308,台達電,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-09,2317,鴻海,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-09,True,True,False
2015-01-16,1101,台泥,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1102,亞泥,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1103,嘉泥,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1104,環泥,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1108,幸福,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1109,信大,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1110,東泥,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1201,味全,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1203,味王,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1210,大成,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1213,大飲,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1215,卜蜂,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1216,統一,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1217,愛之味,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1218,泰山,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1219,福壽,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1220,台榮,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1225,福懋油,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1227,佳格,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1229,聯華,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1231,聯華食,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1232,大統益,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1233,天仁,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1234,黑松,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1235,興泰,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1236,宏亞,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1256,F-鮮活,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1258,F-其祥,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1259,安心,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1262,綠悅-KY,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1301,台塑,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1303,南亞,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1304,台聚,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1305,華夏,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1307,三芳,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1308,亞聚,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1309,台達化,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1310,台苯,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1312,國喬,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1313,聯成,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1314,中石化,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1315,達新,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1316,上曜,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1319,東陽,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1321,大洋,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1323,永裕,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1324,地球,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1325,恆大,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1326,台化,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1333,恩得利,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1336,台翰,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1337,再生-KY,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1338,廣華-KY,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1339,昭輝,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1340,勝悅-KY,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1402,遠東新,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1409,新纖,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1410,南染,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1413,宏洲,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1414,東和,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1416,廣豐,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1417,嘉裕,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1418,東華,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1419,新紡,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1423,利華,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1432,大魯閣,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1434,福懋,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1435,中福,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1436,華友聯,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1437,勤益控,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1438,三地開發,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1439,雋揚,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1440,南紡,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1441,大東,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1442,名軒,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1443,立益物流,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1444,力麗,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1445,大宇,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1446,宏和,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1447,力鵬,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1449,佳和,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1451,年興,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1452,宏益,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1453,大將,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1454,台富,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1455,集盛,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1456,怡華,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1457,宜進,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1459,聯發,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1460,宏遠,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1463,強盛新,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1464,得力,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1465,偉全,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1466,聚隆,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1467,南緯,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1468,昶和,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1469,理隆,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1470,大統新創,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1471,首利,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,1472,三洋實業,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,2308,台達電,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-16,2317,鴻海,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-16,True,True,False
2015-01-23,3051,力特,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-23,True,True,False
2015-01-23,9105,泰金寶-DR,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-23,True,True,False
2015-01-23,3379,彬台,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-23,True,True,False
2015-01-23,5474,聰泰,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-23,True,True,False
2015-01-23,3086,華義,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-23,True,True,False
2015-01-23,3095,及成,25.0,low,,,,,,,,,,,,,,,False,False,False,False,False,False,2015-01-23,True,True,False
